Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
8821.564322387303,13224.343249902218,29621.968653423457,0.0,0.348,0.0,0.614,0.0,0.9309999999999999,1.0,168.0
8317.360600626904,12832.18479964413,29052.73865802332,0.0,0.302,0.0,0.604,0.0,0.9279999999999999,1.0,168.0
7836.166175692872,12446.028774645094,28479.507045783823,0.0,0.23,0.0,0.527,0.0,0.903,1.0,168.0
7423.999641237942,11857.791099257962,28437.490068970455,0.0,0.152,0.0,0.425,0.0,0.868,1.0,168.0
7032.841595189696,11431.618905865244,28812.64164766123,0.0,0.091,0.0,0.335,0.0,0.8340000000000001,1.0,168.0
6654.688803869397,11707.730467781652,29739.015945974978,0.004,0.049,0.0,0.24600000000000002,0.0,0.805,1.0,168.0
6402.586942989197,11985.842838117745,31275.636812292385,0.102,0.021,0.065,0.102,0.038,0.745,1.0,168.0
6284.539246227833,11954.830307612641,31694.80617621621,0.284,0.009000000000000001,0.24600000000000002,0.043,0.19,0.639,1.0,168.0
6212.510143119205,11250.54574388383,31843.866403482676,0.452,0.001,0.42100000000000004,0.128,0.37,0.619,1.0,168.0
6558.649999724558,10810.367891553322,31719.81628146226,0.573,0.049,0.552,0.15,0.516,0.763,1.0,168.0
7239.925266627003,10289.157298225608,31690.80455937684,0.65,0.105,0.637,0.14300000000000002,0.616,0.7559999999999999,1.0,168.0
7595.068761120935,10319.16942452087,31972.9185465523,0.687,0.166,0.682,0.128,0.662,0.688,1.0,168.0
7756.133838905507,10694.321003211642,31508.730993185585,0.675,0.23600000000000002,0.679,0.114,0.6729999999999999,0.6729999999999999,1.0,168.0
7750.131413646454,10499.24218229244,30880.47714940477,0.62,0.317,0.633,0.09699999999999999,0.6409999999999999,0.695,1.0,168.0
8175.303202829331,10825.373954700954,30705.40641268241,0.508,0.396,0.536,0.079,0.5720000000000001,0.637,1.0,168.0
8319.361409046587,10954.42609777058,30953.506656723242,0.36700000000000005,0.445,0.4,0.069,0.44799999999999995,0.522,1.0,168.0
7907.194874591658,10673.31251480496,30644.381755882045,0.2,0.435,0.228,0.068,0.284,0.43200000000000005,1.0,168.0
7611.075228478408,10187.116068821717,30867.471894676823,0.052000000000000005,0.32899999999999996,0.059000000000000004,0.075,0.111,0.384,1.0,168.0
7370.978218116313,9885.994401659256,31215.61255970186,0.0,0.17600000000000002,0.0,0.091,0.008,0.41,1.0,168.0
7396.988727572207,10765.349702110429,32980.32558586326,0.0,0.054000000000000006,0.0,0.07400000000000001,0.0,0.451,1.0,168.0
7529.042083271359,12177.920446407421,33492.5325413024,0.0,0.018000000000000002,0.0,0.036000000000000004,0.0,0.618,1.0,168.0
7501.030765395781,12407.013010461253,32745.230596550373,0.0,0.015,0.0,0.021,0.0,0.8240000000000001,1.0,168.0
7989.2280197987075,12529.062324061984,31820.85710665631,0.0,0.021,0.0,0.021,0.0,0.927,1.0,168.0
8221.321796482065,12768.158930214238,31047.544652448396,0.0,0.038,0.0,0.02,0.0,0.958,1.0,168.0
7917.1989166900785,12209.933381122368,30423.29242550695,0.0,0.064,0.0,0.028999999999999998,0.0,0.95,1.0,168.0
7525.04046643199,11940.824648674852,29906.083449018603,0.0,0.085,0.0,0.055,0.0,0.905,1.0,168.0
7193.906672974268,11559.670644725027,29338.854262038152,0.0,0.133,0.0,0.08199999999999999,0.0,0.794,1.0,168.0
6877.778942664177,11052.465710335102,29258.821925250788,0.0,0.20600000000000002,0.0,0.094,0.0,0.67,1.0,168.0
6565.652829193453,10577.273710660122,29344.856687297204,0.0,0.272,0.0,0.102,0.0,0.603,1.0,168.0
6246.523886253835,10811.368295763164,30168.189351997222,0.004,0.321,0.0,0.099,0.0,0.586,1.0,168.0
5980.416366435847,10993.44186195442,31237.621452318388,0.10099999999999999,0.196,0.064,0.048,0.040999999999999995,0.503,1.0,168.0
5878.375137031956,10862.38891046511,31514.733418444637,0.275,0.094,0.239,0.006,0.2,0.33799999999999997,1.0,168.0
5810.3476507626965,10470.230460207022,31648.787582563473,0.44,0.064,0.41100000000000003,0.04,0.382,0.359,1.0,168.0
6030.43657692795,9966.026738446622,31416.693805880117,0.562,0.019,0.5429999999999999,0.09,0.519,0.608,1.0,168.0
6522.635448170245,9364.783808331542,31227.617410219966,0.639,0.002,0.629,0.139,0.605,0.775,1.0,168.0
6763.732862742181,9281.750258914652,31826.85953191536,0.66,0.0,0.67,0.174,0.622,0.802,1.0,168.0
7005.83068152396,9019.64435593603,31386.681679584854,0.65,0.0,0.667,0.18600000000000003,0.5820000000000001,0.787,1.0,168.0
7016.835127832223,8807.558663449514,30723.41368845957,0.597,0.0,0.621,0.18600000000000003,0.5710000000000001,0.7559999999999999,1.0,168.0
7257.93254240416,8869.583724459722,30167.18894778738,0.488,0.003,0.534,0.191,0.53,0.6940000000000001,1.0,168.0
7440.006108595415,9005.638696998243,30021.129933150438,0.35100000000000003,0.013999999999999999,0.4,0.204,0.41,0.622,1.0,168.0
7059.852508855432,8838.571193954618,29476.91004299636,0.19,0.038,0.22899999999999998,0.209,0.247,0.5770000000000001,1.0,168.0
6530.638681848981,8692.512179317677,29269.82637155905,0.051,0.057999999999999996,0.059000000000000004,0.212,0.09699999999999999,0.545,1.0,168.0
6659.690824918607,8946.61484861756,29668.987651286032,0.0,0.073,0.0,0.231,0.006999999999999999,0.5479999999999999,1.0,168.0
6821.756306913021,10001.040885791093,31049.545460868077,0.0,0.099,0.0,0.26,0.0,0.6579999999999999,1.0,168.0
7097.86786882943,11389.601929051876,31646.78677414379,0.0,0.109,0.0,0.31,0.0,0.784,1.0,168.0
7404.991961250943,11272.554636500356,31291.64327964986,0.0,0.109,0.0,0.37,0.0,0.848,1.0,168.0
7881.184365135765,11552.667815256133,30705.40641268241,0.0,0.121,0.0,0.423,0.0,0.88,1.0,168.0
8074.262377635283,11617.694088895867,30418.290404457737,0.0,0.15,0.0,0.45299999999999996,0.0,0.883,1.0,168.0
7702.112011574036,11168.51259867678,29797.039390145816,0.0,0.184,0.0,0.466,0.0,0.8590000000000001,1.0,168.0
7222.918395059688,10725.333533716746,29124.767761131952,0.0,0.198,0.0,0.46799999999999997,0.0,0.8490000000000001,1.0,168.0
6833.761157431126,10881.396590452108,28783.62992557581,0.0,0.165,0.0,0.435,0.0,0.8220000000000001,1.0,168.0
6502.627363973403,10269.149214028766,28480.507449993664,0.0,0.127,0.0,0.385,0.0,0.7490000000000001,1.0,168.0
6209.508930489679,9993.037652112358,28663.58142039476,0.0,0.11800000000000001,0.0,0.33899999999999997,0.0,0.607,1.0,168.0
6004.426067472056,10657.306047447486,30020.129528940597,0.004,0.135,0.0,0.289,0.0,0.439,1.0,168.0
5940.400198042164,11178.5166407752,31816.855489816942,0.09699999999999999,0.105,0.064,0.152,0.038,0.27,1.0,168.0
5936.398581202796,11396.60475852077,32851.27344279363,0.263,0.049,0.233,0.09699999999999999,0.18100000000000002,0.184,1.0,168.0
6086.459212679105,10415.208228665708,33037.348625824256,0.419,0.032,0.40299999999999997,0.091,0.354,0.11599999999999999,1.0,168.0
6705.709418571341,9605.88122290348,33363.480398232765,0.534,0.016,0.535,0.063,0.501,0.057,1.0,168.0
7483.023489618624,9378.789467269331,33378.4864613804,0.612,0.005,0.62,0.045,0.6,0.051,1.0,168.0
7706.113628413404,9275.7478336556,32932.30618379084,0.6509999999999999,0.0,0.6659999999999999,0.040999999999999995,0.643,0.087,1.0,168.0
7792.148390459821,8749.535219278674,32484.125097781594,0.644,0.003,0.662,0.042,0.654,0.153,1.0,168.0
7523.039658012306,8547.453568890578,31258.62994072507,0.593,0.026000000000000002,0.617,0.054000000000000006,0.619,0.226,1.0,168.0
7774.141114682664,8808.559067659357,31425.697443768695,0.5,0.11199999999999999,0.525,0.069,0.547,0.254,1.0,168.0
8126.28339654707,8890.592212866406,31302.64772595812,0.366,0.27399999999999997,0.392,0.078,0.423,0.237,1.0,168.0
7996.230849267602,9038.65203592303,31183.599624986917,0.203,0.47100000000000003,0.22399999999999998,0.081,0.265,0.204,1.0,168.0
7863.177089358607,8360.377981650112,31296.645300699067,0.055,0.602,0.059000000000000004,0.08,0.10400000000000001,0.154,1.0,168.0
7426.000449657627,8748.534815068833,31390.68329642422,0.0,0.73,0.0,0.069,0.008,0.087,1.0,168.0
7320.95800762421,10062.06554259146,32657.19502608427,0.0,0.779,0.0,0.026000000000000002,0.0,0.024,1.0,168.0
7578.06188955362,11229.537255477146,32727.223320773217,0.0,0.757,0.0,0.002,0.0,0.018000000000000002,1.0,168.0
7628.082100045723,11130.497238702783,32105.972306461295,0.0,0.748,0.0,0.0,0.0,0.042,1.0,168.0
7971.22074402155,11158.50855657836,31164.591944999916,0.0,0.75,0.0,0.003,0.0,0.149,1.0,168.0
8160.2971396817,10920.41235463595,30411.287574988844,0.0,0.6609999999999999,0.0,0.023,0.0,0.42,1.0,168.0
7761.1358599547175,10595.28098643728,29977.11214791739,0.0,0.506,0.0,0.073,0.0,0.6829999999999999,1.0,168.0
7263.934967663213,10153.102325687087,29484.913276675095,0.0,0.369,0.0,0.134,0.0,0.7809999999999999,1.0,168.0
6858.771262677177,9943.017441620254,29072.746742220163,0.0,0.303,0.0,0.17800000000000002,0.0,0.7090000000000001,1.0,168.0
6535.640702898191,9496.837164030694,29132.77099481069,0.0,0.292,0.0,0.188,0.0,0.512,1.0,168.0
6245.523482043993,9189.713071609181,29465.905596688095,0.0,0.32,0.0,0.19399999999999998,0.0,0.32799999999999996,1.0,168.0
6018.431726409845,9594.876776595216,30728.415709508776,0.005,0.386,0.0,0.19699999999999998,0.0,0.212,1.0,168.0
5971.412728547268,9916.006527954518,32749.232213389743,0.09699999999999999,0.306,0.064,0.132,0.04,0.125,1.0,168.0
6027.435364298423,10159.10475094614,33440.51152239061,0.266,0.24100000000000002,0.231,0.062,0.192,0.045,1.0,168.0
6136.4794231712085,9344.7757241347,33737.6315727137,0.43,0.266,0.39799999999999996,0.021,0.37200000000000005,0.037000000000000005,1.0,168.0
6738.72275749613,9130.6892232285,33671.604894864126,0.555,0.198,0.529,0.004,0.52,0.036000000000000004,1.0,168.0
7467.0170222611505,9605.88122290348,33229.42623411393,0.636,0.20600000000000002,0.613,0.01,0.618,0.061,1.0,168.0
7738.1265631283495,9663.90466707432,32982.32639428294,0.675,0.249,0.654,0.026000000000000002,0.6579999999999999,0.151,1.0,168.0
