Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
2910.1360166135387,13850.671662549408,29774.095531308805,0.0,0.095,0.0,0.58,0.0,0.664,13.0,2184.0
2652.5571605786718,13395.110626974016,29763.994399699597,0.0,0.084,0.0,0.5720000000000001,0.0,0.6940000000000001,13.0,2184.0
2531.343581268146,13190.057655307042,29911.470921194068,0.0,0.048,0.0,0.565,0.0,0.665,13.0,2184.0
2442.453623107094,12708.233677547703,29923.59227912512,0.0,0.016,0.0,0.5579999999999999,0.0,0.59,13.0,2184.0
2503.0604127623565,11667.817121799024,30515.518591424854,0.0,0.004,0.0,0.52,0.0,0.496,13.0,2184.0
2918.2169219009074,12778.941598812176,31907.45452717406,0.0,0.002,0.0,0.503,0.0,0.401,13.0,2184.0
3776.813108683798,16136.557745713739,34113.54167062563,0.081,0.001,0.025,0.521,0.023,0.289,13.0,2184.0
4678.844161386293,18158.804293877678,35610.52937511062,0.264,0.0,0.109,0.894,0.175,0.16,13.0,2184.0
5238.446852536555,18262.845949452545,36224.67817695062,0.429,0.005,0.231,0.9490000000000001,0.359,0.11699999999999999,13.0,2184.0
5518.248198111684,17360.81489675005,36270.13326919207,0.573,0.027000000000000003,0.359,0.95,0.507,0.059000000000000004,13.0,2184.0
5589.966232537079,16375.954564852027,36455.99409080154,0.659,0.059000000000000004,0.447,0.948,0.608,0.021,13.0,2184.0
5518.248198111684,15233.516579850322,37866.11206344732,0.693,0.105,0.451,0.9490000000000001,0.667,0.009000000000000001,13.0,2184.0
5255.618776272212,13990.067278756513,37703.483844539034,0.684,0.129,0.45399999999999996,0.956,0.6759999999999999,0.006999999999999999,13.0,2184.0
4637.429521788531,13231.472294904806,35382.243800742464,0.629,0.135,0.371,0.963,0.637,0.006999999999999999,13.0,2184.0
4500.054131903268,13605.214164445593,35640.83276993825,0.502,0.13,0.272,0.9670000000000001,0.551,0.008,13.0,2184.0
4414.194513224979,13926.430149618487,36824.68539453772,0.353,0.124,0.2,0.9670000000000001,0.413,0.009000000000000001,13.0,2184.0
4382.881005236427,14141.58425289467,36903.474221089564,0.179,0.11199999999999999,0.1,0.9590000000000001,0.23,0.018000000000000002,13.0,2184.0
4688.945292995504,15305.234614275718,35819.622799421275,0.032,0.1,0.02,0.9209999999999999,0.071,0.083,13.0,2184.0
5154.607460180107,16130.497066748214,35282.24259781128,0.0,0.11699999999999999,0.0,0.836,0.0,0.396,13.0,2184.0
4991.979241271819,15739.583273471768,34044.853975683,0.0,0.138,0.0,0.758,0.0,0.7559999999999999,13.0,2184.0
4641.469974432215,14191.079797779801,32746.858563899452,0.0,0.156,0.0,0.732,0.0,0.86,13.0,2184.0
4109.140338626823,13472.889340364936,31868.06011389814,0.0,0.16,0.0,0.7120000000000001,0.0,0.8540000000000001,13.0,2184.0
3717.216432189456,14583.003704217168,30796.33005016091,0.0,0.162,0.0,0.706,0.0,0.8490000000000001,13.0,2184.0
3247.5138123611687,14998.160213355719,30695.318734068802,0.0,0.159,0.0,0.735,0.0,0.807,13.0,2184.0
2832.357303222618,14430.47661691809,30722.59178941367,0.0,0.152,0.0,0.7559999999999999,0.0,0.6990000000000001,13.0,2184.0
2567.7076550613037,13891.07618898625,30519.55904406854,0.0,0.14400000000000002,0.0,0.725,0.0,0.565,13.0,2184.0
2429.32215201512,13735.518762204409,30500.36689401104,0.0,0.12300000000000001,0.0,0.6759999999999999,0.0,0.441,13.0,2184.0
2361.64457023341,13107.228376111518,30554.91300470078,0.0,0.08800000000000001,0.0,0.6609999999999999,0.0,0.359,13.0,2184.0
2403.0592098311727,12154.691665362969,31067.040377287747,0.0,0.059000000000000004,0.0,0.645,0.0,0.34700000000000003,13.0,2184.0
2705.083044946566,13224.401502778359,32367.056015393136,0.0,0.06,0.0,0.604,0.0,0.419,13.0,2184.0
3284.8879993152477,16787.070621346895,33857.9830409126,0.067,0.07200000000000001,0.028999999999999998,0.51,0.02,0.48700000000000004,13.0,2184.0
4056.614454258928,18802.246377384385,34835.77258068418,0.21899999999999997,0.03,0.126,0.669,0.162,0.524,13.0,2184.0
