Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
8762.414769710402,15950.89993152204,34270.755374036395,0.0,0.765,0.0,0.725,0.0,0.268,21.0,3528.0
8367.42091164618,15448.088872404574,33417.28650214763,0.0,0.737,0.0,0.7240000000000001,0.0,0.285,21.0,3528.0
7967.388866616853,14962.407648968465,32582.962740726263,0.0,0.701,0.0,0.7070000000000001,0.0,0.34600000000000003,21.0,3528.0
7606.654679915344,14146.221360621474,32339.114491615186,0.0,0.68,0.0,0.6709999999999999,0.0,0.44299999999999995,21.0,3528.0
7290.256538506757,13289.729576553646,32106.35025382734,0.0,0.654,0.0,0.614,0.0,0.532,21.0,3528.0
6795.506578533458,14150.251910193558,32654.504995630752,0.0,0.618,0.0,0.551,0.0,0.622,21.0,3528.0
6433.764754438928,15096.423422240254,32882.23104645349,0.053,0.505,0.044000000000000004,0.433,0.008,0.696,21.0,3528.0
6349.123213425166,15430.959036723218,32980.97951096955,0.261,0.228,0.261,0.321,0.149,0.597,21.0,3528.0
6368.268323892565,14999.69023251024,33645.01255297037,0.465,0.29,0.46399999999999997,0.479,0.313,0.392,21.0,3528.0
6789.460754175332,14158.313009337726,33971.487068309165,0.611,0.257,0.613,0.423,0.51,0.261,21.0,3528.0
7374.898079520519,13999.106301240412,34389.65658641287,0.7090000000000001,0.1,0.705,0.29,0.6759999999999999,0.141,21.0,3528.0
7773.922487156826,13946.709156803321,35038.57506751838,0.66,0.044000000000000004,0.743,0.17600000000000002,0.752,0.098,21.0,3528.0
8002.656175372587,14017.24377431479,35279.40040445039,0.574,0.047,0.737,0.105,0.698,0.086,21.0,3528.0
8044.976945879468,13813.701020924553,34988.19319786733,0.526,0.069,0.6859999999999999,0.067,0.439,0.10300000000000001,21.0,3528.0
8472.21520052036,13561.79167266931,35261.26293137601,0.444,0.10099999999999999,0.588,0.036000000000000004,0.5329999999999999,0.092,21.0,3528.0
8803.727902824263,12940.079401175366,34928.74259167909,0.31,0.13699999999999998,0.43700000000000006,0.017,0.47200000000000003,0.076,21.0,3528.0
8624.368446866529,12845.361486231395,34289.90048450379,0.106,0.24,0.23800000000000002,0.011000000000000001,0.172,0.073,21.0,3528.0
7827.327268986937,12741.574834750234,33526.111340593896,0.005,0.39399999999999996,0.042,0.021,0.03,0.08199999999999999,21.0,3528.0
7328.546759441554,12671.040217238766,32756.27637232587,0.0,0.525,0.0,0.047,0.0,0.14300000000000002,21.0,3528.0
7194.530986169764,13393.516228034805,33641.989640791304,0.0,0.691,0.0,0.11199999999999999,0.0,0.272,21.0,3528.0
7235.844119283624,14974.499297684715,34304.00740800609,0.0,0.7070000000000001,0.0,0.253,0.0,0.322,21.0,3528.0
7424.272311778547,14713.521212892283,34206.26658088305,0.0,0.7070000000000001,0.0,0.415,0.0,0.354,21.0,3528.0
8016.763098874881,14757.857258185206,33959.39541959291,0.0,0.718,0.0,0.524,0.0,0.41700000000000004,21.0,3528.0
8589.101138110795,14792.11692954792,34066.20498325314,0.0,0.6990000000000001,0.0,0.586,0.0,0.397,21.0,3528.0
8481.28393705755,13621.242278857546,33597.653595498385,0.0,0.685,0.0,0.613,0.0,0.264,21.0,3528.0
7828.334906379958,11622.08969110393,33069.65160155539,0.0,0.632,0.0,0.622,0.0,0.14400000000000002,21.0,3528.0
7340.638408157806,11155.55357813522,32391.511636052277,0.0,0.526,0.0,0.61,0.0,0.185,21.0,3528.0
6926.499439626185,10861.323459373094,31983.41849187878,0.0,0.428,0.0,0.5760000000000001,0.0,0.23600000000000002,21.0,3528.0
6607.078386038536,11165.629952065428,31836.30343249772,0.0,0.355,0.0,0.531,0.0,0.27,21.0,3528.0
6147.595734820971,12311.313667930277,31996.517777988054,0.0,0.301,0.0,0.47600000000000003,0.0,0.295,21.0,3528.0
5802.983746407797,13685.731072010889,32633.34461037731,0.023,0.237,0.044000000000000004,0.359,0.006,0.342,21.0,3528.0
5679.044347066218,14504.940272536942,32557.77180590074,0.141,0.08199999999999999,0.258,0.203,0.147,0.292,21.0,3528.0
5654.861049633714,14116.999876223867,32233.312565347984,0.258,0.022000000000000002,0.45899999999999996,0.16899999999999998,0.376,0.19699999999999998,21.0,3528.0
5838.251055163531,13578.921508350664,32122.472452115675,0.3,0.025,0.606,0.069,0.5479999999999999,0.132,21.0,3528.0
6215.107440153376,13250.431718225827,32766.352746256078,0.225,0.06,0.6990000000000001,0.016,0.6809999999999999,0.075,21.0,3528.0
6516.391020666648,12896.750993275464,33162.35424171332,0.23600000000000002,0.095,0.7390000000000001,0.001,0.73,0.055,21.0,3528.0
6776.361468066059,12970.308522965996,33512.0044170916,0.266,0.09699999999999999,0.7340000000000001,0.0,0.711,0.046,21.0,3528.0
6806.590589856689,13023.713304796107,33203.667374827186,0.261,0.048,0.6829999999999999,0.0,0.619,0.038,21.0,3528.0
7288.241263720715,13078.12572401924,33273.19435494563,0.228,0.013999999999999999,0.573,0.001,0.513,0.022000000000000002,21.0,3528.0
7488.761104931889,13402.584964571994,33182.50698957374,0.177,0.006,0.406,0.002,0.354,0.008,21.0,3528.0
7513.952039757414,13497.302879515966,32339.114491615186,0.106,0.02,0.215,0.003,0.179,0.001,21.0,3528.0
7210.6531844581,13147.652704137687,31698.257109653845,0.012,0.114,0.038,0.006,0.039,0.0,21.0,3528.0
6836.819711647318,12632.749996303968,31355.660396026713,0.0,0.255,0.0,0.034,0.0,0.001,21.0,3528.0
6806.590589856689,13179.89710071436,32305.862457645493,0.0,0.369,0.0,0.109,0.0,0.047,21.0,3528.0
7127.0192808373595,14921.094515854604,33138.17094428082,0.0,0.439,0.0,0.237,0.0,0.159,21.0,3528.0
7461.554895320323,15101.461609205358,33357.83589595939,0.0,0.47100000000000003,0.0,0.38799999999999996,0.0,0.28,21.0,3528.0
8228.366951409285,15650.62398840179,33283.27072887584,0.0,0.508,0.0,0.486,0.0,0.395,21.0,3528.0
8719.086361810501,16203.816917170307,33096.857811166956,0.0,0.562,0.0,0.545,0.0,0.48100000000000004,21.0,3528.0
8533.68108149464,16130.259387479775,32699.848678316695,0.0,0.601,0.0,0.57,0.0,0.531,21.0,3528.0
8139.69486082344,15670.77673626221,32156.73212347839,0.0,0.596,0.0,0.5589999999999999,0.0,0.545,21.0,3528.0
7716.48715575463,15009.76660644045,31899.78458825804,0.0,0.537,0.0,0.512,0.0,0.551,21.0,3528.0
7299.325275043946,14265.122572997949,31433.24847528933,0.0,0.47200000000000003,0.0,0.442,0.0,0.541,21.0,3528.0
6974.866034491192,13566.829859634414,31450.378310970686,0.0,0.42,0.0,0.391,0.0,0.536,21.0,3528.0
6500.2688223783125,14393.092521911612,31975.357392734615,0.0,0.37,0.0,0.382,0.0,0.54,21.0,3528.0
6169.763757467433,15369.493155748938,32576.916916368136,0.046,0.321,0.027999999999999997,0.33,0.006999999999999999,0.536,21.0,3528.0
6172.786669646495,15647.601076222727,32807.66587936994,0.221,0.14300000000000002,0.171,0.21600000000000003,0.16,0.359,21.0,3528.0
6367.260686499544,15254.622492944547,33373.958094247726,0.41,0.102,0.319,0.18600000000000003,0.382,0.293,21.0,3528.0
6988.972957993486,14558.345054367053,33921.105198658115,0.545,0.11199999999999999,0.455,0.12,0.561,0.21899999999999997,21.0,3528.0
7798.105784589329,14017.24377431479,34723.184563502815,0.623,0.066,0.49700000000000005,0.064,0.684,0.127,21.0,3528.0
8139.69486082344,13708.906732050371,35207.8581495459,0.593,0.063,0.545,0.025,0.736,0.106,21.0,3528.0
8362.382724681074,13713.944919015476,35066.788914522964,0.523,0.085,0.49200000000000005,0.006,0.75,0.124,21.0,3528.0
8296.886294134712,13375.378754960428,34325.16779325953,0.45,0.136,0.48200000000000004,0.001,0.711,0.152,21.0,3528.0
8857.132684654374,13741.151128627042,33891.88371426051,0.34,0.204,0.431,0.0,0.62,0.17,21.0,3528.0
9134.232967735143,14049.48817089146,33954.35723262781,0.233,0.28300000000000003,0.331,0.001,0.473,0.183,21.0,3528.0
9001.224831856374,13852.99887925237,33724.615907019026,0.11599999999999999,0.41200000000000003,0.205,0.003,0.27699999999999997,0.193,21.0,3528.0
8569.956027643397,13408.63078893012,33081.74325027165,0.012,0.642,0.043,0.023,0.07400000000000001,0.222,21.0,3528.0
7964.36595443779,12676.07840420387,32968.887862253294,0.0,0.777,0.0,0.098,0.0,0.317,21.0,3528.0
7623.7845155967,13327.01216009542,33634.93617904016,0.0,0.745,0.0,0.179,0.0,0.397,21.0,3528.0
7847.480016847357,14971.476385505654,33620.829255537865,0.0,0.622,0.0,0.243,0.0,0.483,21.0,3528.0
8087.297716386349,14782.04055561771,32069.067670285564,0.0,0.469,0.0,0.28,0.0,0.545,21.0,3528.0
8801.71262803822,15715.112781555134,31139.018356527205,0.0,0.397,0.0,0.29,0.0,0.5589999999999999,21.0,3528.0
9225.927970500052,16447.665166281382,31221.644622754924,0.0,0.384,0.0,0.266,0.0,0.561,21.0,3528.0
9098.965658979409,16132.274662265816,31305.278526375663,0.0,0.42100000000000004,0.0,0.22699999999999998,0.0,0.5710000000000001,21.0,3528.0
8698.933613950081,15720.150968520238,30575.74905382848,0.0,0.479,0.0,0.20199999999999999,0.0,0.59,21.0,3528.0
8268.672447130124,15059.140838698479,29634.61572874689,0.0,0.499,0.0,0.205,0.0,0.59,21.0,3528.0
7849.495291633399,14373.947411444215,29470.37083368447,0.0,0.479,0.0,0.23800000000000002,0.0,0.56,21.0,3528.0
7424.272311778547,13586.982607494832,29240.629508075686,0.0,0.442,0.0,0.303,0.0,0.525,21.0,3528.0
6907.354329158787,13996.083389061348,30694.650266204953,0.0,0.41600000000000004,0.0,0.386,0.0,0.528,21.0,3528.0
6542.589592885193,14694.376102424885,31241.797370615343,0.064,0.335,0.047,0.387,0.01,0.581,21.0,3528.0
6506.314646736439,14837.460612233863,31403.0193534987,0.284,0.106,0.263,0.27899999999999997,0.187,0.455,21.0,3528.0
6563.749978138634,13989.029927310203,31971.32684316253,0.495,0.18600000000000003,0.46399999999999997,0.303,0.414,0.29,21.0,3528.0
7105.858895583919,13306.859412235002,32553.741256328653,0.645,0.282,0.612,0.251,0.589,0.243,21.0,3528.0
7873.678589065902,12994.4918203985,33120.03347120644,0.738,0.191,0.703,0.175,0.71,0.151,21.0,3528.0
8310.993217637006,12916.903741135884,33750.814479237575,0.7879999999999999,0.134,0.7490000000000001,0.109,0.774,0.086,21.0,3528.0
8692.887789591956,13066.034075302989,33804.21926106769,0.777,0.11800000000000001,0.743,0.057,0.785,0.054000000000000006,21.0,3528.0
8669.712129552472,13610.158267534316,33560.37101195661,0.716,0.124,0.6940000000000001,0.023,0.743,0.05,21.0,3528.0
9276.3098401511,14111.96168925876,33950.326683055726,0.601,0.139,0.596,0.009000000000000001,0.6559999999999999,0.076,21.0,3528.0
9604.799630275938,14685.307365887697,34196.190206952844,0.431,0.153,0.449,0.003,0.513,0.124,21.0,3528.0
9463.730395253002,14799.170391299067,33741.74574270038,0.214,0.195,0.253,0.001,0.314,0.153,21.0,3528.0
8983.087358781995,14330.619003544312,33712.52425830277,0.025,0.361,0.05,0.006,0.091,0.19,21.0,3528.0
8318.046679388151,13078.12572401924,33871.730966400086,0.0,0.563,0.0,0.061,0.0,0.308,21.0,3528.0
8013.740186695818,13665.578324150469,34463.2141161034,0.0,0.6729999999999999,0.0,0.165,0.0,0.414,21.0,3528.0
8211.237115727929,15320.11892349091,34699.00126607031,0.0,0.727,0.0,0.21600000000000003,0.0,0.509,21.0,3528.0
8578.017126787563,15624.425416183245,34179.06037127149,0.0,0.747,0.0,0.184,0.0,0.579,21.0,3528.0
9315.607698478918,16827.54446345029,33661.13475125871,0.0,0.736,0.0,0.158,0.0,0.579,21.0,3528.0
9513.10462751103,17105.65238392408,33494.874581410244,0.0,0.715,0.0,0.159,0.0,0.5489999999999999,21.0,3528.0
9333.745171553295,16952.49150018489,32539.63433282636,0.0,0.7040000000000001,0.0,0.177,0.0,0.551,21.0,3528.0
8955.88114917043,16504.092860290555,31755.692441056042,0.0,0.701,0.0,0.185,0.0,0.569,21.0,3528.0
8532.67344410162,16005.312350745175,31198.46896271544,0.0,0.691,0.0,0.16699999999999998,0.0,0.5770000000000001,21.0,3528.0
