delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0.01,0.317,0.053,0.028,0.074,0.005
0,0.399,0,0.062,0,0.044
0,0.289,0,0.11,0,0.112
0,0.204,0,0.224,0,0.178
0,0.312,0,0.478,0,0.244
0,0.527,0,0.693,0,0.33
0,0.673,0,0.775,0,0.42
0,0.715,0,0.801,0,0.496
0,0.704,0,0.781,0,0.562
0,0.623,0,0.715,0,0.608
0,0.483,0,0.628,0,0.637
0,0.336,0,0.548,0,0.661
0,0.233,0,0.483,0,0.666
0.073,0.176,0.057,0.34,0.012,0.638
0.291,0.06,0.278,0.158,0.195,0.416
0.491,0.056,0.476,0.164,0.421,0.252
0.629,0.405,0.616,0.067,0.597,0.386
0.716,0.468,0.705,0.006,0.714,0.505
0.757,0.435,0.744,0.004,0.77,0.619
0.746,0.376,0.739,0.014,0.779,0.683
0.688,0.301,0.689,0.036,0.738,0.731
0.577,0.235,0.594,0.053,0.634,0.747
0.416,0.17,0.446,0.056,0.483,0.74
0.211,0.104,0.252,0.053,0.285,0.717
0.028,0.074,0.052,0.063,0.081,0.649
0,0.133,0,0.099,0,0.584
0,0.274,0,0.148,0,0.525
0,0.439,0,0.286,0,0.474
0,0.57,0,0.515,0,0.37
0,0.648,0,0.667,0,0.213
0,0.684,0,0.739,0,0.073
0,0.691,0,0.759,0,0.036
0,0.689,0,0.761,0,0.12
0,0.668,0,0.745,0,0.284
0,0.647,0,0.716,0,0.359
0,0.643,0,0.684,0,0.284
0,0.645,0,0.635,0,0.15
0.065,0.595,0.05,0.48,0.013,0.049
0.266,0.348,0.255,0.222,0.184,0.005
0.461,0.341,0.452,0.166,0.401,0.01
0.599,0.588,0.597,0.06,0.572,0.018
0.674,0.607,0.689,0.021,0.685,0
0.711,0.533,0.737,0.026,0.74,0
0.707,0.37,0.734,0.049,0.749,0
0.659,0.205,0.685,0.079,0.71,0.006
0.544,0.092,0.583,0.097,0.628,0.01
0.384,0.028,0.436,0.103,0.486,0.011
0.18,0.004,0.244,0.107,0.295,0.03
0.02,0.013,0.05,0.135,0.089,0.092
0,0.152,0,0.254,0,0.394
0,0.386,0,0.451,0,0.7
0,0.526,0,0.667,0,0.777
0,0.565,0,0.75,0,0.756
0,0.567,0,0.766,0,0.712
0,0.556,0,0.706,0,0.663
0,0.538,0,0.622,0,0.628
0,0.508,0,0.581,0,0.618
0,0.421,0,0.548,0,0.628
0,0.297,0,0.524,0,0.647
0,0.205,0,0.484,0,0.681
0,0.121,0,0.421,0,0.732
0.057,0.053,0.054,0.267,0.012,0.766
0.239,0.006,0.263,0.163,0.174,0.668
0.451,0.001,0.46,0.342,0.395,0.573
0.596,0.01,0.606,0.228,0.562,0.491
0.685,0.017,0.698,0.102,0.673,0.254
0.718,0.007,0.739,0.043,0.724,0.1
0.715,0.001,0.735,0.022,0.735,0.031
0.656,0,0.686,0.018,0.693,0.012
0.55,0,0.594,0.021,0.598,0.004
0.383,0.008,0.449,0.024,0.455,0.002
0.18,0.049,0.257,0.027,0.267,0.01
0.023,0.219,0.056,0.031,0.075,0.029
0,0.515,0,0.032,0,0.103
0,0.7,0,0.041,0,0.195
0,0.754,0,0.069,0,0.302
0,0.771,0,0.185,0,0.453
0,0.779,0,0.476,0,0.594
0,0.78,0,0.718,0,0.661
0,0.775,0,0.8,0,0.683
0,0.775,0,0.814,0,0.697
0,0.794,0,0.797,0,0.722
0,0.799,0,0.771,0,0.746
0,0.775,0,0.745,0,0.775
0,0.732,0,0.724,0,0.816
0.077,0.596,0.059,0.625,0.012,0.842
0.298,0.211,0.276,0.494,0.163,0.694
0.5,0.256,0.472,0.65,0.369,0.461
0.643,0.636,0.615,0.515,0.535,0.312
0.735,0.617,0.706,0.308,0.651,0.126
0.78,0.648,0.751,0.155,0.713,0.072
0.77,0.724,0.746,0.08,0.726,0.047
0.71,0.804,0.696,0.056,0.688,0.013
0.599,0.841,0.597,0.047,0.599,0.002
0.439,0.834,0.449,0.04,0.446,0.002
0.232,0.766,0.254,0.036,0.242,0.004
0.035,0.733,0.054,0.05,0.078,0.014
0,0.771,0,0.077,0,0.065
0,0.704,0,0.081,0,0.155
0,0.701,0,0.094,0,0.312
0,0.717,0,0.13,0,0.524
0,0.692,0,0.185,0,0.68
0,0.68,0,0.279,0,0.718
0,0.665,0,0.388,0,0.692
0,0.624,0,0.478,0,0.708
0,0.617,0,0.516,0,0.725
0,0.692,0,0.516,0,0.75
0,0.755,0,0.494,0,0.761
0,0.783,0,0.453,0,0.779
0.084,0.727,0.057,0.336,0.011,0.79
0.305,0.376,0.268,0.145,0.145,0.637
0.5,0.395,0.463,0.211,0.334,0.508
0.638,0.936,0.603,0.231,0.516,0.663
0.721,0.927,0.694,0.141,0.636,0.552
0.748,0.904,0.733,0.1,0.716,0.461
0.738,0.894,0.729,0.095,0.726,0.412
0.677,0.893,0.679,0.107,0.687,0.41
0.566,0.888,0.584,0.105,0.589,0.362
0.407,0.875,0.439,0.091,0.444,0.23
0.205,0.817,0.248,0.086,0.258,0.119
0.029,0.737,0.053,0.103,0.076,0.111
0,0.75,0,0.128,0,0.148
0,0.723,0,0.151,0,0.212
0,0.703,0,0.201,0,0.314
0,0.728,0,0.282,0,0.42
0,0.706,0,0.351,0,0.467
0,0.636,0,0.387,0,0.525
0,0.558,0,0.371,0,0.551
0,0.546,0,0.308,0,0.59
0,0.598,0,0.215,0,0.658
0,0.636,0,0.143,0,0.715
0,0.654,0,0.103,0,0.76
0,0.671,0,0.081,0,0.728
0.068,0.579,0.055,0.055,0.012,0.552
0.267,0.233,0.26,0.024,0.131,0.478
0.461,0.199,0.454,0.085,0.268,0.727
0.6,0.355,0.593,0.127,0.496,0.794
0.69,0.29,0.683,0.08,0.637,0.625
0.733,0.384,0.727,0.053,0.65,0.359
0.72,0.43,0.723,0.05,0.578,0.267
0.659,0.447,0.675,0.076,0.61,0.246
0.553,0.41,0.579,0.119,0.549,0.29
0.383,0.29,0.435,0.16,0.376,0.33
0.163,0.237,0.246,0.194,0.18,0.286
0.027,0.491,0.054,0.235,0.044,0.135
0,0.841,0,0.294,0,0.102
0,0.902,0,0.304,0,0.073
0,0.882,0,0.302,0,0.047
0,0.843,0,0.317,0,0.035
0,0.785,0,0.33,0,0.04
0,0.706,0,0.346,0,0.059
0,0.595,0,0.376,0,0.065
0,0.465,0,0.41,0,0.083
0,0.36,0,0.489,0,0.098
0,0.283,0,0.577,0,0.115
0,0.266,0,0.644,0,0.116
0,0.272,0,0.677,0,0.091
0.032,0.223,0.056,0.587,0.014,0.054
0.139,0.125,0.258,0.53,0.168,0.02
0.267,0.136,0.448,0.598,0.373,0.004
0.417,0.164,0.587,0.513,0.542,0.016
0.528,0.074,0.677,0.369,0.659,0.045
0.579,0.039,0.715,0.236,0.728,0.075
0.545,0.068,0.712,0.16,0.738,0.096
0.497,0.106,0.664,0.122,0.701,0.112
0.447,0.142,0.565,0.092,0.599,0.132
0.324,0.232,0.422,0.078,0.465,0.184
0.155,0.35,0.236,0.073,0.283,0.3
0.025,0.523,0.051,0.071,0.09,0.352
0,0.743,0,0.083,0,0.442
0,0.836,0,0.073,0,0.491
0,0.846,0,0.057,0,0.419
0,0.788,0,0.047,0,0.391
0,0.683,0,0.025,0,0.295
0,0.612,0,0.017,0,0.285
0,0.545,0,0.024,0,0.276
0,0.523,0,0.021,0,0.251
0,0.619,0,0.017,0,0.188
0,0.625,0,0.017,0,0.152
0,0.629,0,0.02,0,0.183
0,0.624,0,0.043,0,0.165
0.077,0.425,0.051,0.116,0.019,0.166
0.288,0.121,0.246,0.219,0.205,0.121
0.485,0.303,0.438,0.336,0.419,0.048
0.627,0.52,0.585,0.334,0.583,0.012
0.717,0.527,0.679,0.335,0.692,0.004
0.755,0.486,0.727,0.343,0.744,0.002
0.745,0.524,0.725,0.344,0.753,0.002
0.688,0.566,0.677,0.342,0.698,0.002
0.579,0.597,0.585,0.329,0.589,0.006
0.421,0.648,0.441,0.29,0.448,0.011
0.218,0.669,0.251,0.253,0.271,0.013
0.033,0.666,0.054,0.227,0.096,0.01
0,0.624,0,0.216,0,0.004
0,0.546,0,0.167,0,0
0,0.456,0,0.084,0,0
0,0.391,0,0.032,0,0.005
0,0.486,0,0.036,0,0.031
0,0.545,0,0.042,0,0.056
0,0.571,0,0.145,0,0.085
0,0.516,0,0.295,0,0.138
0,0.541,0,0.377,0,0.204
0,0.537,0,0.33,0,0.256
0,0.337,0,0.237,0,0.316
0,0.226,0,0.169,0,0.395
0.059,0.231,0.058,0.092,0.016,0.472
0.222,0.103,0.267,0.02,0.155,0.37
0.464,0.081,0.461,0.002,0.36,0.212
0.629,0.387,0.602,0.002,0.527,0.102
0.713,0.398,0.691,0.004,0.635,0.048
0.734,0.373,0.734,0.007,0.689,0.026
0.694,0.381,0.731,0.016,0.688,0.018
0.603,0.4,0.683,0.04,0.645,0.015
0.48,0.405,0.586,0.06,0.544,0.014
0.326,0.393,0.442,0.064,0.43,0.015
0.146,0.332,0.253,0.064,0.267,0.024
0.024,0.301,0.058,0.068,0.072,0.037
0,0.286,0,0.073,0,0.055
0,0.269,0,0.096,0,0.112
0,0.235,0,0.134,0,0.205
0,0.194,0,0.151,0,0.318
0,0.174,0,0.175,0,0.45
0,0.161,0,0.21,0,0.559
0,0.152,0,0.245,0,0.618
0,0.142,0,0.271,0,0.616
0,0.121,0,0.287,0,0.59
0,0.097,0,0.285,0,0.576
0,0.092,0,0.261,0,0.555
0,0.114,0,0.226,0,0.504
0.055,0.129,0.056,0.162,0.012,0.458
0.205,0.046,0.261,0.074,0.104,0.272
0.405,0.016,0.454,0.136,0.244,0.092
0.561,0.094,0.594,0.144,0.435,0.029
0.657,0.154,0.684,0.104,0.62,0.035
0.687,0.267,0.718,0.081,0.7,0.064
0.594,0.399,0.714,0.077,0.719,0.087
0.41,0.474,0.666,0.088,0.682,0.097
0.304,0.451,0.573,0.11,0.597,0.092
0.288,0.357,0.426,0.123,0.427,0.077
0.189,0.243,0.245,0.137,0.205,0.072
0.033,0.15,0.057,0.195,0.058,0.083
0,0.086,0,0.296,0,0.104
0,0.043,0,0.331,0,0.15
0,0.016,0,0.33,0,0.266
0,0.005,0,0.305,0,0.434
0,0.003,0,0.272,0,0.573
0,0.002,0,0.238,0,0.671
0,0.002,0,0.208,0,0.71
0,0.001,0,0.172,0,0.704
0,0,0,0.129,0,0.635
0,0,0,0.102,0,0.519
0,0,0,0.087,0,0.307
0,0,0,0.081,0,0.097
0.072,0.002,0.058,0.07,0.016,0.012
0.264,0.001,0.259,0.037,0.172,0
0.451,0,0.448,0.122,0.371,0.002
0.585,0.007,0.588,0.317,0.528,0.002
0.67,0.022,0.679,0.322,0.632,0.02
0.708,0.069,0.723,0.284,0.648,0.047
0.694,0.175,0.72,0.226,0.609,0.078
0.608,0.326,0.672,0.188,0.482,0.105
0.412,0.446,0.575,0.167,0.383,0.135
0.236,0.494,0.433,0.16,0.294,0.19
0.13,0.436,0.248,0.152,0.174,0.238
0.027,0.381,0.058,0.143,0.067,0.282
0,0.345,0,0.121,0,0.346
0,0.319,0,0.083,0,0.326
0,0.348,0,0.051,0,0.267
0,0.378,0,0.055,0,0.208
0,0.355,0,0.079,0,0.165
0,0.296,0,0.091,0,0.129
0,0.224,0,0.105,0,0.092
0,0.159,0,0.14,0,0.066
0,0.092,0,0.169,0,0.067
0,0.041,0,0.177,0,0.114
0,0.015,0,0.159,0,0.246
0,0.006,0,0.119,0,0.423
0.063,0.007,0.057,0.064,0.019,0.553
0.251,0.006,0.253,0.018,0.186,0.471
0.438,0.003,0.441,0.002,0.391,0.799
0.569,0.001,0.58,0.016,0.551,0.879
0.656,0.001,0.67,0.019,0.653,0.781
0.683,0.001,0.709,0.014,0.709,0.622
0.673,0,0.705,0.009,0.713,0.498
0.617,0,0.656,0.005,0.672,0.429
0.515,0,0.565,0.004,0.578,0.349
0.365,0.002,0.423,0.005,0.443,0.261
0.182,0.02,0.239,0.009,0.265,0.211
0.03,0.144,0.055,0.026,0.085,0.256
0,0.4,0,0.103,0,0.405
0,0.608,0,0.214,0,0.491
0,0.679,0,0.362,0,0.53
0,0.658,0,0.512,0,0.527
0,0.59,0,0.628,0,0.501
0,0.491,0,0.727,0,0.479
0,0.405,0,0.723,0,0.483
0,0.362,0,0.658,0,0.52
0,0.405,0,0.598,0,0.577
0,0.531,0,0.54,0,0.645
0,0.642,0,0.495,0,0.706
0,0.692,0,0.442,0,0.75
0.077,0.52,0.054,0.345,0.018,0.766
0.275,0.211,0.242,0.272,0.175,0.56
0.465,0.321,0.427,0.288,0.402,0.244
0.603,0.515,0.568,0.184,0.567,0.091
0.694,0.498,0.658,0.087,0.671,0.001
0.742,0.585,0.706,0.044,0.704,0
0.741,0.701,0.702,0.036,0.715,0.005
0.688,0.776,0.655,0.044,0.68,0.017
0.565,0.799,0.562,0.058,0.597,0.041
0.397,0.8,0.424,0.07,0.459,0.092
0.219,0.79,0.243,0.082,0.276,0.097
0.047,0.803,0.058,0.109,0.091,0.119
0,0.825,0,0.186,0,0.261
0,0.785,0,0.352,0,0.345
0,0.792,0,0.573,0,0.295
0,0.838,0,0.715,0,0.163
0,0.846,0,0.74,0,0.061
0,0.836,0,0.703,0,0.039
0,0.848,0,0.608,0,0.048
0,0.834,0,0.541,0,0.065
0,0.773,0,0.483,0,0.054
0,0.713,0,0.431,0,0.032
0,0.692,0,0.387,0,0.013
0,0.685,0,0.348,0,0.005
0.097,0.565,0.062,0.213,0.021,0.002
0.319,0.228,0.267,0.152,0.199,0.001
0.511,0.258,0.456,0.139,0.409,0
0.643,0.78,0.594,0.068,0.568,0.001
0.727,0.698,0.682,0.023,0.674,0.022
0.756,0.608,0.724,0.008,0.728,0.073
0.747,0.556,0.72,0.006,0.738,0.184
0.691,0.537,0.673,0.007,0.703,0.317
0.584,0.603,0.581,0.01,0.618,0.352
0.43,0.725,0.439,0.011,0.484,0.303
0.234,0.707,0.252,0.01,0.304,0.247
0.045,0.673,0.061,0.015,0.106,0.197
0,0.625,0,0.043,0.001,0.148
0,0.447,0,0.123,0,0.087
0,0.274,0,0.399,0,0.05
0,0.186,0,0.72,0,0.023
0,0.196,0,0.812,0,0.014
0,0.161,0,0.748,0,0.034
0,0.081,0,0.654,0,0.09
0,0.022,0,0.587,0,0.168
0,0.003,0,0.548,0,0.16
0,0.001,0,0.534,0,0.103
0,0.001,0,0.525,0,0.072
0,0.003,0,0.514,0,0.061
0.095,0.005,0.06,0.37,0.023,0.079
0.312,0.003,0.257,0.227,0.208,0.073
0.504,0.003,0.446,0.376,0.412,0.023
0.634,0.005,0.585,0.353,0.566,0.016
0.717,0.041,0.672,0.227,0.669,0.016
0.746,0.135,0.715,0.127,0.719,0.009
0.735,0.226,0.711,0.082,0.727,0.011
0.679,0.212,0.664,0.068,0.69,0.02
0.575,0.188,0.572,0.06,0.598,0.04
0.423,0.18,0.43,0.048,0.464,0.067
0.229,0.184,0.246,0.038,0.286,0.081
0.044,0.237,0.059,0.036,0.097,0.092
0,0.259,0,0.061,0.001,0.087
0,0.156,0,0.188,0,0.065
0,0.086,0,0.391,0,0.03
0,0.16,0,0.548,0,0.007
0,0.324,0,0.611,0,0.001
0,0.395,0,0.628,0,0.001
0,0.39,0,0.635,0,0.004
0,0.332,0,0.639,0,0.014
0,0.217,0,0.657,0,0.032
0,0.111,0,0.668,0,0.066
0,0.068,0,0.658,0,0.11
0,0.054,0,0.648,0,0.134
0.084,0.05,0.059,0.534,0.022,0.12
0.282,0.014,0.252,0.393,0.191,0.053
0.45,0.009,0.437,0.542,0.392,0.009
0.541,0.111,0.576,0.573,0.548,0.003
0.612,0.197,0.665,0.524,0.651,0.014
0.667,0.25,0.708,0.449,0.713,0.016
0.69,0.248,0.704,0.374,0.723,0.019
0.651,0.206,0.657,0.309,0.688,0.021
0.555,0.167,0.56,0.253,0.608,0.018
0.407,0.139,0.419,0.208,0.478,0.01
0.219,0.102,0.237,0.187,0.301,0.004
0.043,0.061,0.057,0.203,0.105,0.001
0,0.03,0,0.244,0.001,0.001
0,0.014,0,0.248,0,0.007
0,0.009,0,0.213,0,0.041
0,0.015,0,0.153,0,0.112
0,0.039,0,0.128,0,0.207
0,0.085,0,0.157,0,0.296
0,0.136,0,0.204,0,0.37
0,0.178,0,0.264,0,0.431
0,0.157,0,0.248,0,0.459
0,0.114,0,0.178,0,0.453
0,0.096,0,0.127,0,0.41
0,0.08,0,0.092,0,0.351
0.08,0.061,0.057,0.053,0.023,0.284
0.253,0.014,0.245,0.035,0.185,0.139
0.418,0.012,0.427,0.099,0.369,0.064
0.544,0.012,0.566,0.165,0.514,0.07
0.647,0.002,0.655,0.167,0.616,0.074
0.705,0.011,0.697,0.141,0.68,0.098
0.705,0.034,0.694,0.117,0.684,0.129
0.652,0.072,0.647,0.1,0.64,0.162
0.542,0.12,0.553,0.102,0.539,0.17
0.391,0.159,0.413,0.119,0.412,0.168
0.207,0.172,0.234,0.145,0.262,0.184
0.041,0.183,0.057,0.201,0.096,0.251
0,0.19,0,0.367,0.001,0.457
0,0.192,0,0.483,0,0.625
0,0.179,0,0.474,0,0.698
0,0.161,0,0.41,0,0.737
0,0.155,0,0.356,0,0.788
0,0.158,0,0.314,0,0.851
0,0.158,0,0.257,0,0.881
0,0.151,0,0.19,0,0.864
0,0.133,0,0.136,0,0.824
0,0.115,0,0.1,0,0.799
0,0.118,0,0.088,0,0.79
0,0.119,0,0.098,0,0.775
0.074,0.092,0.057,0.075,0.021,0.728
0.255,0.02,0.244,0.022,0.176,0.478
0.425,0.008,0.427,0,0.36,0.336
0.558,0,0.565,0,0.518,0.479
0.65,0,0.655,0,0.629,0.603
0.691,0,0.7,0,0.695,0.727
0.685,0,0.697,0,0.7,0.801
0.63,0.006,0.65,0,0.664,0.831
0.52,0.04,0.55,0,0.59,0.777
0.367,0.099,0.41,0,0.46,0.647
0.188,0.16,0.232,0.001,0.287,0.514
0.038,0.204,0.056,0.002,0.102,0.384
0,0.247,0,0.023,0.001,0.272
0,0.303,0,0.078,0,0.152
0,0.435,0,0.18,0,0.105
0,0.594,0,0.372,0,0.118
0,0.67,0,0.559,0,0.175
0,0.695,0,0.651,0,0.275
0,0.673,0,0.695,0,0.418
0,0.605,0,0.688,0,0.565
0,0.362,0,0.645,0,0.654
0,0.103,0,0.57,0,0.642
0,0.011,0,0.455,0,0.553
0,0.001,0,0.338,0,0.45
0.067,0.002,0.059,0.206,0.023,0.326
0.229,0.007,0.248,0.156,0.172,0.134
0.406,0.018,0.432,0.183,0.358,0.051
0.566,0.064,0.568,0.16,0.512,0.031
0.653,0.078,0.655,0.125,0.603,0.04
0.665,0.087,0.693,0.096,0.648,0.075
0.657,0.11,0.689,0.07,0.679,0.17
0.605,0.159,0.642,0.048,0.659,0.313
0.491,0.201,0.554,0.03,0.574,0.428
0.35,0.235,0.415,0.018,0.444,0.479
0.181,0.244,0.236,0.009,0.273,0.516
0.036,0.218,0.056,0.009,0.095,0.508
0,0.224,0,0.018,0.001,0.52
0,0.219,0,0.025,0,0.531
0,0.157,0,0.063,0,0.517
0,0.082,0,0.142,0,0.424
0,0.062,0,0.219,0,0.266
0,0.102,0,0.277,0,0.169
0,0.212,0,0.328,0,0.154
0,0.362,0,0.393,0,0.177
0,0.406,0,0.486,0,0.207
0,0.362,0,0.516,0,0.252
0,0.33,0,0.486,0,0.291
0,0.329,0,0.412,0,0.319
0.072,0.272,0.062,0.253,0.023,0.362
0.235,0.123,0.255,0.112,0.162,0.278
0.395,0.135,0.427,0.127,0.321,0.194
0.504,0.121,0.57,0.068,0.48,0.135
0.561,0.079,0.66,0.026,0.601,0.104
0.563,0.04,0.706,0.01,0.652,0.132
0.53,0.011,0.703,0.004,0.649,0.204
0.438,0.002,0.657,0.001,0.608,0.267
0.311,0,0.56,0.001,0.533,0.28
0.212,0.002,0.419,0.001,0.408,0.278
0.127,0.008,0.238,0.001,0.249,0.291
0.033,0.027,0.059,0,0.088,0.34
0,0.053,0,0,0.002,0.472
0,0.084,0,0.001,0,0.582
0,0.085,0,0.027,0,0.587
0,0.048,0,0.15,0,0.479
0,0.023,0,0.442,0,0.335
0,0.015,0,0.686,0,0.237
0,0.014,0,0.743,0,0.21
0,0.015,0,0.692,0,0.25
0,0.024,0,0.641,0,0.264
0,0.051,0,0.611,0,0.2
0,0.102,0,0.57,0,0.087
0,0.186,0,0.527,0,0.012
0.074,0.252,0.061,0.387,0.025,0
0.249,0.135,0.25,0.243,0.193,0.001
0.429,0.091,0.432,0.423,0.393,0.001
0.565,0.059,0.57,0.401,0.548,0
0.652,0.021,0.659,0.299,0.655,0
0.668,0.006,0.704,0.211,0.709,0.001
0.66,0.003,0.7,0.149,0.719,0.006
0.604,0.003,0.652,0.102,0.683,0.02
0.51,0.005,0.56,0.08,0.592,0.03
0.362,0.013,0.411,0.078,0.458,0.036
0.188,0.033,0.224,0.075,0.282,0.046
0.039,0.098,0.053,0.059,0.1,0.062
0,0.279,0,0.024,0.002,0.082
0,0.522,0,0.043,0,0.065
0,0.611,0,0.062,0,0.056
0,0.58,0,0.129,0,0.065
0,0.514,0,0.401,0,0.087
0,0.431,0,0.637,0,0.13
0,0.349,0,0.739,0,0.175
0,0.271,0,0.701,0,0.183
0,0.214,0,0.649,0,0.124
0,0.164,0,0.598,0,0.077
0,0.124,0,0.551,0,0.078
0,0.096,0,0.503,0,0.117
0.086,0.066,0.064,0.327,0.026,0.193
0.273,0.015,0.232,0.206,0.177,0.185
0.452,0.009,0.367,0.287,0.366,0.114
0.586,0.002,0.419,0.352,0.514,0.078
0.671,0,0.491,0.342,0.605,0.131
0.71,0,0.581,0.285,0.617,0.244
0.7,0.005,0.641,0.213,0.617,0.379
0.646,0.033,0.646,0.153,0.567,0.486
0.547,0.081,0.567,0.105,0.485,0.523
0.399,0.135,0.428,0.079,0.392,0.513
0.216,0.158,0.248,0.064,0.241,0.479
0.047,0.179,0.064,0.045,0.083,0.407
0,0.216,0,0.04,0.002,0.342
0,0.236,0,0.119,0,0.314
0,0.254,0,0.346,0,0.479
0,0.247,0,0.674,0,0.715
0,0.208,0,0.802,0,0.707
0,0.167,0,0.812,0,0.514
0,0.159,0,0.756,0,0.402
0,0.175,0,0.696,0,0.452
0,0.177,0,0.684,0,0.467
0,0.148,0,0.658,0,0.416
0,0.097,0,0.601,0,0.459
0,0.052,0,0.523,0,0.317
0.079,0.035,0.065,0.314,0.025,0.036
0.253,0.018,0.262,0.212,0.146,0.002
0.427,0.001,0.444,0.493,0.271,0.006
0.557,0.002,0.577,0.451,0.382,0.027
0.642,0.002,0.663,0.325,0.451,0.012
0.675,0.002,0.706,0.214,0.52,0
0.665,0.014,0.704,0.139,0.57,0
0.61,0.046,0.657,0.096,0.581,0.002
0.507,0.076,0.567,0.073,0.497,0.004
0.364,0.1,0.43,0.06,0.386,0.004
0.193,0.112,0.231,0.056,0.234,0.004
0.042,0.119,0.053,0.062,0.085,0.004
0,0.14,0,0.078,0.002,0.003
0,0.201,0,0.074,0,0.006
0,0.303,0,0.053,0,0.018
0,0.399,0,0.04,0,0.039
0,0.457,0,0.053,0,0.059
0,0.476,0,0.066,0,0.077
0,0.471,0,0.069,0,0.102
0,0.453,0,0.06,0,0.125
0,0.43,0,0.11,0,0.124
0,0.394,0,0.159,0,0.113
0,0.336,0,0.182,0,0.102
0.001,0.246,0,0.194,0,0.091
0.084,0.107,0.061,0.153,0.025,0.084
0.261,0.016,0.248,0.065,0.164,0.054
0.434,0.015,0.427,0.059,0.334,0.037
0.563,0.037,0.561,0.056,0.452,0.051
0.645,0.097,0.647,0.049,0.509,0.112
0.673,0.183,0.689,0.04,0.529,0.213
0.664,0.255,0.686,0.032,0.568,0.313
0.611,0.29,0.639,0.027,0.583,0.381
0.496,0.292,0.551,0.022,0.526,0.384
0.353,0.284,0.414,0.016,0.409,0.353
0.185,0.261,0.238,0.012,0.246,0.33
0.041,0.286,0.061,0.009,0.084,0.29
0,0.419,0,0.005,0.002,0.316
0,0.563,0,0.009,0,0.475
0,0.676,0,0.11,0,0.713
0,0.728,0,0.387,0,0.834
0,0.725,0,0.648,0,0.877
0,0.685,0,0.745,0,0.935
0,0.625,0,0.745,0,0.964
0,0.562,0,0.707,0,0.937
0,0.474,0,0.632,0,0.79
0,0.41,0,0.551,0,0.587
0,0.41,0,0.494,0,0.541
0.001,0.499,0,0.468,0,0.556
0.082,0.47,0.063,0.343,0.023,0.538
0.256,0.267,0.25,0.282,0.126,0.559
0.426,0.361,0.428,0.461,0.275,0.478
0.556,0.173,0.563,0.479,0.451,0.177
0.639,0.084,0.649,0.372,0.579,0.015
0.685,0.078,0.691,0.24,0.66,0.033
0.675,0.114,0.686,0.147,0.672,0.078
0.617,0.16,0.633,0.092,0.631,0.137
0.506,0.217,0.537,0.058,0.51,0.179
0.37,0.265,0.403,0.039,0.343,0.223
0.206,0.29,0.227,0.035,0.188,0.302
0.048,0.328,0.057,0.044,0.071,0.384
0,0.461,0,0.072,0.003,0.458
0,0.588,0,0.098,0,0.542
0,0.685,0,0.157,0,0.781
0,0.722,0,0.261,0,0.937
0,0.706,0,0.364,0,0.937
0,0.659,0,0.441,0,0.845
0,0.595,0,0.466,0,0.619
0,0.518,0,0.435,0,0.428
0,0.405,0,0.325,0,0.338
0,0.302,0,0.202,0,0.342
0,0.234,0,0.114,0,0.334
0.001,0.187,0,0.056,0,0.303
0.09,0.113,0.062,0.022,0.03,0.219
0.272,0.031,0.244,0.019,0.18,0.184
0.442,0.092,0.416,0.098,0.345,0.149
0.57,0.187,0.538,0.152,0.474,0.044
0.653,0.278,0.624,0.164,0.576,0.005
0.691,0.341,0.648,0.184,0.63,0
0.682,0.384,0.639,0.217,0.648,0
0.627,0.453,0.59,0.246,0.612,0
0.522,0.486,0.51,0.238,0.528,0
0.377,0.493,0.389,0.198,0.413,0.01
0.202,0.508,0.228,0.161,0.258,0.047
0.046,0.526,0.059,0.15,0.094,0.113
0,0.654,0,0.179,0.003,0.226
0,0.723,0,0.187,0,0.29
0,0.754,0,0.217,0,0.295
0,0.758,0,0.209,0,0.284
0,0.74,0,0.152,0,0.276
0,0.715,0,0.1,0,0.299
0,0.68,0,0.088,0,0.399
0,0.616,0,0.09,0,0.523
0,0.518,0,0.061,0,0.564
0,0.429,0,0.027,0,0.573
0,0.418,0,0.022,0,0.658
0.001,0.499,0,0.023,0,0.757
0.087,0.37,0.06,0.018,0.029,0.815
0.263,0.176,0.233,0.024,0.174,0.873
0.434,0.417,0.41,0.079,0.353,0.841
0.567,0.399,0.547,0.101,0.503,0.67
0.652,0.421,0.634,0.107,0.605,0.291
0.696,0.497,0.679,0.112,0.607,0.083
0.685,0.556,0.674,0.111,0.571,0.013
0.631,0.598,0.626,0.112,0.56,0.001
0.521,0.618,0.53,0.121,0.496,0
0.374,0.631,0.391,0.128,0.355,0
0.195,0.645,0.203,0.132,0.195,0
0.045,0.632,0.048,0.148,0.063,0.024
0,0.694,0,0.224,0.002,0.151
0,0.737,0,0.294,0,0.421
0,0.756,0,0.379,0,0.589
0,0.768,0,0.433,0,0.642
0,0.775,0,0.461,0,0.638
0,0.788,0,0.477,0,0.608
0,0.801,0,0.471,0,0.573
0,0.815,0,0.434,0,0.558
0,0.822,0,0.365,0,0.465
0,0.82,0,0.272,0,0.329
0,0.804,0,0.181,0,0.232
0.002,0.769,0,0.106,0,0.186
0.093,0.545,0.056,0.034,0.011,0.156
0.275,0.382,0.216,0.004,0.054,0.132
0.447,0.436,0.386,0.002,0.152,0.168
0.578,0.236,0.514,0.005,0.297,0.102
0.659,0.143,0.559,0.011,0.413,0.019
