delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
0.333,0.141,0.515,0.097,0.343,0.171
0.522,0.118,0.67,0.201,0.551,0.049
0.631,0.167,0.761,0.278,0.677,0.065
0.621,0.128,0.791,0.239,0.706,0.02
0.614,0.116,0.783,0.217,0.719,0.005
0.55,0.125,0.729,0.224,0.671,0.003
0.376,0.145,0.617,0.237,0.596,0.005
0.201,0.16,0.451,0.237,0.415,0.012
0.04,0.227,0.21,0.239,0.201,0.028
0,0.331,0.004,0.318,0.006,0.066
0,0.426,0,0.421,0,0.11
0,0.475,0,0.522,0,0.168
0,0.584,0,0.599,0,0.254
0,0.668,0,0.657,0,0.347
0,0.688,0,0.683,0,0.394
0,0.654,0,0.663,0,0.394
0,0.57,0,0.622,0,0.374
0,0.494,0,0.578,0,0.356
0,0.405,0,0.509,0,0.353
0,0.404,0,0.43,0,0.365
0,0.461,0,0.351,0,0.387
0,0.52,0,0.285,0,0.416
0,0.528,0.004,0.239,0,0.441
0.044,0.379,0.237,0.105,0.091,0.453
0.125,0.117,0.482,0.06,0.355,0.248
0.293,0.054,0.643,0.22,0.555,0.099
0.57,0.225,0.738,0.105,0.675,0.04
0.642,0.223,0.777,0.061,0.71,0.004
0.656,0.154,0.771,0.062,0.717,0.002
0.6,0.176,0.717,0.075,0.66,0.009
0.453,0.237,0.601,0.084,0.547,0.018
0.255,0.298,0.432,0.087,0.364,0.027
0.052,0.454,0.195,0.105,0.138,0.048
0,0.632,0.004,0.157,0.003,0.113
0,0.726,0,0.203,0,0.183
0,0.777,0,0.252,0,0.216
0,0.82,0,0.297,0,0.218
0,0.836,0,0.329,0,0.187
0,0.828,0,0.345,0,0.143
0,0.806,0,0.344,0,0.111
0,0.788,0,0.32,0,0.09
0,0.79,0,0.284,0,0.08
0,0.784,0,0.243,0,0.07
0,0.761,0,0.207,0,0.063
0,0.754,0,0.18,0,0.057
0,0.739,0,0.156,0,0.059
0,0.709,0.004,0.14,0,0.062
0.169,0.532,0.232,0.084,0.055,0.069
0.428,0.202,0.473,0.025,0.283,0.047
0.608,0.175,0.632,0.075,0.5,0.015
0.705,0.726,0.727,0.031,0.636,0.005
0.714,0.697,0.764,0.031,0.679,0.005
0.705,0.678,0.759,0.038,0.695,0.003
0.64,0.683,0.706,0.039,0.652,0.002
0.484,0.671,0.602,0.032,0.534,0.002
0.29,0.597,0.435,0.027,0.363,0.002
0.067,0.564,0.199,0.047,0.144,0.003
0,0.636,0.004,0.12,0.004,0.004
0,0.672,0,0.206,0,0.006
0,0.685,0,0.276,0,0.008
0,0.706,0,0.308,0,0.015
0,0.694,0,0.296,0,0.026
0,0.672,0,0.272,0,0.038
0,0.66,0,0.255,0,0.042
0,0.676,0,0.246,0,0.041
0,0.708,0,0.261,0,0.044
0,0.699,0,0.291,0,0.063
0,0.654,0,0.327,0,0.105
0,0.617,0,0.34,0,0.121
0,0.59,0,0.318,0,0.169
0,0.621,0.005,0.263,0,0.268
0.21,0.423,0.246,0.104,0.062,0.363
0.468,0.119,0.485,0.033,0.291,0.362
0.638,0.078,0.642,0.157,0.497,0.207
0.729,0.316,0.732,0.161,0.626,0.099
0.706,0.278,0.761,0.058,0.71,0.049
0.695,0.212,0.754,0.013,0.72,0.047
0.625,0.178,0.699,0.002,0.678,0.051
0.48,0.128,0.582,0,0.578,0.045
0.257,0.069,0.414,0.001,0.406,0.056
0.058,0.04,0.18,0.011,0.17,0.088
0,0.017,0.003,0.091,0.005,0.121
0,0.005,0,0.236,0,0.127
0,0.003,0,0.373,0,0.138
0,0.003,0,0.456,0,0.092
0,0.003,0,0.486,0,0.063
0,0.004,0,0.49,0,0.067
0,0.005,0,0.471,0,0.107
0,0.01,0,0.409,0,0.165
0,0.018,0,0.306,0,0.216
0,0.031,0,0.202,0,0.213
0,0.05,0,0.149,0,0.159
0,0.067,0,0.157,0,0.105
0,0.06,0,0.206,0,0.077
0,0.032,0.004,0.304,0,0.069
0.124,0.015,0.209,0.235,0.041,0.064
0.329,0.002,0.447,0.241,0.218,0.032
0.504,0,0.609,0.303,0.412,0.006
0.615,0,0.702,0.065,0.546,0.001
0.618,0,0.736,0.002,0.611,0
0.598,0,0.732,0,0.613,0
0.523,0.001,0.678,0,0.564,0
0.378,0.001,0.565,0,0.418,0
0.199,0.001,0.395,0,0.295,0.001
0.038,0.002,0.164,0.003,0.11,0.035
0,0.002,0.003,0.06,0.003,0.233
0,0.002,0,0.174,0,0.503
0,0.003,0,0.256,0,0.602
0,0.004,0,0.241,0,0.587
0,0.005,0,0.193,0,0.55
0,0.006,0,0.168,0,0.508
0,0.006,0,0.155,0,0.468
0,0.005,0,0.134,0,0.427
0,0.005,0,0.105,0,0.377
0,0.005,0,0.073,0,0.291
0,0.005,0,0.052,0,0.202
0,0.004,0,0.041,0,0.127
0,0.004,0,0.044,0,0.078
0,0.005,0.003,0.061,0,0.044
0.092,0.011,0.204,0.046,0.039,0.021
0.287,0.008,0.443,0.08,0.212,0.005
0.45,0.002,0.601,0.198,0.401,0
0.539,0.003,0.69,0.135,0.491,0.006
0.547,0.001,0.728,0.064,0.459,0.022
0.474,0,0.722,0.029,0.463,0.043
0.367,0,0.668,0.014,0.439,0.075
0.22,0,0.547,0.007,0.366,0.081
0.11,0.001,0.38,0.003,0.234,0.067
0.019,0.004,0.158,0.004,0.097,0.08
0,0.006,0.003,0.023,0.002,0.174
0,0.009,0,0.09,0,0.281
0,0.01,0,0.177,0,0.373
0,0.015,0,0.251,0,0.449
0,0.02,0,0.29,0,0.487
