Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
2918.4151094677622,15282.854521072542,31969.452591688667,0.0,0.21,0.0,0.495,0.0,0.013999999999999999,17.0,2856.0
2639.0782106002534,14668.716718147225,31369.432899175426,0.0,0.215,0.0,0.402,0.0,0.005,17.0,2856.0
2495.88023356348,14406.52323906581,31156.652806536276,0.0,0.18899999999999997,0.0,0.305,0.0,0.001,17.0,2856.0
2437.3909189991646,13817.596347590628,30996.31140971341,0.0,0.161,0.0,0.23800000000000002,0.0,0.0,17.0,2856.0
2529.15863667766,12718.400608364693,31234.302413802696,0.0,0.14300000000000002,0.0,0.214,0.0,0.0,17.0,2856.0
2998.0815896501927,13752.047977820275,32386.94528530292,0.0,0.125,0.0,0.20800000000000002,0.0,0.0,17.0,2856.0
4095.2604559601186,16972.99402468967,34434.07129505398,0.002,0.102,0.006,0.188,0.0,0.006999999999999999,17.0,2856.0
5075.460693141413,19117.938370867258,35239.81202500033,0.158,0.07,0.16899999999999998,0.079,0.092,0.05,17.0,2856.0
5497.9955690456945,18768.010919939366,34512.7293387784,0.39399999999999996,0.018000000000000002,0.39299999999999996,0.081,0.34600000000000003,0.07200000000000001,17.0,2856.0
5672.455076280637,17423.765121418106,34831.39525950812,0.56,0.026000000000000002,0.46399999999999997,0.16699999999999998,0.545,0.039,17.0,2856.0
5856.998948095634,16269.10537700187,35937.6500539401,0.655,0.053,0.423,0.106,0.6679999999999999,0.01,17.0,2856.0
5626.066999212387,15227.390515882244,36435.81766419479,0.636,0.049,0.37,0.064,0.736,0.001,17.0,2856.0
5248.91176391835,14739.307270207608,35880.16917583379,0.627,0.043,0.39399999999999996,0.042,0.745,0.0,17.0,2856.0
4622.672723496967,13748.014231988253,35602.84914988229,0.56,0.055999999999999994,0.5329999999999999,0.032,0.7020000000000001,0.0,17.0,2856.0
4489.559111040248,13425.31456542651,35866.051065421714,0.42,0.09,0.579,0.036000000000000004,0.607,0.0,17.0,2856.0
4364.512990247573,13631.035602859622,35556.46107281404,0.22899999999999998,0.09300000000000001,0.425,0.055999999999999994,0.469,0.0,17.0,2856.0
4331.234587133393,14055.587351679915,35319.478505182764,0.068,0.087,0.207,0.10300000000000001,0.263,0.0,17.0,2856.0
4474.432564170166,14237.105914120895,34618.61516686898,0.0,0.064,0.006,0.2,0.016,0.0,17.0,2856.0
4856.62998175423,14441.818515096,33085.79175070069,0.0,0.04,0.0,0.308,0.0,0.0,17.0,2856.0
4945.37239005871,15420.001879361283,34110.36319203423,0.0,0.028999999999999998,0.0,0.391,0.0,0.002,17.0,2856.0
4622.672723496967,14593.083983796818,32878.053840351575,0.0,0.034,0.0,0.45,0.0,0.015,17.0,2856.0
4172.910063226538,14128.194776656306,32451.48521861527,0.0,0.043,0.0,0.475,0.0,0.042,17.0,2856.0
3768.5270435663538,15157.808400279868,31904.912658376317,0.0,0.045,0.0,0.46,0.0,0.049,17.0,2856.0
