Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
6476.287833267992,14528.159122113379,30677.889541781664,0.0,0.19,0.0,0.332,0.0,0.9670000000000001,1.0,168.0
6065.396462555867,14371.200617972738,30116.038081099876,0.0,0.21899999999999997,0.0,0.32799999999999996,0.0,0.97,1.0,168.0
5720.487647724522,14095.27356610766,29662.15807549573,0.0,0.21600000000000003,0.0,0.331,0.0,0.972,1.0,168.0
5442.561124469119,13711.375059164946,29472.208293414697,0.0,0.19699999999999998,0.0,0.36700000000000005,0.0,0.973,1.0,168.0
5215.6211216670445,14610.13744911677,30061.052617865895,0.0,0.18600000000000003,0.0,0.408,0.0,0.973,1.0,168.0
5159.635922737899,16513.634212707733,31070.785669980847,0.012,0.162,0.002,0.445,0.001,0.968,1.0,168.0
5171.632751079858,17803.293259468417,32146.501277976582,0.085,0.109,0.065,0.5710000000000001,0.055,0.97,1.0,168.0
5269.606849205864,17599.3471776551,32333.45185297212,0.204,0.142,0.191,0.797,0.175,0.971,1.0,168.0
5387.575661235136,16579.616768588512,32258.471675834873,0.348,0.17800000000000002,0.315,0.86,0.322,0.963,1.0,168.0
5853.452495181244,13862.335149134607,32382.438902035126,0.473,0.134,0.441,0.8759999999999999,0.452,0.941,1.0,168.0
6250.347566161082,13150.523334178322,32604.380226361383,0.547,0.073,0.534,0.873,0.547,0.915,1.0,168.0
6189.36368875612,13389.460165322356,32676.36119641314,0.537,0.031,0.573,0.8690000000000001,0.579,0.895,1.0,168.0
6535.272239282628,13705.376644993965,32430.426215402964,0.531,0.011000000000000001,0.574,0.871,0.584,0.88,1.0,168.0
6223.354702391673,13588.407568659857,31832.5842696953,0.485,0.004,0.5329999999999999,0.8759999999999999,0.547,0.8640000000000001,1.0,168.0
6344.322721506434,13886.328805818526,31898.56682557608,0.35600000000000004,0.002,0.455,0.887,0.469,0.8370000000000001,1.0,168.0
6488.284661609952,14084.276473460865,31923.56021795516,0.26,0.003,0.308,0.898,0.359,0.805,1.0,168.0
6447.295498108256,13603.403604087307,31661.62946582237,0.156,0.006,0.17800000000000002,0.9,0.23,0.7829999999999999,1.0,168.0
6368.316378190354,13384.46148684654,31843.581362342095,0.057999999999999996,0.011000000000000001,0.068,0.884,0.10400000000000001,0.79,1.0,168.0
6659.23946548288,15370.936313136059,33897.03848020756,0.003,0.015,0.002,0.81,0.019,0.813,1.0,168.0
6679.234179386147,16078.74918531169,34296.93275827289,0.0,0.036000000000000004,0.0,0.6779999999999999,0.0,0.846,1.0,168.0
6424.3015771195,15299.955078779461,33358.180940514525,0.0,0.037000000000000005,0.0,0.598,0.0,0.898,1.0,168.0
6214.357081135202,14409.190574388944,32794.33000844241,0.0,0.017,0.0,0.512,0.0,0.9420000000000001,1.0,168.0
6305.333029395065,14664.12317665559,31986.54356675045,0.0,0.006999999999999999,0.0,0.455,0.0,0.9620000000000001,1.0,168.0
6308.3322364805545,15154.993402980781,31132.769283080976,0.0,0.004,0.0,0.439,0.0,0.973,1.0,168.0
6118.382454399523,14929.05313587387,30597.910686168598,0.0,0.003,0.0,0.444,0.0,0.972,1.0,168.0
5783.470996519811,14540.155950455339,30250.002664251762,0.0,0.003,0.0,0.43200000000000005,0.0,0.973,1.0,168.0
5502.545266178918,14129.264579743214,30026.061868535176,0.0,0.006,0.0,0.42100000000000004,0.0,0.9670000000000001,1.0,168.0
5221.619535838025,13766.360522398927,29818.116843941207,0.0,0.021,0.0,0.392,0.0,0.945,1.0,168.0
5020.672661110198,14631.1318987152,30074.049181903018,0.0,0.052000000000000005,0.0,0.36200000000000004,0.0,0.905,1.0,168.0
4910.701734642232,16490.640291718977,30700.88346277042,0.012,0.077,0.003,0.33,0.0,0.846,1.0,168.0
4841.719971675962,17709.318104123064,31320.71959377168,0.09,0.045,0.064,0.424,0.044000000000000004,0.785,1.0,168.0
4911.701470337395,17545.36145011628,31523.665939889834,0.21,0.004,0.201,0.6459999999999999,0.158,0.713,1.0,168.0
5008.675832768237,16154.729098144102,31346.712721845925,0.35600000000000004,0.0,0.34700000000000003,0.701,0.292,0.6459999999999999,1.0,168.0
5319.59363396403,13446.445099946664,31218.74655286502,0.483,0.0,0.48200000000000004,0.6759999999999999,0.397,0.596,1.0,168.0
5707.491083687399,12566.677688202943,31393.7002995186,0.528,0.0,0.568,0.629,0.48100000000000004,0.5529999999999999,1.0,168.0
5944.428443441106,12418.71680531877,31800.592727450072,0.59,0.001,0.611,0.591,0.542,0.512,1.0,168.0
6017.409149188028,12873.596546618082,31653.631580261066,0.581,0.003,0.608,0.5760000000000001,0.561,0.456,1.0,168.0
5798.467031947261,12661.652579243459,31037.794392040458,0.518,0.006,0.565,0.5770000000000001,0.525,0.39299999999999996,1.0,168.0
5970.421571515352,12809.61346212763,31022.79835661301,0.381,0.013000000000000001,0.47100000000000003,0.614,0.44799999999999995,0.326,1.0,168.0
