Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
187,6545.0,11335.0,34680.0
188,6707.0,12363.0,35129.0
189,6727.0,13507.0,35405.0
190,6674.0,13127.0,35700.0
191,7047.0,13761.0,35241.0
192,7345.0,14152.0,35231.0
193,7206.0,12864.0,35839.0
194,6923.0,12123.0,36324.0
195,6604.0,11808.0,35827.0
196,6240.0,12088.0,35565.0
197,5917.0,12165.0,35554.0
198,5572.0,12615.0,35364.0
199,5267.0,13557.0,35471.0
200,5201.0,14025.0,36263.0
201,5125.0,13906.0,36120.0
202,5117.0,13420.0,36047.0
203,5631.0,13045.0,36748.0
204,5926.0,12789.0,37716.0
205,6179.0,12816.0,37487.0
206,6078.0,12508.0,36845.0
207,6398.0,12765.0,36971.0
208,6602.0,12994.0,37501.0
209,6569.0,12799.0,36262.0
210,6310.0,12228.0,33933.0
211,6107.0,11298.0,31652.0
212,6325.0,12763.0,32861.0
213,6456.0,13753.0,32887.0
214,6509.0,13422.0,33102.0
215,6918.0,14071.0,33685.0
216,7160.0,14337.0,35070.0
217,6994.0,13956.0,35443.0
218,6616.0,13632.0,35038.0
219,6292.0,13302.0,34193.0
220,5983.0,12651.0,33788.0
221,5736.0,11890.0,33484.0
222,5549.0,12211.0,33976.0
223,5483.0,13385.0,34618.0
224,5426.0,14140.0,33592.0
225,5483.0,14342.0,32895.0
226,5960.0,14007.0,32306.0
227,6507.0,13603.0,32822.0
228,6827.0,13171.0,34146.0
229,6875.0,13209.0,35051.0
230,6688.0,12870.0,35100.0
231,6996.0,12952.0,35253.0
232,7313.0,12998.0,35731.0
233,7290.0,13382.0,34826.0
234,7051.0,12919.0,33542.0
235,6656.0,11979.0,31856.0
236,6673.0,13317.0,33179.0
237,6667.0,14304.0,33433.0
238,6752.0,14088.0,33477.0
239,7320.0,15193.0,34017.0
240,7644.0,16134.0,34936.0
241,7354.0,15643.0,34788.0
242,6950.0,15217.0,34164.0
243,6507.0,14690.0,33942.0
244,6154.0,14001.0,33824.0
245,5853.0,13177.0,33797.0
246,5580.0,13417.0,34683.0
247,5444.0,14941.0,35960.0
248,5403.0,15482.0,36132.0
249,5575.0,14329.0,37096.0
250,6206.0,13263.0,37494.0
251,6902.0,12894.0,38196.0
