Load_MW_z1,Load_MW_z2,Load_MW_z3
6928,12751,38205
6497,12452,37392
6310,11815,36246
6491,13467,37301
6438,14066,36952
6315,13325,36150
6585,14881,36360
6779,15214,36892
6631,14729,37257
6319,14267,36522
5985,13723,35522
5722,13069,35101
5523,12441,35005
5335,12817,35574
5204,14063,36918
5156,14797,36792
5179,14137,36519
5357,13660,35916
5789,12992,36160
5975,12364,37164
6148,12283,37369
6041,12060,37189
6341,11941,37608
6528,12225,37920
6510,12203,37198
6284,11774,35763
6122,10990,34036
6440,12784,34964
6495,13485,34358
6678,13311,34199
7056,14230,34727
7148,14563,35816
6965,14079,36183
6660,13727,35297
6299,13344,34819
5979,12718,34220
5750,12505,33955
5605,13166,34417
5616,14694,36084
5577,15038,36258
5642,14071,36621
6203,13485,37540
6947,13099,38236
7227,12989,39023
7342,12764,39091
7190,12423,38436
7517,12456,38436
7900,12907,39318
7855,13071,38865
7502,12724,37596
7187,12272,35772
7255,13542,36712
7291,13984,36567
7432,13344,36513
7846,14582,36500
7872,15052,36893
7627,14574,36967
7249,14261,36052
6908,13787,35290
6513,13133,34703
6251,12961,34530
6055,13430,35411
5989,14296,36537
5838,14525,37030
5904,14129,37663
6466,13649,38165
7118,12884,39014
7394,12600,39811
7612,12991,40671
7471,12437,40221
7801,12554,40693
8189,13065,41289
8117,12984,40880
7750,12848,39515
7277,11933,37457
7287,13635,37496
7213,14250,36112
7228,13708,36704
7741,14372,36743
7917,15477,37528
7669,14621,37572
7300,14506,36895
6982,14065,36454
6559,13550,35693
6240,13140,35748
6059,13690,36754
5906,14728,36999
5721,14919,37401
5798,14365,38491
6396,13702,38687
7090,13317,39651
7416,13099,40638
7589,12767,40067
7440,12524,39669
7901,12842,40285
8351,13205,40813
8196,13286,39981
7923,13025,38804
7403,12515,36621
7393,13696,37451
7495,14509,36979
7627,14186,36483
8063,15193,36966
8281,15756,37940
8073,15135,37733
7701,15000,36776
7300,14500,35986
6924,13910,35639
6600,13394,35635
6343,13734,36723
6091,14921,37792
5892,15115,37429
5943,14805,38070
6542,14139,38720
7308,13683,39562
7674,13424,40790
7807,13455,40725
7820,13393,39789
8421,13315,39671
8941,13863,40078
8820,13917,39478
8329,13488,37292
7883,12404,35292
7914,13988,36843
8030,15200,37021
8114,15041,36739
8631,15941,37035
8676,16522,37713
8358,16157,37582
8058,15486,36866
7689,15001,36148
7361,14351,35557
7051,13736,35544
6801,13881,36061
6493,15344,36928
6263,15613,37273
6301,15220,37321
6897,14520,37838
7639,13669,38178
8008,13026,39314
8265,13092,39594
8196,13285,38959
8760,13349,38762
9276,13947,39090
9098,14278,38663
8683,13747,36585
8186,12822,34679
8221,14044,35771
8306,14561,35681
8420,14482,35367
8921,15708,35660
9113,16499,36487
8787,16369,36620
8383,15982,36109
7997,15366,35386
7649,14614,34778
7240,14072,34893
6941,14700,35768
6531,15612,36852
6298,15710,37050
6171,14876,37138
6512,14228,37096
7243,13686,37527
7633,13391,38735
8018,13249,39153
7852,13092,38109
8244,13288,38035
8615,13995,38213
8161,14130,37256
7313,13513,36171
7037,12329,35001
7246,13955,36415
7336,14720,36567
7472,14341,36541
7884,14772,37028
8250,15207,38526
8070,15940,38486
7643,15645,37733
7276,15289,37053
6866,14658,36395
6490,13888,36183
6172,14532,36786
5806,15633,37482
5574,15601,36857
5339,14920,36407
5286,14190,36053
5518,13490,36352
5725,12829,37302
5958,12691,37716
6074,12614,36671
6456,13013,36358
6719,13660,36468
6602,13447,35850
6342,12748,34646
6153,11633,33114
6396,13084,34280
6710,13769,34400
7115,13200,34912
7762,14034,35495
8177,14674,36348
8013,14046,36495
7588,13046,35940
7054,12122,35238
6572,11480,34799
6149,11451,34589
5831,12007,35264
5628,13594,36168
5454,14192,36119
5592,13936,36653
6258,13576,36862
7039,13297,37987
7376,12689,39577
7514,12719,39527
7354,12971,39096
7901,12750,39339
8294,13018,39869
8140,13168,39170
7734,13037,37343
7267,12126,35424
7239,13143,36727
7212,14014,36638
7340,13518,36438
7893,14682,36622
8142,14946,37496
7779,15087,37448
7330,14486,36388
6920,13637,35455
6500,13259,34723
6125,12738,34516
5863,13205,35360
5689,14350,36480
5562,14738,36754
5659,14267,37363
6318,13543,37503
6992,13167,38295
7318,12795,39656
7426,12786,40094
7161,12661,39934
7762,12810,40079
8161,12787,40409
8033,12130,39668
7665,11231,38217
7265,10661,35990
7187,12332,37145
7185,12970,36991
6796,12540,36169
7053,13240,36582
7588,13723,37956
7355,13347,38174
6847,12907,37399
6557,12584,36644
6235,12128,36102
5936,11648,36048
5699,12191,36830
5578,13582,38026
5468,14159,37967
5618,13552,38056
6231,12995,38387
6985,12276,37412
7292,11896,39100
7439,11651,40633
7249,11516,40485
7674,11371,40561
8049,11167,40479
7804,10535,40513
7433,10530,39152
6919,10502,37204
6976,12183,38319
6900,13113,38245
6926,12964,37976
7401,13249,37800
7672,14456,37412
7493,14039,37193
7104,13444,37207
6546,13146,36916
6299,12525,35949
6122,12025,35893
5676,12418,36774
5367,13565,38234
5280,14321,38013
5341,14201,38189
5992,13672,38470
6809,12863,38726
7141,12043,37957
7272,11825,39446
7076,11926,38930
7535,12111,39059
7957,12117,40084
7849,12275,40172
7585,11834,39125
7134,10682,37032
7149,11733,37483
7023,12503,37074
6958,12279,36263
7392,13475,35916
7736,14401,35947
7511,14235,35650
7075,13182,35665
6697,12881,35745
6279,12479,35866
5961,12106,36099
5748,12453,37355
5624,13680,38034
5594,14139,37912
5682,13786,37683
6290,13608,37600
7035,13195,38805
7369,13075,39933
7480,13155,40084
7272,13218,39363
7684,12813,38902
8029,12797,39146
7619,13001,38943
7326,12206,36824
7089,11224,34768
7191,12059,36177
7049,12814,35703
6867,12857,35177
7195,13637,35234
7502,13578,35231
7342,13054,35839
7016,12879,36324
6666,12273,35827
6327,11919,35565
6036,11759,35461
5756,12337,36613
5559,13070,35833
5517,13347,35793
5564,13195,37442
5917,12826,37666
6608,12308,37578
6853,11924,39933
7021,11916,40084
6892,11810,37766
7199,11846,37469
7384,12392,37497
7045,12292,37015
6710,11859,36074
6545,11335,34680
6707,12363,35129
6727,13507,35405
6674,13127,35700
7047,13761,35241
7345,14152,35231
7206,12864,35839
6923,12123,36324
6604,11808,35827
6240,12088,35565
5917,12165,35554
5572,12615,35364
5267,13557,35471
5201,14025,36263
5125,13906,36120
5117,13420,36047
5631,13045,36748
5926,12789,37716
6179,12816,37487
6078,12508,36845
6398,12765,36971
6602,12994,37501
6569,12799,36262
6310,12228,33933
6107,11298,31652
6325,12763,32861
6456,13753,32887
6509,13422,33102
6918,14071,33685
7160,14337,35070
6994,13956,35443
6616,13632,35038
6292,13302,34193
5983,12651,33788
5736,11890,33484
5549,12211,33976
5483,13385,34618
5426,14140,33592
5483,14342,32895
5960,14007,32306
6507,13603,32822
6827,13171,34146
6875,13209,35051
6688,12870,35100
6996,12952,35253
7313,12998,35731
7290,13382,34826
7051,12919,33542
6656,11979,31856
6673,13317,33179
6667,14304,33433
6752,14088,33477
7320,15193,34017
7644,16134,34936
7354,15643,34788
6950,15217,34164
6507,14690,33942
6154,14001,33824
5853,13177,33797
5580,13417,34683
5444,14941,35960
5403,15482,36132
5575,14329,37096
6206,13263,37494
6902,12894,38196
7222,12506,39073
7327,12375,38635
7164,12946,37997
7634,13178,38653
8039,12673,39019
7868,13022,38092
7500,12891,37998
7156,13309,36161
7184,14047,36471
7093,14029,35902
7202,13853,35880
7767,14079,35773
7969,13643,36042
7748,12635,35945
7334,11825,35828
6879,11089,35750
6537,11300,36078
6206,12070,35890
6003,12305,36012
5816,13119,35416
5696,13585,36906
5811,13315,38156
6379,12447,38088
7013,11742,38644
7083,11266,38307
7270,10847,38233
7171,10732,38676
7634,11052,39486
7758,11434,39673
7345,11913,38369
7298,11809,38172
7035,12900,36298
7067,13557,36562
6946,13209,36727
6947,12715,36573
7487,12560,36909
7800,13302,37911
7359,13303,37576
6944,13278,35904
6701,12836,34754
6345,12632,34619
6031,12815,35167
5771,13755,36102
5659,14908,35674
5585,15713,36067
5688,15212,36847
6212,13723,37140
6872,14129,37309
7236,13887,37542
7365,12904,37779
7192,13114,37859
7642,12793,38904
8082,13537,38536
7990,13554,38158
7647,13922,37903
7259,13717,37266
7302,14689,37847
7198,15316,37725
7187,14954,37379
7771,15570,37659
8087,15332,37607
7870,15181,36675
7393,15239,36598
6982,14846,36955
6601,14441,36484
6280,13967,36104
5983,14698,37087
5799,15275,37934
5739,15670,38008
5812,15169,38210
6416,14686,38559
7080,14971,38671
7427,14715,39712
7694,14146,40105
7483,13822,39638
7884,13997,40055
8460,14115,40426
8320,13853,40064
7979,13360,38105
7511,12232,35511
7466,13247,36705
7466,14725,36483
7526,14833,36052
8086,16427,36124
8453,17327,36142
8163,16887,35864
7734,16554,35945
7341,15700,36699
6938,14907,36565
6542,13714,36261
6199,14601,37032
5888,15617,37786
5786,15769,37692
5833,15329,37834
6222,15165,37245
6879,14739,37877
7190,14210,39663
7349,14236,39583
7289,14002,39136
7699,14347,39628
8149,14824,39821
8068,14886,38964
7634,13979,37984
7302,13078,35582
7378,13983,36326
7480,14772,36517
7648,13969,35621
8157,15168,35362
8541,16035,35595
8322,16155,35017
7921,15656,34428
7533,15220,35290
7139,14488,35098
6791,13855,34901
6418,14457,35380
6014,15620,35953
5827,16136,35790
5745,16076,35582
5959,15318,35797
6361,14302,35388
6684,13531,37088
6960,13324,37245
7081,13213,36743
7507,13548,36964
7867,13487,36788
7733,13076,36029
7355,12131,33315
6926,10921,30630
7061,12054,32299
7438,13123,32671
7828,12999,33118
8504,14154,33714
8818,14913,33962
8631,14584,33378
8284,14465,33014
7912,14091,33616
7503,13492,33855
7159,12900,33914
6781,13587,34540
6417,14788,35401
6206,15214,35897
6267,15277,36601
6809,14997,37699
7580,14452,38207
7958,14130,39669
8172,14071,40227
8238,14051,39855
8783,13933,40132
9276,14058,40445
9169,13457,39643
8633,12010,36989
8123,11027,34514
8157,12243,34952
8408,13145,35417
8565,13119,35288
9091,14383,35241
9304,15174,35215
8907,14823,34664
8470,14610,34647
8041,14284,35674
7683,13672,35767
7299,13134,35586
6852,13641,36021
6419,14649,36621
6219,15081,36796
6310,14890,36854
6957,14496,37461
7673,14049,37791
8035,13914,39726
8238,13717,39899
8201,13548,39335
8816,13739,39709
9366,14558,40203
9138,14084,39976
8708,13638,38404
8211,12718,36495
8191,13882,35924
8259,14557,35883
8376,14362,36168
9028,15822,35721
9301,16316,34718
9078,15594,33947
8651,15234,34695
8262,14901,35612
7825,14411,35681
7436,13937,35717
6958,14810,36481
6391,15799,37145
6191,16308,37210
6189,16269,38101
6631,15770,38287
7289,14912,38350
7764,14472,39800
8070,14526,39726
8070,14602,39883
8663,14828,40226
9023,15009,40222
8838,13793,40286
8338,12425,38520
7957,11678,36166
7842,12871,36857
7233,14020,36591
8143,14230,36181
9028,15822,35771
9301,16316,34914
9078,15594,34047
8651,15234,34679
7764,14539,35652
7181,13614,36017
6833,13160,36095
6482,13821,36892
6181,14604,37636
6065,15250,37824
6200,15024,38211
6923,15357,39121
7721,15493,38743
8082,15496,39996
8352,14742,40033
8234,14706,39912
8820,15302,40157
9315,15305,40491
9177,15088,40165
8691,13763,38228
8103,12618,35680
7974,13497,36212
8106,14289,36335
8341,13799,36184
8995,15437,35962
9231,16846,35971
8894,16621,35028
8543,16331,34895
8035,15732,36131
7618,14903,36197
7266,14498,36051
6840,15124,36508
6479,16115,37104
6288,16292,37645
6383,16178,38071
6970,15835,38371
7845,15385,38150
8234,14794,39684
8544,14610,39872
8459,14581,39557
9005,14882,39927
9439,15208,39710
9142,14470,39270
8633,14035,37188
7945,13148,35285
8011,14058,36194
8191,15685,36011
8394,15966,35457
9002,16238,35088
9294,16415,34421
9059,16843,34344
8648,16376,35144
8248,15959,35851
7763,15328,35364
7426,14632,35156
6994,15188,35623
6569,16272,36153
6349,16521,36107
6319,16321,36553
6645,15714,37099
7296,15398,36694
7658,14972,37906
8028,14834,38250
8094,14658,38004
8559,14655,38314
8902,15114,38157
8721,15281,37653
8240,14364,35491
7765,13173,32847
7732,14478,33794
7858,16004,33559
8146,15778,32984
8831,17200,33307
9257,18054,33391
9132,17252,33561
8712,16678,33616
8317,16174,34341
7889,15593,34371
7500,14830,34162
7018,15628,34632
6499,16687,34720
6256,16871,34678
6137,16335,34719
6319,15477,35001
6738,14303,34943
7146,13735,36444
7486,13581,36626
7627,13253,36269
8122,13411,36413
8321,13570,36708
8721,15281,37653
8240,14364,35491
7765,13173,32847
7732,14478,33794
7858,16004,33559
8146,15778,32984
8831,17200,33307
9257,18054,33391
9132,17252,33561
8712,16678,33616
8317,16174,34341
7889,15593,34371
7500,14830,34162
7018,15628,34632
6499,16687,34720
6256,16871,34678
6137,16335,34719
6567,15695,35411
7847,15217,37146
8278,14496,38180
8626,14263,38472
8750,14090,38432
9298,14186,38487
9480,14166,38552
9544,14205,39170
9003,13364,37349
8295,12533,34810
8164,13966,35364
8368,15351,35781
8801,15208,35274
9488,16916,35370
9773,17726,35227
9562,17204,34254
9187,16311,33819
8811,16042,34572
8412,15259,35037
8010,14718,35139
7420,15578,35800
6781,16564,36603
6508,16800,37237
6529,16217,37636
7129,15387,38209
7884,14888,37893
8307,14381,39095
8690,14371,39231
8811,14434,38798
9411,14952,39189
9824,15333,39715
9620,15567,39698
9036,14385,37790
8374,12653,34727
8209,12981,35593
8411,13747,36578
8628,12849,36048
9343,13404,36034
9736,13136,35930
9183,12752,34898
8776,12382,34756
8420,12036,35710
8039,11963,35613
7578,12225,35271
7086,13052,35636
6532,14086,36114
6275,14324,36417
6278,14048,36943
6803,13704,37871
7460,13471,37992
7845,13462,39789
8034,13511,39961
7449,13466,38798
7819,13547,39189
8055,13541,39715
8819,14026,39169
8402,14255,37497
7866,13206,35338
7759,13929,36160
7908,15560,36477
8211,15345,36001
8974,15878,35657
9304,16333,35484
8990,15873,35313
8493,15702,34845
7975,15323,35593
7605,14585,35582
7217,13860,35390
6796,14460,36094
