Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
5315.600167578873,13163.438999592552,36812.006882344635,0.0,0.57,0.0,0.622,0.0,0.374,1.0,168.0
5031.461178760428,12810.266242363992,36257.73575626922,0.0,0.494,0.0,0.578,0.0,0.35600000000000004,1.0,168.0
4773.334914270432,12228.981902562877,35682.45435285159,0.0,0.405,0.0,0.509,0.0,0.353,1.0,168.0
4563.232140848342,11444.598215120408,35454.342770279036,0.0,0.40399999999999997,0.0,0.43,0.0,0.365,1.0,168.0
4406.155305480398,11116.437692823049,35364.298724526714,0.0,0.461,0.0,0.35100000000000003,0.0,0.387,1.0,168.0
4373.139155371213,11350.552211779092,36033.62613128566,0.0,0.52,0.0,0.285,0.0,0.41600000000000004,1.0,168.0
4556.228715067606,12858.289733431899,37386.28779636502,0.0,0.528,0.004,0.239,0.0,0.441,1.0,168.0
4691.294783696092,13158.436552606312,37452.32009658339,0.044000000000000004,0.379,0.237,0.105,0.091,0.45299999999999996,1.0,168.0
4730.313870188766,12805.263795377752,37736.45908540183,0.125,0.11699999999999999,0.48200000000000004,0.06,0.355,0.248,1.0,168.0
5034.462646952172,11991.86591541509,37434.31128743292,0.293,0.054000000000000006,0.643,0.22,0.555,0.099,1.0,168.0
5499.690216672514,11204.480759780878,38159.66610043775,0.57,0.225,0.738,0.105,0.675,0.04,1.0,168.0
5670.773903601929,10860.312407127549,40386.75549871191,0.642,0.223,0.777,0.061,0.71,0.004,1.0,168.0
5694.7856491358825,10787.276681128442,40878.99628215795,0.6559999999999999,0.154,0.7709999999999999,0.062,0.7170000000000001,0.002,1.0,168.0
5406.644702728445,10788.27717052569,40492.8073748202,0.6,0.17600000000000002,0.7170000000000001,0.075,0.66,0.009000000000000001,1.0,168.0
5562.721048699141,10349.062325133797,40518.82009914865,0.45299999999999996,0.237,0.601,0.084,0.547,0.018000000000000002,1.0,168.0
5663.770477821194,11239.497888684558,40756.93657569368,0.255,0.298,0.43200000000000005,0.087,0.364,0.027000000000000003,1.0,168.0
5689.783202149642,11654.700988542498,40020.57637931912,0.052000000000000005,0.45399999999999996,0.195,0.105,0.138,0.048,1.0,168.0
5657.767541437705,11558.654006406685,38111.64260936985,0.0,0.632,0.004,0.157,0.003,0.113,1.0,168.0
5615.746986753287,11189.473418822156,37110.15272272455,0.0,0.726,0.0,0.203,0.0,0.183,1.0,168.0
5850.861995106578,13109.412572141158,37876.52760101656,0.0,0.777,0.0,0.252,0.0,0.21600000000000003,1.0,168.0
