Load_MW_z1,Load_MW_z2,Load_MW_z3,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind,GrpWeight,SubWtAsInGenXInputs
6002.712165148712,15958.820778794334,29018.951584963874,0.0,0.17800000000000002,0.0,0.37,0.0,0.141,2.0,336.0
5691.20816325296,15411.935939453237,28556.202874752176,0.0,0.107,0.0,0.344,0.0,0.20600000000000002,2.0,336.0
5408.751158318546,14740.850147587787,28107.476852728712,0.0,0.048,0.0,0.244,0.0,0.159,2.0,336.0
5196.4075943253,14073.770838061833,28017.33100009007,0.0,0.015,0.0,0.16699999999999998,0.0,0.064,2.0,336.0
5028.135336066501,13795.320315466915,28099.463888049722,0.0,0.005,0.0,0.127,0.0,0.02,2.0,336.0
4916.955451145508,14562.56168348025,28964.86407338069,0.022000000000000002,0.001,0.002,0.10300000000000001,0.002,0.013999999999999999,2.0,336.0
4996.0834773505385,15507.089895016248,30570.4618709334,0.114,0.001,0.067,0.154,0.057,0.034,2.0,336.0
5195.405973740426,15186.57130785663,31090.302954482904,0.244,0.005,0.185,0.163,0.18,0.065,2.0,336.0
5326.618270358895,13888.471029860179,30939.05824616696,0.36700000000000005,0.006999999999999999,0.306,0.10400000000000001,0.32899999999999996,0.040999999999999995,2.0,336.0
5680.190336819348,12630.43557525868,31321.677309588755,0.467,0.006999999999999999,0.409,0.069,0.46,0.019,2.0,336.0
6219.062211481455,11572.724237631941,31820.48436085591,0.535,0.008,0.489,0.054000000000000006,0.555,0.008,2.0,336.0
6350.274508099923,11477.570282068931,32117.965674563427,0.5710000000000001,0.011000000000000001,0.516,0.046,0.598,0.003,2.0,336.0
6353.279369854545,11649.849022667226,32032.827924849153,0.563,0.016,0.524,0.038,0.609,0.001,2.0,336.0
6015.733232752073,12358.996396757879,31494.95767077192,0.514,0.024,0.49,0.037000000000000005,0.575,0.0,2.0,336.0
6011.726750412577,12934.928233060316,31583.100282240815,0.44,0.032,0.397,0.044000000000000004,0.502,0.0,2.0,336.0
6051.791573807529,13133.24910886533,31987.754998529832,0.322,0.043,0.29,0.064,0.39399999999999996,0.0,2.0,336.0
6037.768885619296,12831.761312818315,31735.346611141635,0.20199999999999999,0.055999999999999994,0.159,0.11599999999999999,0.262,0.001,2.0,336.0
6147.947149955415,12730.59763374606,31973.7323103416,0.084,0.073,0.063,0.235,0.124,0.002,2.0,336.0
6347.269646345301,12656.477710465399,33109.5700535885,0.006,0.10400000000000001,0.003,0.42700000000000005,0.028999999999999998,0.006,2.0,336.0
6361.292334533535,14656.714018458388,34937.527620983186,0.0,0.16,0.0,0.621,0.0,0.027000000000000003,2.0,336.0
6042.776988543665,14533.514686518909,34010.026959390045,0.0,0.191,0.0,0.7040000000000001,0.0,0.08800000000000001,2.0,336.0
5672.177372140357,14553.547098216384,32898.22811018012,0.0,0.185,0.0,0.695,0.0,0.20600000000000002,2.0,336.0
5522.93590499416,15524.117444959102,32141.002948015524,0.0,0.156,0.0,0.6729999999999999,0.0,0.365,2.0,336.0
5380.70578194208,16309.387983500164,31197.476357064403,0.0,0.11800000000000001,0.0,0.649,0.0,0.527,2.0,336.0
5120.2844298748905,16153.135172259852,30127.74557241918,0.0,0.083,0.0,0.605,0.0,0.635,2.0,336.0
4841.833907279973,15443.987798169197,29786.19295297721,0.0,0.055999999999999994,0.0,0.561,0.0,0.691,2.0,336.0
4632.495205041348,14970.221261523888,29648.970932849497,0.0,0.063,0.0,0.465,0.0,0.691,2.0,336.0
4467.22780853717,14293.125746149195,29369.518789669706,0.0,0.1,0.0,0.32899999999999996,0.0,0.648,2.0,336.0
4342.025235427945,13685.142051130797,29430.61764534701,0.0,0.14,0.0,0.187,0.0,0.579,2.0,336.0
4332.009029579206,14466.406107332365,30421.220403787203,0.024,0.136,0.004,0.102,0.002,0.499,2.0,336.0
4478.245634970782,15482.049380394403,31418.834506321513,0.12,0.141,0.071,0.18600000000000003,0.057999999999999996,0.337,2.0,336.0
4682.576234285038,15534.13365080784,31634.18293206938,0.261,0.171,0.198,0.32799999999999996,0.18,0.28300000000000003,2.0,336.0
4835.82418377073,14483.433657275218,31080.286748634167,0.39899999999999997,0.18899999999999997,0.34299999999999997,0.32799999999999996,0.327,0.26899999999999996,2.0,336.0
