Resource,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
1,0,0.026,0,0.195,0,0.732
2,0,0.04,0,0.068,0,0.734
3,0,0.045,0,0.025,0,0.745
4,0,0.04,0,0.021,0,0.753
5,0,0.035,0,0.032,0,0.742
6,0,0.115,0,0.256,0,0.247
7,0,0.131,0.006,0.256,0,0.129
8,0.093,0.138,0.278,0.148,0.05,0.055
9,0.303,0.06,0.514,0.063,0.255,0.039
10,0.486,0.008,0.663,0.337,0.42,0.028
11,0.589,0.009,0.75,0.384,0.59,0.003
12,0.509,0.045,0.788,0.359,0.733,0.002
13,0.42,0.049,0.783,0.314,0.742,0.007
14,0.304,0.05,0.731,0.256,0.692,0.012
15,0.21,0.046,0.623,0.207,0.569,0.011
16,0.101,0.062,0.462,0.19,0.398,0.013
17,0.022,0.097,0.228,0.206,0.165,0.023
18,0,0.118,0.004,0.26,0.003,0.036
19,0,0.128,0,0.289,0,0.046
20,0,0.139,0,0.306,0,0.042
21,0,0.125,0,0.312,0,0.018
22,0,0.105,0,0.272,0,0.002
23,0,0.097,0,0.201,0,0
24,0,0.076,0,0.187,0,0
25,0,0.054,0,0.263,0,0.008
26,0,0.056,0,0.405,0,0.038
27,0,0.057,0,0.498,0,0.058
28,0,0.051,0,0.498,0,0.059
29,0,0.045,0,0.467,0,0.069
30,0,0.026,0,0.424,0,0.074
31,0,0.011,0.005,0.349,0,0.072
32,0.083,0.013,0.264,0.153,0.042,0.08
33,0.285,0.015,0.498,0.028,0.244,0.08
34,0.471,0.009,0.647,0.196,0.46,0.033
35,0.583,0.009,0.734,0.175,0.603,0.064
36,0.561,0.009,0.768,0.183,0.709,0.068
37,0.544,0.007,0.765,0.241,0.718,0.036
38,0.467,0.003,0.714,0.308,0.671,0.03
39,0.29,0.001,0.613,0.335,0.523,0.046
40,0.139,0.001,0.452,0.315,0.343,0.073
41,0.023,0.001,0.221,0.272,0.125,0.172
42,0,0.006,0.004,0.252,0.002,0.354
43,0,0.029,0,0.199,0,0.431
44,0,0.085,0,0.14,0,0.452
45,0,0.174,0,0.095,0,0.426
46,0,0.267,0,0.07,0,0.38
47,0,0.323,0,0.064,0,0.373
48,0,0.324,0,0.075,0,0.384
49,0,0.312,0,0.102,0,0.379
50,0,0.289,0,0.127,0,0.373
51,0,0.267,0,0.144,0,0.421
52,0,0.269,0,0.173,0,0.502
53,0,0.295,0,0.189,0,0.555
54,0,0.338,0,0.174,0,0.566
55,0,0.39,0.005,0.142,0,0.525
56,0.102,0.416,0.257,0.057,0.045,0.484
57,0.323,0.198,0.496,0.005,0.256,0.284
58,0.517,0.066,0.649,0.038,0.472,0.074
59,0.627,0.174,0.739,0.023,0.611,0.022
60,0.585,0.335,0.77,0.049,0.696,0.008
61,0.56,0.371,0.765,0.078,0.707,0.001
62,0.491,0.388,0.714,0.097,0.664,0
63,0.376,0.384,0.599,0.102,0.567,0.002
64,0.195,0.356,0.435,0.102,0.398,0.006
65,0.037,0.405,0.201,0.124,0.167,0.02
66,0,0.484,0.003,0.183,0.003,0.066
67,0,0.537,0,0.207,0,0.121
68,0,0.598,0,0.204,0,0.158
69,0,0.668,0,0.192,0,0.21
70,0,0.718,0,0.194,0,0.29
71,0,0.694,0,0.206,0,0.344
72,0,0.648,0,0.218,0,0.369
73,0,0.599,0,0.227,0,0.391
74,0,0.5,0,0.232,0,0.416
75,0,0.491,0,0.221,0,0.405
76,0,0.531,0,0.22,0,0.375
77,0,0.559,0,0.223,0,0.378
78,0,0.579,0,0.208,0,0.405
79,0,0.582,0.005,0.18,0,0.405
80,0.103,0.439,0.25,0.086,0.044,0.399
81,0.169,0.118,0.489,0.032,0.262,0.261
82,0.194,0.026,0.641,0.279,0.468,0.097
83,0.278,0.015,0.73,0.233,0.542,0.037
84,0.27,0.043,0.762,0.159,0.515,0.016
85,0.238,0.026,0.756,0.127,0.451,0.017
86,0.181,0.006,0.702,0.114,0.299,0.025
87,0.11,0.002,0.596,0.111,0.192,0.026
88,0.05,0.004,0.431,0.114,0.277,0.022
89,0.008,0.006,0.197,0.139,0.157,0.02
90,0,0.006,0.003,0.21,0.003,0.008
91,0,0.005,0,0.268,0,0.003
92,0,0.008,0,0.298,0,0
93,0,0.015,0,0.285,0,0
94,0,0.039,0,0.237,0,0.009
95,0,0.088,0,0.19,0,0.062
96,0,0.192,0,0.167,0,0.136
97,0,0.303,0,0.167,0,0.204
98,0,0.365,0,0.179,0,0.265
99,0,0.361,0,0.203,0,0.256
100,0,0.33,0,0.23,0,0.206
101,0,0.312,0,0.256,0,0.167
102,0,0.316,0,0.292,0,0.137
103,0,0.329,0.003,0.355,0,0.098
104,0.12,0.298,0.212,0.262,0.046,0.051
105,0.346,0.103,0.458,0.228,0.247,0.01
106,0.521,0.028,0.615,0.373,0.45,0
107,0.615,0.174,0.696,0.129,0.581,0.003
108,0.601,0.149,0.695,0.04,0.587,0.003
109,0.57,0.084,0.66,0.014,0.595,0.007
110,0.489,0.056,0.601,0.005,0.544,0.01
111,0.321,0.058,0.491,0.002,0.395,0.047
112,0.165,0.093,0.353,0.001,0.233,0.129
113,0.029,0.175,0.147,0.008,0.077,0.446
114,0,0.281,0.002,0.072,0.001,0.79
115,0,0.391,0,0.24,0,0.866
116,0,0.486,0,0.435,0,0.873
117,0,0.523,0,0.531,0,0.858
118,0,0.505,0,0.512,0,0.831
119,0,0.476,0,0.403,0,0.809
120,0,0.439,0,0.308,0,0.783
121,0,0.386,0,0.268,0,0.765
122,0,0.305,0,0.217,0,0.753
123,0,0.216,0,0.137,0,0.75
124,0,0.137,0,0.073,0,0.746
125,0,0.077,0,0.043,0,0.724
126,0,0.047,0,0.035,0,0.702
127,0,0.034,0.003,0.036,0,0.671
128,0.025,0.043,0.207,0.018,0.05,0.59
129,0.1,0.04,0.449,0.056,0.278,0.303
130,0.212,0.031,0.61,0.115,0.5,0.134
131,0.305,0.049,0.707,0.039,0.639,0.37
132,0.355,0.078,0.76,0.005,0.683,0.247
133,0.342,0.069,0.757,0,0.701,0.136
134,0.295,0.054,0.705,0,0.659,0.124
135,0.26,0.041,0.585,0,0.555,0.158
136,0.126,0.059,0.423,0.001,0.389,0.206
137,0.022,0.195,0.193,0.016,0.162,0.275
138,0,0.496,0.004,0.143,0.004,0.417
139,0,0.732,0,0.355,0,0.458
140,0,0.789,0,0.502,0,0.394
141,0,0.75,0,0.539,0,0.347
142,0,0.692,0,0.522,0,0.332
143,0,0.629,0,0.497,0,0.376
144,0,0.548,0,0.465,0,0.382
145,0,0.455,0,0.431,0,0.372
146,0,0.374,0,0.41,0,0.354
147,0,0.338,0,0.41,0,0.315
148,0,0.341,0,0.41,0,0.292
149,0,0.37,0,0.388,0,0.272
150,0,0.415,0,0.345,0,0.29
151,0,0.455,0.007,0.293,0,0.341
152,0.11,0.381,0.277,0.135,0.082,0.339
153,0.333,0.141,0.515,0.097,0.343,0.171
154,0.522,0.118,0.67,0.201,0.551,0.049
155,0.631,0.167,0.761,0.278,0.677,0.065
156,0.621,0.128,0.791,0.239,0.706,0.02
157,0.614,0.116,0.783,0.217,0.719,0.005
158,0.55,0.125,0.729,0.224,0.671,0.003
159,0.376,0.145,0.617,0.237,0.596,0.005
160,0.201,0.16,0.451,0.237,0.415,0.012
161,0.04,0.227,0.21,0.239,0.201,0.028
162,0,0.331,0.004,0.318,0.006,0.066
163,0,0.426,0,0.421,0,0.11
164,0,0.475,0,0.522,0,0.168
165,0,0.584,0,0.599,0,0.254
166,0,0.668,0,0.657,0,0.347
167,0,0.688,0,0.683,0,0.394
168,0,0.654,0,0.663,0,0.394
169,0,0.57,0,0.622,0,0.374
170,0,0.494,0,0.578,0,0.356
171,0,0.405,0,0.509,0,0.353
172,0,0.404,0,0.43,0,0.365
173,0,0.461,0,0.351,0,0.387
174,0,0.52,0,0.285,0,0.416
175,0,0.528,0.004,0.239,0,0.441
176,0.044,0.379,0.237,0.105,0.091,0.453
177,0.125,0.117,0.482,0.06,0.355,0.248
178,0.293,0.054,0.643,0.22,0.555,0.099
179,0.57,0.225,0.738,0.105,0.675,0.04
180,0.642,0.223,0.777,0.061,0.71,0.004
181,0.656,0.154,0.771,0.062,0.717,0.002
182,0.6,0.176,0.717,0.075,0.66,0.009
183,0.453,0.237,0.601,0.084,0.547,0.018
184,0.255,0.298,0.432,0.087,0.364,0.027
185,0.052,0.454,0.195,0.105,0.138,0.048
186,0,0.632,0.004,0.157,0.003,0.113
187,0,0.726,0,0.203,0,0.183
188,0,0.777,0,0.252,0,0.216
189,0,0.82,0,0.297,0,0.218
190,0,0.836,0,0.329,0,0.187
191,0,0.828,0,0.345,0,0.143
192,0,0.806,0,0.344,0,0.111
193,0,0.788,0,0.32,0,0.09
194,0,0.79,0,0.284,0,0.08
195,0,0.784,0,0.243,0,0.07
196,0,0.761,0,0.207,0,0.063
197,0,0.754,0,0.18,0,0.057
198,0,0.739,0,0.156,0,0.059
199,0,0.709,0.004,0.14,0,0.062
200,0.169,0.532,0.232,0.084,0.055,0.069
201,0.428,0.202,0.473,0.025,0.283,0.047
202,0.608,0.175,0.632,0.075,0.5,0.015
203,0.705,0.726,0.727,0.031,0.636,0.005
204,0.714,0.697,0.764,0.031,0.679,0.005
205,0.705,0.678,0.759,0.038,0.695,0.003
206,0.64,0.683,0.706,0.039,0.652,0.002
207,0.484,0.671,0.602,0.032,0.534,0.002
208,0.29,0.597,0.435,0.027,0.363,0.002
209,0.067,0.564,0.199,0.047,0.144,0.003
210,0,0.636,0.004,0.12,0.004,0.004
211,0,0.672,0,0.206,0,0.006
212,0,0.685,0,0.276,0,0.008
213,0,0.706,0,0.308,0,0.015
214,0,0.694,0,0.296,0,0.026
215,0,0.672,0,0.272,0,0.038
216,0,0.66,0,0.255,0,0.042
217,0,0.676,0,0.246,0,0.041
218,0,0.708,0,0.261,0,0.044
219,0,0.699,0,0.291,0,0.063
220,0,0.654,0,0.327,0,0.105
221,0,0.617,0,0.34,0,0.121
222,0,0.59,0,0.318,0,0.169
223,0,0.621,0.005,0.263,0,0.268
224,0.21,0.423,0.246,0.104,0.062,0.363
225,0.468,0.119,0.485,0.033,0.291,0.362
226,0.638,0.078,0.642,0.157,0.497,0.207
227,0.729,0.316,0.732,0.161,0.626,0.099
228,0.706,0.278,0.761,0.058,0.71,0.049
229,0.695,0.212,0.754,0.013,0.72,0.047
230,0.625,0.178,0.699,0.002,0.678,0.051
231,0.48,0.128,0.582,0,0.578,0.045
232,0.257,0.069,0.414,0.001,0.406,0.056
233,0.058,0.04,0.18,0.011,0.17,0.088
234,0,0.017,0.003,0.091,0.005,0.121
235,0,0.005,0,0.236,0,0.127
236,0,0.003,0,0.373,0,0.138
237,0,0.003,0,0.456,0,0.092
238,0,0.003,0,0.486,0,0.063
239,0,0.004,0,0.49,0,0.067
240,0,0.005,0,0.471,0,0.107
241,0,0.01,0,0.409,0,0.165
242,0,0.018,0,0.306,0,0.216
243,0,0.031,0,0.202,0,0.213
244,0,0.05,0,0.149,0,0.159
245,0,0.067,0,0.157,0,0.105
246,0,0.06,0,0.206,0,0.077
247,0,0.032,0.004,0.304,0,0.069
248,0.124,0.015,0.209,0.235,0.041,0.064
249,0.329,0.002,0.447,0.241,0.218,0.032
250,0.504,0,0.609,0.303,0.412,0.006
251,0.615,0,0.702,0.065,0.546,0.001
252,0.618,0,0.736,0.002,0.611,0
253,0.598,0,0.732,0,0.613,0
254,0.523,0.001,0.678,0,0.564,0
255,0.378,0.001,0.565,0,0.418,0
256,0.199,0.001,0.395,0,0.295,0.001
257,0.038,0.002,0.164,0.003,0.11,0.035
258,0,0.002,0.003,0.06,0.003,0.233
259,0,0.002,0,0.174,0,0.503
260,0,0.003,0,0.256,0,0.602
261,0,0.004,0,0.241,0,0.587
262,0,0.005,0,0.193,0,0.55
263,0,0.006,0,0.168,0,0.508
264,0,0.006,0,0.155,0,0.468
265,0,0.005,0,0.134,0,0.427
266,0,0.005,0,0.105,0,0.377
267,0,0.005,0,0.073,0,0.291
268,0,0.005,0,0.052,0,0.202
269,0,0.004,0,0.041,0,0.127
270,0,0.004,0,0.044,0,0.078
271,0,0.005,0.003,0.061,0,0.044
272,0.092,0.011,0.204,0.046,0.039,0.021
273,0.287,0.008,0.443,0.08,0.212,0.005
274,0.45,0.002,0.601,0.198,0.401,0
275,0.539,0.003,0.69,0.135,0.491,0.006
276,0.547,0.001,0.728,0.064,0.459,0.022
277,0.474,0,0.722,0.029,0.463,0.043
278,0.367,0,0.668,0.014,0.439,0.075
279,0.22,0,0.547,0.007,0.366,0.081
280,0.11,0.001,0.38,0.003,0.234,0.067
281,0.019,0.004,0.158,0.004,0.097,0.08
282,0,0.006,0.003,0.023,0.002,0.174
283,0,0.009,0,0.09,0,0.281
284,0,0.01,0,0.177,0,0.373
285,0,0.015,0,0.251,0,0.449
286,0,0.02,0,0.29,0,0.487
287,0,0.029,0,0.29,0,0.498
288,0,0.038,0,0.274,0,0.491
289,0,0.04,0,0.262,0,0.483
290,0,0.061,0,0.252,0,0.476
291,0,0.112,0,0.234,0,0.471
292,0,0.178,0,0.207,0,0.451
293,0,0.219,0,0.177,0,0.407
294,0,0.214,0,0.153,0,0.365
295,0,0.179,0.004,0.162,0,0.335
296,0.047,0.135,0.202,0.12,0.063,0.308
297,0.173,0.046,0.443,0.113,0.3,0.173
298,0.352,0.016,0.607,0.212,0.517,0.092
299,0.489,0.064,0.702,0.117,0.651,0.105
300,0.519,0.126,0.725,0.036,0.701,0.072
301,0.525,0.176,0.721,0.009,0.715,0.081
302,0.468,0.233,0.667,0.003,0.671,0.124
303,0.345,0.266,0.551,0.001,0.569,0.207
304,0.181,0.276,0.382,0.002,0.395,0.327
305,0.036,0.374,0.155,0.013,0.162,0.471
306,0,0.523,0.003,0.117,0.005,0.672
307,0,0.64,0,0.321,0,0.771
308,0,0.71,0,0.491,0,0.795
309,0,0.763,0,0.551,0,0.804
310,0,0.796,0,0.548,0,0.822
311,0,0.826,0,0.538,0,0.843
312,0,0.854,0,0.545,0,0.848
313,0,0.854,0,0.538,0,0.846
314,0,0.852,0,0.494,0,0.836
315,0,0.852,0,0.386,0,0.828
316,0,0.836,0,0.289,0,0.809
317,0,0.79,0,0.249,0,0.788
318,0,0.761,0,0.256,0,0.755
319,0.002,0.743,0.004,0.279,0,0.688
320,0.286,0.523,0.204,0.151,0.089,0.546
321,0.532,0.226,0.446,0.114,0.357,0.25
322,0.69,0.505,0.613,0.225,0.569,0.151
323,0.78,0.868,0.711,0.242,0.698,0.322
324,0.807,0.884,0.726,0.227,0.746,0.206
325,0.794,0.89,0.721,0.193,0.758,0.111
326,0.727,0.892,0.666,0.163,0.715,0.058
327,0.578,0.87,0.534,0.135,0.613,0.039
328,0.375,0.837,0.369,0.125,0.445,0.044
329,0.107,0.816,0.151,0.136,0.204,0.107
330,0,0.863,0.003,0.187,0.009,0.209
331,0,0.9,0,0.256,0,0.267
332,0,0.907,0,0.348,0,0.31
333,0,0.9,0,0.38,0,0.326
334,0,0.894,0,0.315,0,0.291
335,0,0.883,0,0.237,0,0.224
336,0,0.868,0,0.226,0,0.18
337,0,0.842,0,0.256,0,0.163
338,0,0.808,0,0.265,0,0.153
339,0,0.807,0,0.245,0,0.133
340,0,0.808,0,0.212,0,0.104
341,0,0.8,0,0.179,0,0.117
342,0,0.789,0,0.162,0,0.175
343,0.001,0.757,0.004,0.15,0,0.236
344,0.217,0.53,0.193,0.064,0.09,0.282
345,0.495,0.192,0.419,0.073,0.353,0.158
346,0.659,0.16,0.592,0.207,0.548,0.038
347,0.74,0.615,0.689,0.202,0.677,0.002
348,0.785,0.577,0.722,0.168,0.756,0
349,0.77,0.531,0.716,0.137,0.768,0
350,0.698,0.548,0.634,0.117,0.721,0
351,0.556,0.551,0.509,0.11,0.636,0.002
352,0.36,0.471,0.363,0.12,0.479,0.004
353,0.101,0.457,0.145,0.153,0.245,0.004
354,0,0.453,0.003,0.254,0.01,0.002
355,0,0.397,0,0.37,0,0.003
356,0,0.319,0,0.484,0,0.013
357,0,0.29,0,0.548,0,0.043
358,0,0.269,0,0.542,0,0.086
359,0,0.193,0,0.501,0,0.11
360,0,0.111,0,0.499,0,0.097
361,0,0.061,0,0.534,0,0.07
362,0,0.045,0,0.552,0,0.049
363,0,0.048,0,0.545,0,0.039
364,0,0.03,0,0.508,0,0.027
365,0,0.006,0,0.486,0,0.021
366,0,0.015,0,0.494,0,0.025
367,0,0.018,0.003,0.523,0,0.036
368,0.162,0.005,0.172,0.301,0.06,0.047
369,0.405,0,0.401,0.206,0.219,0.039
370,0.583,0,0.567,0.24,0.299,0.013
371,0.66,0.001,0.668,0.102,0.537,0
372,0.504,0.001,0.702,0.054,0.675,0.005
373,0.326,0.002,0.699,0.054,0.71,0.011
374,0.231,0.004,0.647,0.068,0.673,0.016
375,0.191,0.005,0.545,0.088,0.586,0.016
376,0.187,0.004,0.382,0.113,0.414,0.014
377,0.047,0.003,0.162,0.152,0.178,0.014
378,0,0.005,0.004,0.241,0.007,0.015
379,0,0.012,0,0.274,0,0.028
380,0,0.021,0,0.233,0,0.059
381,0,0.019,0,0.166,0,0.117
382,0,0.013,0,0.134,0,0.169
383,0,0.01,0,0.141,0,0.196
384,0,0.012,0,0.182,0,0.195
385,0,0.023,0,0.233,0,0.199
386,0,0.048,0,0.244,0,0.238
387,0,0.074,0,0.242,0,0.313
388,0,0.087,0,0.239,0,0.401
389,0,0.097,0,0.208,0,0.471
390,0,0.13,0,0.179,0,0.511
391,0,0.192,0.006,0.152,0,0.546
392,0.153,0.261,0.231,0.069,0.082,0.563
393,0.393,0.132,0.463,0.026,0.335,0.35
394,0.575,0.034,0.616,0.087,0.543,0.159
395,0.675,0.089,0.709,0.089,0.671,0.405
396,0.636,0.079,0.749,0.138,0.711,0.463
397,0.627,0.065,0.745,0.18,0.718,0.327
398,0.559,0.056,0.693,0.188,0.67,0.184
399,0.455,0.054,0.575,0.175,0.566,0.109
400,0.261,0.075,0.41,0.161,0.393,0.113
401,0.058,0.135,0.182,0.147,0.165,0.226
402,0,0.229,0.005,0.137,0.007,0.498
403,0,0.36,0,0.113,0,0.656
404,0,0.431,0,0.096,0,0.692
405,0,0.462,0,0.108,0,0.683
406,0,0.473,0,0.146,0,0.67
407,0,0.468,0,0.193,0,0.667
408,0,0.487,0,0.252,0,0.663
409,0,0.51,0,0.306,0,0.651
410,0,0.537,0,0.349,0,0.609
411,0,0.562,0,0.357,0,0.556
412,0,0.55,0,0.349,0,0.496
413,0,0.516,0,0.31,0,0.436
414,0,0.465,0,0.24,0,0.379
415,0.001,0.427,0.006,0.184,0,0.345
416,0.199,0.37,0.238,0.085,0.062,0.344
417,0.453,0.113,0.469,0.065,0.28,0.203
418,0.626,0.035,0.622,0.182,0.484,0.077
419,0.717,0.111,0.715,0.078,0.615,0.049
420,0.702,0.087,0.752,0.036,0.677,0.022
421,0.688,0.081,0.747,0.034,0.687,0.021
422,0.614,0.074,0.696,0.04,0.643,0.032
423,0.459,0.069,0.598,0.04,0.557,0.029
424,0.259,0.083,0.437,0.04,0.391,0.018
425,0.051,0.12,0.208,0.057,0.167,0.014
426,0,0.153,0.007,0.126,0.007,0.02
427,0,0.173,0,0.198,0,0.045
428,0,0.188,0,0.256,0,0.1
429,0,0.197,0,0.292,0,0.198
430,0,0.204,0,0.313,0,0.319
431,0,0.174,0,0.341,0,0.432
432,0,0.116,0,0.387,0,0.512
433,0,0.082,0,0.433,0,0.545
434,0,0.078,0,0.464,0,0.548
435,0,0.104,0,0.448,0,0.481
436,0,0.138,0,0.411,0,0.351
437,0,0.133,0,0.402,0,0.213
438,0,0.092,0,0.405,0,0.117
439,0.001,0.045,0.01,0.389,0,0.083
440,0.162,0.046,0.285,0.184,0.06,0.075
441,0.401,0.031,0.507,0.151,0.241,0.064
442,0.576,0.017,0.649,0.359,0.396,0.064
443,0.67,0.088,0.734,0.199,0.536,0.056
444,0.683,0.136,0.771,0.111,0.667,0.017
445,0.667,0.149,0.764,0.092,0.682,0.002
446,0.59,0.135,0.71,0.098,0.621,0
447,0.433,0.111,0.598,0.113,0.509,0
448,0.21,0.097,0.434,0.133,0.307,0
449,0.044,0.127,0.205,0.159,0.1,0.029
450,0,0.178,0.007,0.239,0.003,0.19
451,0,0.225,0,0.293,0,0.359
452,0,0.258,0,0.307,0,0.453
453,0,0.269,0,0.285,0,0.515
454,0,0.237,0,0.247,0,0.539
455,0,0.206,0,0.228,0,0.527
456,0,0.185,0,0.234,0,0.483
457,0,0.149,0,0.255,0,0.422
458,0,0.082,0,0.272,0,0.36
459,0,0.026,0,0.285,0,0.307
460,0,0.003,0,0.285,0,0.26
461,0,0.001,0,0.269,0,0.222
462,0,0.006,0,0.246,0,0.194
463,0,0.019,0.008,0.223,0,0.18
464,0.09,0.033,0.253,0.116,0.04,0.195
465,0.257,0.014,0.48,0.083,0.173,0.134
466,0.415,0.002,0.628,0.253,0.325,0.038
467,0.507,0.009,0.717,0.247,0.425,0.027
468,0.497,0.021,0.747,0.251,0.462,0.12
469,0.475,0.016,0.741,0.247,0.439,0.124
470,0.404,0.012,0.688,0.236,0.359,0.102
471,0.278,0.005,0.583,0.221,0.259,0.078
472,0.143,0,0.418,0.206,0.138,0.052
473,0.033,0.001,0.188,0.206,0.048,0.062
474,0,0.02,0.006,0.258,0.001,0.139
475,0,0.077,0,0.322,0,0.453
476,0,0.16,0,0.424,0,0.661
477,0,0.266,0,0.454,0,0.651
478,0,0.331,0,0.453,0,0.539
479,0,0.33,0,0.468,0,0.449
480,0,0.317,0,0.483,0,0.465
481,0,0.341,0,0.499,0,0.508
482,0,0.383,0,0.533,0,0.514
483,0,0.405,0,0.569,0,0.574
484,0,0.426,0,0.579,0,0.664
485,0,0.458,0,0.537,0,0.599
486,0,0.521,0,0.495,0,0.494
487,0,0.593,0.007,0.469,0,0.399
488,0.035,0.578,0.237,0.26,0.014,0.329
489,0.11,0.341,0.467,0.166,0.075,0.232
490,0.198,0.198,0.619,0.222,0.155,0.173
491,0.257,0.295,0.706,0.164,0.214,0.089
492,0.25,0.577,0.741,0.147,0.268,0.024
493,0.238,0.717,0.735,0.135,0.376,0.003
494,0.199,0.799,0.68,0.129,0.494,0.001
495,0.132,0.781,0.566,0.134,0.473,0
496,0.063,0.803,0.399,0.14,0.316,0
497,0.01,0.895,0.172,0.153,0.117,0.005
498,0,0.935,0.005,0.209,0.005,0.025
499,0,0.936,0,0.314,0,0.036
500,0,0.916,0,0.426,0,0.034
501,0,0.867,0,0.49,0,0.023
502,0,0.886,0,0.527,0,0.01
503,0,0.92,0,0.537,0,0.003
504,0,0.941,0,0.545,0,0.003
505,0,0.955,0,0.559,0,0.008
506,0,0.891,0,0.512,0,0.029
507,0,0.871,0,0.401,0,0.085
508,0,0.835,0,0.292,0,0.186
509,0,0.719,0,0.191,0,0.278
510,0,0.576,0,0.112,0,0.272
511,0,0.366,0.005,0.047,0,0.184
512,0.062,0.246,0.189,0.009,0.103,0.092
513,0.207,0.208,0.446,0.001,0.371,0.028
514,0.384,0.17,0.61,0.005,0.58,0.018
515,0.536,0.143,0.709,0.029,0.702,0.041
516,0.606,0.112,0.758,0.051,0.756,0.107
517,0.609,0.067,0.752,0.063,0.762,0.188
518,0.559,0.037,0.699,0.066,0.712,0.262
519,0.406,0.019,0.597,0.061,0.622,0.282
520,0.226,0.01,0.433,0.051,0.45,0.256
521,0.051,0.014,0.205,0.035,0.213,0.222
522,0,0.055,0.009,0.018,0.013,0.227
523,0,0.145,0,0.023,0,0.192
524,0,0.274,0,0.042,0,0.142
525,0,0.373,0,0.065,0,0.095
526,0,0.432,0,0.116,0,0.057
527,0,0.479,0,0.203,0,0.04
528,0,0.496,0,0.298,0,0.044
529,0,0.477,0,0.384,0,0.058
530,0,0.428,0,0.419,0,0.079
531,0,0.377,0,0.399,0,0.104
532,0,0.323,0,0.371,0,0.141
533,0,0.26,0,0.341,0,0.176
534,0,0.207,0,0.303,0,0.205
535,0,0.175,0.008,0.252,0,0.23
536,0.082,0.114,0.242,0.131,0.139,0.257
537,0.235,0.049,0.479,0.112,0.411,0.169
538,0.436,0.044,0.638,0.05,0.609,0.075
539,0.607,0.04,0.734,0.018,0.728,0.042
540,0.639,0.038,0.78,0.012,0.776,0.018
541,0.633,0.042,0.774,0.013,0.785,0.012
542,0.567,0.056,0.72,0.014,0.74,0.017
543,0.445,0.07,0.618,0.011,0.64,0.026
544,0.253,0.086,0.457,0.008,0.472,0.033
545,0.06,0.18,0.227,0.005,0.231,0.069
546,0,0.359,0.011,0.009,0.016,0.19
547,0,0.512,0,0.032,0,0.346
548,0,0.608,0,0.074,0,0.485
549,0,0.654,0,0.101,0,0.575
550,0,0.673,0,0.102,0,0.622
551,0,0.688,0,0.102,0,0.645
552,0,0.704,0,0.111,0,0.647
553,0,0.709,0,0.137,0,0.628
554,0,0.698,0,0.189,0,0.605
555,0,0.679,0,0.258,0,0.626
556,0,0.628,0,0.307,0,0.663
557,0,0.559,0,0.33,0,0.683
558,0,0.512,0,0.311,0,0.683
559,0.001,0.482,0.011,0.242,0,0.654
560,0.125,0.347,0.274,0.075,0.12,0.563
561,0.345,0.137,0.497,0.022,0.384,0.238
562,0.508,0.104,0.645,0.025,0.586,0.084
563,0.601,0.069,0.736,0.056,0.707,0.218
564,0.579,0.043,0.777,0.059,0.769,0.182
565,0.546,0.035,0.769,0.057,0.777,0.158
566,0.456,0.035,0.714,0.064,0.73,0.171
567,0.357,0.037,0.606,0.077,0.636,0.212
568,0.174,0.043,0.442,0.077,0.466,0.269
569,0.037,0.074,0.211,0.065,0.225,0.345
570,0,0.175,0.009,0.049,0.016,0.512
571,0,0.355,0,0.05,0,0.632
572,0,0.525,0,0.07,0,0.676
573,0,0.625,0,0.121,0,0.68
574,0,0.654,0,0.232,0,0.655
575,0,0.616,0,0.348,0,0.614
576,0,0.568,0,0.451,0,0.566
577,0,0.501,0,0.548,0,0.52
578,0,0.426,0,0.594,0,0.468
579,0,0.377,0,0.596,0,0.41
580,0,0.358,0,0.575,0,0.341
581,0,0.328,0,0.527,0,0.279
582,0,0.277,0,0.475,0,0.237
583,0,0.182,0.009,0.412,0,0.196
584,0.027,0.107,0.247,0.208,0.12,0.148
585,0.113,0.073,0.477,0.176,0.382,0.063
586,0.279,0.039,0.633,0.052,0.586,0.02
587,0.425,0.029,0.729,0.006,0.713,0.002
588,0.525,0.039,0.766,0.045,0.783,0
589,0.601,0.066,0.761,0.1,0.792,0
590,0.594,0.134,0.705,0.143,0.749,0
591,0.462,0.222,0.592,0.174,0.659,0.001
592,0.284,0.304,0.422,0.176,0.496,0.001
593,0.076,0.412,0.192,0.155,0.259,0.001
594,0,0.538,0.008,0.123,0.023,0.002
595,0,0.548,0,0.148,0,0.002
596,0,0.494,0,0.208,0,0.006
597,0,0.442,0,0.293,0,0.02
598,0,0.397,0,0.394,0,0.047
599,0,0.349,0,0.464,0,0.09
600,0,0.318,0,0.474,0,0.14
601,0,0.301,0,0.468,0,0.185
602,0,0.291,0,0.438,0,0.223
603,0,0.286,0,0.369,0,0.296
604,0,0.279,0,0.276,0,0.395
605,0,0.264,0,0.206,0,0.477
606,0,0.273,0,0.175,0,0.531
607,0.005,0.33,0.008,0.151,0,0.563
608,0.257,0.291,0.229,0.058,0.138,0.561
609,0.502,0.094,0.461,0.004,0.4,0.321
610,0.664,0.16,0.623,0.005,0.596,0.12
611,0.758,0.167,0.719,0.025,0.717,0.018
612,0.781,0.119,0.745,0.044,0.783,0.007
613,0.765,0.102,0.733,0.055,0.792,0.004
614,0.694,0.109,0.672,0.058,0.745,0.002
615,0.559,0.129,0.564,0.048,0.642,0.009
