Resource,delhi_solarpv,delhi_onshorewind,maharashtra_solarpv,maharashtra_onshorewind,rajasthan_solarpv,rajasthan_onshorewind
7284,0.611,0.165,0.626,0.748,0.683,0.001
7285,0.6,0.25,0.613,0.724,0.695,0.001
7286,0.537,0.32,0.533,0.669,0.657,0.001
7287,0.395,0.341,0.416,0.603,0.584,0
7288,0.236,0.311,0.251,0.568,0.442,0
7289,0.077,0.251,0.087,0.496,0.246,0
7290,0,0.23,0.004,0.508,0.031,0
7291,0,0.192,0,0.599,0,0.002
7292,0,0.142,0,0.637,0,0.006
7293,0,0.106,0,0.625,0,0.013
7294,0,0.088,0,0.584,0,0.024
7295,0,0.079,0,0.548,0,0.038
7296,0,0.075,0,0.526,0,0.059
7297,0,0.074,0,0.487,0,0.083
7298,0,0.078,0,0.461,0,0.098
7299,0,0.069,0,0.555,0,0.117
7300,0,0.05,0,0.579,0,0.138
7301,0,0.033,0,0.635,0,0.148
7302,0,0.02,0,0.659,0,0.143
7303,0.006,0.01,0.003,0.611,0,0.134
7304,0.108,0.003,0.057,0.573,0.108,0.104
7305,0.283,0,0.143,0.703,0.336,0.027
7306,0.443,0,0.255,0.673,0.513,0.004
7307,0.541,0.001,0.352,0.598,0.629,0
7308,0.557,0.003,0.416,0.519,0.68,0
7309,0.552,0.005,0.424,0.465,0.665,0
7310,0.495,0.005,0.392,0.417,0.576,0
7311,0.413,0.007,0.308,0.374,0.386,0
7312,0.253,0.013,0.176,0.343,0.279,0
7313,0.084,0.033,0.074,0.29,0.153,0
7314,0,0.094,0.003,0.265,0.021,0.002
7315,0,0.222,0,0.267,0,0.036
7316,0,0.391,0,0.256,0,0.135
7317,0,0.536,0,0.274,0,0.209
7318,0,0.601,0,0.301,0,0.23
7319,0,0.591,0,0.303,0,0.262
7320,0,0.536,0,0.286,0,0.314
7321,0,0.452,0,0.251,0,0.392
7322,0,0.351,0,0.166,0,0.486
7323,0,0.207,0,0.078,0,0.502
7324,0,0.091,0,0.024,0,0.474
7325,0,0.036,0,0.005,0,0.466
7326,0,0.011,0,0.002,0,0.483
7327,0.008,0.003,0,0.002,0,0.502
7328,0.146,0.002,0.028,0.01,0.095,0.416
7329,0.35,0.001,0.114,0.054,0.297,0.234
7330,0.506,0.001,0.263,0.115,0.414,0.169
7331,0.595,0.006,0.372,0.157,0.451,0.12
7332,0.564,0.014,0.387,0.163,0.461,0.058
7333,0.546,0.027,0.418,0.148,0.502,0.04
7334,0.487,0.047,0.376,0.121,0.518,0.047
7335,0.292,0.077,0.293,0.09,0.52,0.052
7336,0.163,0.125,0.186,0.059,0.402,0.058
7337,0.049,0.245,0.085,0.037,0.224,0.102
7338,0,0.464,0.004,0.026,0.027,0.243
7339,0,0.625,0,0.022,0,0.429
7340,0,0.683,0,0.025,0,0.512
7341,0,0.626,0,0.029,0,0.519
7342,0,0.505,0,0.036,0,0.497
7343,0,0.37,0,0.045,0,0.474
7344,0,0.249,0,0.053,0,0.467
7345,0,0.158,0,0.058,0,0.466
7346,0,0.097,0,0.056,0,0.471
7347,0,0.073,0,0.048,0,0.458
7348,0,0.081,0,0.037,0,0.429
7349,0,0.092,0,0.031,0,0.394
7350,0,0.091,0,0.026,0,0.362
7351,0.005,0.089,0.001,0.02,0,0.331
7352,0.103,0.066,0.038,0.013,0.098,0.222
7353,0.269,0.035,0.101,0.019,0.33,0.102
7354,0.42,0.117,0.207,0.025,0.516,0.074
7355,0.52,0.251,0.317,0.031,0.639,0.019
7356,0.473,0.319,0.401,0.036,0.685,0.008
7357,0.474,0.359,0.44,0.032,0.701,0.009
7358,0.426,0.391,0.449,0.026,0.666,0.011
7359,0.33,0.373,0.431,0.025,0.584,0.014
7360,0.195,0.296,0.306,0.024,0.44,0.021
7361,0.061,0.209,0.144,0.029,0.241,0.038
7362,0,0.152,0.009,0.048,0.027,0.098
7363,0,0.117,0,0.094,0,0.183
7364,0,0.104,0,0.165,0,0.215
7365,0,0.118,0,0.213,0,0.204
7366,0,0.163,0,0.195,0,0.168
7367,0,0.226,0,0.145,0,0.132
7368,0,0.292,0,0.096,0,0.103
7369,0,0.33,0,0.064,0,0.087
7370,0,0.335,0,0.057,0,0.078
7371,0,0.309,0,0.047,0,0.064
7372,0,0.28,0,0.043,0,0.05
7373,0,0.266,0,0.048,0,0.036
7374,0,0.271,0,0.059,0,0.025
7375,0.008,0.303,0.012,0.067,0,0.018
7376,0.156,0.202,0.172,0.041,0.113,0.012
7377,0.381,0.149,0.381,0.062,0.354,0.004
7378,0.552,0.528,0.563,0.066,0.54,0
7379,0.658,0.567,0.678,0.058,0.663,0.001
7380,0.622,0.562,0.715,0.051,0.732,0.001
7381,0.626,0.556,0.723,0.042,0.746,0
7382,0.579,0.548,0.674,0.034,0.711,0
7383,0.483,0.54,0.578,0.034,0.629,0
7384,0.316,0.537,0.423,0.041,0.491,0.001
7385,0.115,0.523,0.221,0.06,0.295,0
7386,0,0.556,0.014,0.093,0.038,0
7387,0,0.545,0,0.136,0,0
7388,0,0.494,0,0.184,0,0
7389,0,0.456,0,0.198,0,0.001
7390,0,0.441,0,0.186,0,0.002
7391,0,0.426,0,0.179,0,0.007
7392,0,0.417,0,0.172,0,0.014
7393,0,0.425,0,0.16,0,0.021
7394,0,0.452,0,0.146,0,0.023
7395,0,0.439,0,0.127,0,0.026
7396,0,0.405,0,0.102,0,0.031
7397,0,0.387,0,0.076,0,0.036
7398,0,0.376,0,0.058,0,0.048
7399,0.01,0.394,0.025,0.041,0,0.076
7400,0.182,0.272,0.248,0.026,0.129,0.124
7401,0.407,0.134,0.471,0.056,0.377,0.105
7402,0.566,0.397,0.624,0.067,0.561,0.061
7403,0.663,0.608,0.72,0.044,0.676,0.037
7404,0.685,0.669,0.759,0.031,0.734,0.037
7405,0.684,0.674,0.744,0.025,0.746,0.04
7406,0.631,0.648,0.696,0.025,0.708,0.046
7407,0.5,0.587,0.609,0.027,0.601,0.047
7408,0.326,0.494,0.462,0.031,0.45,0.043
7409,0.118,0.35,0.261,0.038,0.241,0.037
7410,0,0.228,0.018,0.045,0.024,0.03
7411,0,0.135,0,0.05,0,0.022
7412,0,0.078,0,0.055,0,0.016
7413,0,0.062,0,0.054,0,0.009
7414,0,0.07,0,0.042,0,0.005
7415,0,0.092,0,0.03,0,0.003
7416,0,0.124,0,0.022,0,0.004
7417,0,0.137,0,0.018,0,0.008
7418,0,0.12,0,0.018,0,0.018
7419,0,0.081,0,0.026,0,0.057
7420,0,0.044,0,0.033,0,0.166
7421,0,0.023,0,0.037,0,0.31
7422,0,0.014,0,0.039,0,0.431
7423,0.01,0.011,0.015,0.042,0,0.48
7424,0.185,0.007,0.198,0.018,0.083,0.41
7425,0.416,0.001,0.435,0.008,0.307,0.15
7426,0.576,0.008,0.597,0.003,0.498,0.176
7427,0.671,0.021,0.697,0,0.624,0.183
7428,0.694,0.016,0.749,0,0.696,0.186
7429,0.647,0.011,0.752,0,0.7,0.205
7430,0.56,0.006,0.705,0.001,0.659,0.219
7431,0.407,0.004,0.602,0.004,0.568,0.213
7432,0.251,0.002,0.448,0.008,0.423,0.187
7433,0.089,0.006,0.238,0.016,0.216,0.167
7434,0,0.05,0.013,0.032,0.02,0.201
7435,0,0.183,0,0.063,0,0.227
7436,0,0.369,0,0.092,0,0.21
7437,0,0.564,0,0.112,0,0.174
7438,0,0.706,0,0.124,0,0.151
7439,0,0.729,0,0.126,0,0.174
7440,0,0.668,0,0.126,0,0.257
7441,0,0.553,0,0.122,0,0.397
7442,0,0.468,0,0.116,0,0.512
7443,0,0.398,0,0.097,0,0.51
7444,0,0.328,0,0.07,0,0.429
7445,0,0.214,0,0.044,0,0.351
7446,0,0.116,0,0.02,0,0.297
7447,0.004,0.065,0.013,0.008,0,0.258
7448,0.109,0.061,0.193,0.001,0.1,0.199
7449,0.292,0.102,0.412,0,0.349,0.078
7450,0.421,0.218,0.57,0.002,0.549,0.068
7451,0.38,0.204,0.68,0.007,0.675,0.115
7452,0.273,0.117,0.709,0.006,0.723,0.117
7453,0.241,0.032,0.677,0.004,0.739,0.148
7454,0.249,0.008,0.587,0.007,0.708,0.185
7455,0.202,0.023,0.471,0.012,0.616,0.217
7456,0.109,0.123,0.36,0.021,0.474,0.237
7457,0.028,0.244,0.146,0.032,0.271,0.258
7458,0,0.382,0.006,0.054,0.029,0.329
7459,0,0.472,0,0.094,0,0.364
7460,0,0.479,0,0.141,0,0.384
7461,0,0.34,0,0.199,0,0.446
7462,0,0.194,0,0.244,0,0.542
7463,0,0.105,0,0.266,0,0.632
7464,0,0.05,0,0.262,0,0.692
7465,0,0.018,0,0.259,0,0.724
7466,0,0.006,0,0.251,0,0.748
7467,0,0.01,0,0.21,0,0.746
7468,0,0.027,0,0.158,0,0.731
7469,0,0.089,0,0.122,0,0.718
7470,0,0.191,0,0.092,0,0.706
7471,0,0.192,0.012,0.063,0,0.696
7472,0.019,0.121,0.184,0.029,0.12,0.608
7473,0.076,0.088,0.415,0.021,0.382,0.297
7474,0.207,0.067,0.602,0.008,0.576,0.222
7475,0.311,0.007,0.702,0.003,0.693,0.548
7476,0.413,0.002,0.754,0.002,0.754,0.452
7477,0.524,0,0.759,0.002,0.764,0.392
7478,0.498,0,0.718,0.007,0.725,0.414
7479,0.364,0,0.618,0.019,0.631,0.468
7480,0.217,0.006,0.453,0.037,0.482,0.501
7481,0.057,0.106,0.238,0.061,0.272,0.53
7482,0,0.452,0.016,0.127,0.026,0.639
7483,0,0.648,0,0.261,0,0.75
7484,0,0.64,0,0.405,0,0.803
7485,0,0.584,0,0.477,0,0.822
7486,0,0.52,0,0.488,0,0.829
7487,0,0.483,0,0.472,0,0.833
7488,0,0.488,0,0.431,0,0.835
7489,0,0.516,0,0.391,0,0.83
7490,0,0.551,0,0.373,0,0.814
7491,0,0.556,0,0.339,0,0.792
7492,0,0.527,0,0.296,0,0.76
7493,0,0.491,0,0.255,0,0.718
7494,0,0.457,0,0.222,0,0.688
7495,0.006,0.428,0.019,0.177,0,0.651
7496,0.157,0.228,0.228,0.083,0.109,0.512
7497,0.382,0.097,0.459,0.05,0.365,0.228
7498,0.547,0.203,0.62,0.017,0.56,0.255
7499,0.649,0.178,0.715,0.005,0.681,0.236
7500,0.696,0.15,0.756,0.002,0.736,0.11
7501,0.688,0.146,0.757,0.001,0.748,0.05
7502,0.629,0.165,0.71,0,0.709,0.026
7503,0.509,0.198,0.612,0,0.634,0.036
7504,0.333,0.24,0.454,0,0.488,0.061
7505,0.121,0.362,0.241,0.001,0.282,0.108
7506,0,0.573,0.012,0.003,0.028,0.244
7507,0,0.706,0,0.016,0,0.39
7508,0,0.779,0,0.039,0,0.457
7509,0,0.801,0,0.061,0,0.442
7510,0,0.79,0,0.075,0,0.413
7511,0,0.762,0,0.084,0,0.391
7512,0,0.735,0,0.091,0,0.366
7513,0,0.711,0,0.099,0,0.338
7514,0,0.701,0,0.105,0,0.314
7515,0,0.687,0,0.1,0,0.318
7516,0,0.673,0,0.086,0,0.335
7517,0,0.669,0,0.075,0,0.344
7518,0,0.651,0,0.069,0,0.332
7519,0.007,0.598,0.01,0.066,0,0.307
7520,0.178,0.336,0.174,0.037,0.1,0.269
7521,0.405,0.087,0.413,0.046,0.349,0.111
7522,0.563,0.119,0.58,0.078,0.543,0.039
7523,0.655,0.184,0.684,0.063,0.657,0.026
7524,0.643,0.206,0.72,0.047,0.731,0
7525,0.634,0.233,0.72,0.033,0.738,0
7526,0.569,0.243,0.663,0.016,0.504,0
7527,0.436,0.229,0.563,0.006,0.372,0.003
7528,0.258,0.21,0.381,0.002,0.266,0.015
7529,0.078,0.221,0.15,0.002,0.125,0.046
7530,0,0.267,0.005,0.007,0.012,0.119
7531,0,0.307,0,0.03,0,0.17
7532,0,0.341,0,0.085,0,0.198
7533,0,0.38,0,0.157,0,0.188
7534,0,0.404,0,0.215,0,0.162
7535,0,0.394,0,0.255,0,0.14
7536,0,0.374,0,0.28,0,0.119
7537,0,0.338,0,0.311,0,0.103
7538,0,0.284,0,0.321,0,0.097
7539,0,0.21,0,0.3,0,0.091
7540,0,0.137,0,0.256,0,0.082
7541,0,0.079,0,0.206,0,0.073
7542,0,0.04,0,0.17,0,0.065
7543,0.004,0.013,0.011,0.13,0,0.063
7544,0.101,0.002,0.192,0.066,0.043,0.064
7545,0.258,0.001,0.421,0.144,0.236,0.04
7546,0.406,0.003,0.587,0.192,0.47,0.014
7547,0.469,0.086,0.691,0.136,0.62,0
7548,0.452,0.166,0.725,0.091,0.707,0
7549,0.356,0.217,0.725,0.064,0.73,0
7550,0.337,0.249,0.67,0.049,0.698,0
7551,0.337,0.245,0.565,0.045,0.614,0
7552,0.222,0.232,0.4,0.049,0.462,0
7553,0.072,0.298,0.159,0.057,0.248,0.002
7554,0,0.406,0.005,0.066,0.02,0.035
7555,0,0.404,0,0.078,0,0.127
7556,0,0.349,0,0.11,0,0.224
7557,0,0.335,0,0.173,0,0.302
7558,0,0.374,0,0.241,0,0.348
7559,0,0.431,0,0.294,0,0.359
7560,0,0.468,0,0.341,0,0.35
7561,0,0.458,0,0.387,0,0.326
7562,0,0.41,0,0.429,0,0.285
7563,0,0.328,0,0.442,0,0.247
7564,0,0.241,0,0.436,0,0.237
7565,0,0.176,0,0.44,0,0.236
7566,0,0.13,0,0.431,0,0.248
7567,0.006,0.1,0.009,0.405,0,0.283
7568,0.167,0.065,0.179,0.282,0.017,0.337
7569,0.397,0.014,0.406,0.391,0.077,0.244
7570,0.566,0.037,0.571,0.434,0.174,0.123
7571,0.662,0.192,0.675,0.345,0.279,0.086
7572,0.639,0.256,0.714,0.244,0.375,0.069
7573,0.628,0.274,0.704,0.17,0.491,0.041
7574,0.564,0.256,0.643,0.124,0.491,0.021
7575,0.434,0.237,0.518,0.099,0.424,0.006
7576,0.254,0.219,0.324,0.097,0.268,0.001
7577,0.085,0.244,0.127,0.109,0.11,0
7578,0,0.33,0.004,0.139,0.006,0.005
7579,0,0.391,0,0.187,0,0.06
7580,0,0.41,0,0.256,0,0.15
7581,0,0.41,0,0.351,0,0.209
7582,0,0.411,0,0.442,0,0.234
7583,0,0.417,0,0.498,0,0.237
7584,0,0.436,0,0.552,0,0.23
7585,0,0.431,0,0.557,0,0.219
7586,0,0.392,0,0.516,0,0.202
7587,0,0.283,0,0.475,0,0.183
7588,0,0.152,0,0.409,0,0.168
7589,0,0.068,0,0.345,0,0.166
7590,0,0.037,0,0.286,0,0.183
7591,0.001,0.054,0.007,0.236,0,0.212
7592,0.055,0.084,0.159,0.201,0.034,0.226
7593,0.153,0.041,0.347,0.388,0.143,0.129
7594,0.249,0.013,0.452,0.459,0.231,0.078
7595,0.301,0.022,0.499,0.354,0.332,0.085
7596,0.319,0.031,0.519,0.265,0.473,0.08
7597,0.308,0.05,0.493,0.219,0.621,0.073
7598,0.257,0.076,0.422,0.198,0.404,0.056
7599,0.17,0.088,0.319,0.192,0.284,0.024
7600,0.094,0.09,0.194,0.193,0.175,0.004
7601,0.025,0.107,0.08,0.213,0.072,0
7602,0,0.119,0.003,0.31,0.003,0.014
7603,0,0.128,0,0.484,0,0.102
7604,0,0.124,0,0.633,0,0.216
7605,0,0.091,0,0.697,0,0.237
7606,0,0.047,0,0.69,0,0.206
7607,0,0.025,0,0.641,0,0.179
7608,0,0.022,0,0.583,0,0.167
7609,0,0.025,0,0.51,0,0.159
7610,0,0.026,0,0.391,0,0.148
7611,0,0.017,0,0.309,0,0.163
7612,0,0.004,0,0.261,0,0.194
7613,0,0,0,0.238,0,0.214
7614,0,0,0,0.237,0,0.234
7615,0,0.002,0.007,0.227,0,0.268
7616,0.035,0.012,0.166,0.17,0.011,0.256
7617,0.117,0.011,0.403,0.304,0.047,0.188
7618,0.247,0.005,0.585,0.423,0.083,0.123
7619,0.416,0.005,0.691,0.398,0.111,0.078
7620,0.459,0.009,0.74,0.319,0.131,0.04
7621,0.345,0.016,0.738,0.241,0.184,0.02
7622,0.207,0.02,0.685,0.184,0.251,0.009
7623,0.126,0.025,0.561,0.147,0.237,0.001
7624,0.06,0.04,0.39,0.127,0.175,0
7625,0.014,0.057,0.172,0.114,0.074,0.042
7626,0,0.07,0.005,0.113,0.003,0.282
7627,0,0.081,0,0.14,0,0.574
7628,0,0.086,0,0.203,0,0.734
7629,0,0.078,0,0.272,0,0.645
7630,0,0.058,0,0.324,0,0.724
7631,0,0.039,0,0.359,0,0.656
7632,0,0.027,0,0.404,0,0.487
7633,0,0.02,0,0.427,0,0.294
7634,0,0.008,0,0.419,0,0.206
7635,0,0.003,0,0.37,0,0.19
7636,0,0.003,0,0.282,0,0.201
7637,0,0.005,0,0.201,0,0.225
7638,0,0.014,0,0.158,0,0.265
7639,0.001,0.032,0.006,0.126,0,0.286
7640,0.083,0.021,0.157,0.104,0.018,0.245
7641,0.223,0.004,0.379,0.232,0.101,0.249
7642,0.355,0.006,0.548,0.292,0.208,0.332
7643,0.448,0.001,0.656,0.26,0.326,0.387
7644,0.468,0.001,0.673,0.198,0.438,0.363
7645,0.487,0.006,0.665,0.133,0.429,0.216
7646,0.491,0.042,0.603,0.084,0.308,0.107
7647,0.395,0.106,0.47,0.059,0.196,0.075
7648,0.246,0.176,0.279,0.056,0.112,0.104
7649,0.074,0.26,0.093,0.088,0.044,0.213
7650,0,0.334,0.002,0.164,0.001,0.43
7651,0,0.362,0,0.273,0,0.625
7652,0,0.402,0,0.37,0,0.708
7653,0,0.498,0,0.422,0,0.723
7654,0,0.586,0,0.431,0,0.7
7655,0,0.604,0,0.412,0,0.673
7656,0,0.573,0,0.371,0,0.647
7657,0,0.511,0,0.33,0,0.597
7658,0,0.451,0,0.301,0,0.573
7659,0,0.411,0,0.26,0,0.52
7660,0,0.377,0,0.21,0,0.413
7661,0,0.357,0,0.197,0,0.354
7662,0,0.375,0,0.206,0,0.348
7663,0.004,0.44,0.005,0.19,0,0.35
7664,0.167,0.307,0.144,0.157,0.011,0.328
7665,0.402,0.178,0.366,0.265,0.081,0.384
7666,0.569,0.354,0.539,0.301,0.197,0.44
7667,0.667,0.373,0.647,0.303,0.327,0.424
7668,0.691,0.338,0.694,0.286,0.388,0.374
7669,0.683,0.434,0.687,0.245,0.429,0.306
7670,0.622,0.598,0.615,0.193,0.362,0.256
7671,0.482,0.704,0.491,0.145,0.323,0.281
7672,0.304,0.741,0.295,0.124,0.211,0.335
7673,0.101,0.744,0.113,0.142,0.085,0.394
7674,0,0.799,0.003,0.197,0.004,0.506
7675,0,0.828,0,0.286,0,0.594
7676,0,0.817,0,0.382,0,0.603
7677,0,0.795,0,0.45,0,0.579
7678,0,0.792,0,0.469,0,0.534
7679,0,0.806,0,0.467,0,0.44
7680,0,0.814,0,0.44,0,0.359
7681,0,0.809,0,0.384,0,0.41
7682,0,0.805,0,0.316,0,0.365
7683,0,0.805,0,0.273,0,0.341
7684,0,0.794,0,0.221,0,0.387
7685,0,0.775,0,0.183,0,0.439
7686,0,0.763,0,0.168,0,0.471
7687,0.003,0.772,0.006,0.161,0,0.487
7688,0.165,0.654,0.152,0.137,0.043,0.447
7689,0.4,0.474,0.36,0.211,0.18,0.277
7690,0.57,0.856,0.534,0.267,0.407,0.287
7691,0.673,0.919,0.652,0.259,0.546,0.272
7692,0.719,0.916,0.694,0.256,0.639,0.168
7693,0.713,0.912,0.699,0.269,0.651,0.084
7694,0.657,0.914,0.655,0.295,0.594,0.052
7695,0.54,0.893,0.563,0.342,0.462,0.057
7696,0.369,0.868,0.403,0.397,0.307,0.073
7697,0.15,0.826,0.189,0.433,0.142,0.092
7698,0,0.85,0.006,0.562,0.006,0.118
7699,0,0.858,0,0.695,0,0.118
7700,0,0.855,0,0.747,0,0.086
7701,0,0.868,0,0.724,0,0.058
7702,0,0.856,0,0.664,0,0.036
7703,0,0.8,0,0.6,0,0.02
7704,0,0.745,0,0.53,0,0.01
7705,0,0.683,0,0.453,0,0.009
7706,0,0.704,0,0.38,0,0.021
7707,0,0.68,0,0.31,0,0.047
7708,0,0.598,0,0.243,0,0.071
7709,0,0.525,0,0.194,0,0.077
7710,0,0.527,0,0.161,0,0.063
7711,0.003,0.528,0.006,0.129,0,0.05
7712,0.135,0.298,0.16,0.062,0.062,0.032
7713,0.234,0.104,0.38,0.135,0.186,0.006
7714,0.431,0.335,0.548,0.296,0.327,0.001
7715,0.506,0.483,0.654,0.316,0.63,0.014
7716,0.561,0.474,0.693,0.328,0.716,0.021
7717,0.672,0.437,0.663,0.349,0.66,0.018
7718,0.616,0.405,0.585,0.379,0.619,0.015
7719,0.486,0.369,0.498,0.391,0.611,0.012
