Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
6478.0,14532.0,30686.0,0.0,0.96,1.0,168.0
6067.0,14375.0,30124.0,0.0,0.97,1.0,168.0
5722.0,14099.0,29670.0,0.0,0.97,1.0,168.0
5444.0,13715.0,29480.0,0.0,0.97,1.0,168.0
5217.0,14614.0,30069.0,0.0,0.97,1.0,168.0
5161.0,16518.0,31079.0,0.0,0.97,1.0,168.0
5173.0,17808.0,32155.0,0.05,0.97,1.0,168.0
5271.0,17604.0,32342.0,0.17,0.97,1.0,168.0
5389.0,16584.0,32267.0,0.31,0.97,1.0,168.0
5855.0,13866.0,32391.0,0.44,0.95,1.0,168.0
6252.0,13154.0,32613.0,0.53,0.92,1.0,168.0
6191.0,13393.0,32685.0,0.55,0.9,1.0,168.0
6537.0,13709.0,32439.0,0.56,0.89,1.0,168.0
6225.0,13592.0,31841.0,0.52,0.87,1.0,168.0
6346.0,13890.0,31907.0,0.45,0.84,1.0,168.0
6490.0,14088.0,31932.0,0.34,0.81,1.0,168.0
6449.0,13607.0,31670.0,0.22,0.8,1.0,168.0
6370.0,13388.0,31852.0,0.1,0.82,1.0,168.0
6661.0,15375.0,33906.0,0.02,0.86,1.0,168.0
6681.0,16083.0,34306.0,0.0,0.9,1.0,168.0
6426.0,15304.0,33367.0,0.0,0.94,1.0,168.0
6216.0,14413.0,32803.0,0.0,0.96,1.0,168.0
6307.0,14668.0,31995.0,0.0,0.97,1.0,168.0
6310.0,15159.0,31141.0,0.0,0.97,1.0,168.0
6120.0,14933.0,30606.0,0.0,0.97,1.0,168.0
5785.0,14544.0,30258.0,0.0,0.97,1.0,168.0
5504.0,14133.0,30034.0,0.0,0.97,1.0,168.0
5223.0,13770.0,29826.0,0.0,0.95,1.0,168.0
5022.0,14635.0,30082.0,0.0,0.92,1.0,168.0
4912.0,16495.0,30709.0,0.0,0.87,1.0,168.0
4843.0,17714.0,31329.0,0.04,0.81,1.0,168.0
4913.0,17550.0,31532.0,0.14,0.73,1.0,168.0
5010.0,16159.0,31355.0,0.27,0.66,1.0,168.0
5321.0,13450.0,31227.0,0.37,0.61,1.0,168.0
5709.0,12570.0,31402.0,0.46,0.55,1.0,168.0
5946.0,12422.0,31809.0,0.53,0.49,1.0,168.0
6019.0,12877.0,31662.0,0.55,0.42,1.0,168.0
5800.0,12665.0,31046.0,0.53,0.35,1.0,168.0
5972.0,12813.0,31031.0,0.45,0.28,1.0,168.0
5935.0,13059.0,30958.0,0.36,0.22,1.0,168.0
5871.0,12690.0,30662.0,0.24,0.19,1.0,168.0
5841.0,12743.0,30561.0,0.12,0.19,1.0,168.0
6236.0,14646.0,31779.0,0.02,0.22,1.0,168.0
6323.0,15668.0,32565.0,0.0,0.3,1.0,168.0
6195.0,14753.0,32231.0,0.0,0.43,1.0,168.0
6108.0,13849.0,31938.0,0.0,0.63,1.0,168.0
6229.0,14017.0,31466.0,0.0,0.83,1.0,168.0
6241.0,14606.0,30836.0,0.0,0.94,1.0,168.0
5953.0,14153.0,30349.0,0.0,0.96,1.0,168.0
5621.0,14028.0,29760.0,0.0,0.96,1.0,168.0
5318.0,13940.0,29530.0,0.0,0.95,1.0,168.0
5067.0,13618.0,29637.0,0.0,0.94,1.0,168.0
4897.0,14339.0,29734.0,0.0,0.92,1.0,168.0
4905.0,16128.0,30243.0,0.0,0.9,1.0,168.0
5187.0,17469.0,31425.0,0.05,0.87,1.0,168.0
5242.0,17787.0,32043.0,0.16,0.83,1.0,168.0
5322.0,17171.0,32097.0,0.3,0.78,1.0,168.0
5893.0,15318.0,32210.0,0.44,0.72,1.0,168.0
6562.0,14565.0,32885.0,0.53,0.68,1.0,168.0
6746.0,14430.0,33254.0,0.59,0.65,1.0,168.0
6842.0,14758.0,33087.0,0.59,0.56,1.0,168.0
6516.0,14520.0,32652.0,0.57,0.41,1.0,168.0
6756.0,14668.0,32993.0,0.5,0.29,1.0,168.0
6874.0,14974.0,33172.0,0.39,0.22,1.0,168.0
6836.0,14840.0,32864.0,0.26,0.18,1.0,168.0
6800.0,14784.0,32542.0,0.12,0.17,1.0,168.0
7039.0,16392.0,33695.0,0.02,0.19,1.0,168.0
6907.0,17373.0,34544.0,0.0,0.29,1.0,168.0
6528.0,16380.0,33577.0,0.0,0.45,1.0,168.0
6234.0,15265.0,32635.0,0.0,0.58,1.0,168.0
6295.0,15427.0,31588.0,0.0,0.71,1.0,168.0
6263.0,16225.0,30992.0,0.0,0.82,1.0,168.0
5957.0,16107.0,30573.0,0.0,0.88,1.0,168.0
5616.0,15468.0,30137.0,0.0,0.91,1.0,168.0
5338.0,14906.0,30300.0,0.0,0.9,1.0,168.0
5078.0,14337.0,30250.0,0.0,0.85,1.0,168.0
4901.0,14794.0,30728.0,0.0,0.75,1.0,168.0
4884.0,16654.0,31638.0,0.0,0.6,1.0,168.0
5152.0,18001.0,32122.0,0.05,0.47,1.0,168.0
5178.0,18055.0,32682.0,0.17,0.35,1.0,168.0
5276.0,17427.0,32910.0,0.31,0.29,1.0,168.0
5842.0,16099.0,32766.0,0.43,0.24,1.0,168.0
6426.0,15228.0,33385.0,0.52,0.21,1.0,168.0
6673.0,14311.0,33889.0,0.56,0.19,1.0,168.0
6709.0,14202.0,33581.0,0.56,0.18,1.0,168.0
6370.0,13777.0,32934.0,0.55,0.17,1.0,168.0
6547.0,13566.0,33394.0,0.48,0.16,1.0,168.0
6613.0,13562.0,33436.0,0.39,0.15,1.0,168.0
6535.0,13168.0,33386.0,0.26,0.13,1.0,168.0
6487.0,13253.0,32634.0,0.12,0.12,1.0,168.0
6810.0,14688.0,33914.0,0.02,0.12,1.0,168.0
6678.0,15532.0,34736.0,0.0,0.13,1.0,168.0
6289.0,14590.0,33988.0,0.0,0.15,1.0,168.0
6024.0,13744.0,33312.0,0.0,0.18,1.0,168.0
6079.0,14186.0,32631.0,0.0,0.24,1.0,168.0
6054.0,15208.0,31862.0,0.0,0.32,1.0,168.0
