Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
2922.894181404924,14516.113828860416,28533.487726019514,0.0,0.44,21.0,3528.0
2638.7515111527796,14059.101142440883,28333.79305217098,0.0,0.42,21.0,3528.0
2490.7191409864527,13950.809005876255,28261.26712584788,0.0,0.37,21.0,3528.0
2428.1282730637777,13430.211945694004,28461.95530553646,0.0,0.29,21.0,3528.0
2527.478857068024,12351.26460340789,29230.928825729323,0.0,0.23,21.0,3528.0
2978.5305084473016,13717.335133466277,30743.04471427395,0.0,0.2,21.0,3528.0
4039.5947456126514,17523.45600666895,32769.796627960575,0.01,0.15,21.0,3528.0
5010.249951334137,19724.071442363,34401.1332173103,0.16,0.09,21.0,3528.0
5504.022353835241,19621.74034083863,34791.581012446986,0.36,0.06,21.0,3528.0
5757.366343046068,18445.429426228355,35391.658539832635,0.52,0.02,21.0,3528.0
5944.145440974052,16988.949864726103,35370.79491719174,0.63,0.0,21.0,3528.0
5655.035241521695,15441.067765939948,36737.858953090166,0.69,0.01,21.0,3528.0
5305.321185826749,14666.133210706828,36514.32013908061,0.7,0.01,21.0,3528.0
4643.646296358468,14160.438738125215,36015.580207379295,0.66,0.03,21.0,3528.0
4498.594443712269,14352.18536525341,35812.905016010634,0.58,0.05,21.0,3528.0
4370.432190346792,15124.139402966402,35539.69090999896,0.45,0.07,21.0,3528.0
4349.5685677059,15448.022306820245,35153.21713822244,0.27,0.11,21.0,3528.0
4699.282623400846,15857.346712917739,34047.44513825518,0.09,0.15,21.0,3528.0
5134.438181339445,16971.06675960534,33619.244121196876,0.0,0.2,21.0,3528.0
5009.256445494095,16438.54762934258,32749.926511159723,0.0,0.27,21.0,3528.0
4667.490436519488,14912.522659037359,31567.654561509196,0.0,0.34,21.0,3528.0
4168.750504818171,14190.243913326489,30429.096868820532,0.0,0.41,21.0,3528.0
3755.452075360507,15092.347216085043,29537.922130302446,0.0,0.44,21.0,3528.0
3234.855015178257,15650.697498188907,29279.610611891403,0.0,0.45,21.0,3528.0
2783.8033637989793,15049.626464963218,29237.88336660962,0.0,0.43,21.0,3528.0
2512.576269467387,14603.542342784152,29036.201681081002,0.0,0.38,21.0,3528.0
2363.550393461018,14274.691909730098,28897.110863475056,0.0,0.37,21.0,3528.0
2308.907572258682,13591.159891780882,28895.12385179497,0.0,0.37,21.0,3528.0
2395.3425803423766,12630.439744459822,29238.876872449662,0.0,0.34,21.0,3528.0
2711.2774374758797,13770.984448828569,30571.168203946607,0.0,0.29,21.0,3528.0
3395.8029612651358,17043.59268592844,32579.04350667242,0.01,0.25,21.0,3528.0
4336.652991785348,19391.24698594878,34184.54894418104,0.17,0.19,21.0,3528.0
5151.327780620167,19289.909390264445,34562.081163397175,0.37,0.21,21.0,3528.0
5596.4183969591895,17748.981832358586,35279.39237990783,0.52,0.23,21.0,3528.0
5936.1973942537115,16391.852854860583,35823.83358025111,0.62,0.26,21.0,3528.0
5830.885775209211,15841.45061947706,37492.92339152244,0.67,0.27,21.0,3528.0
5520.911953115962,14895.633059756636,36664.339520927024,0.67,0.26,21.0,3528.0
4841.353958526918,14244.886734528824,36319.59299443229,0.63,0.25,21.0,3528.0
4489.652891151887,14128.646551243855,36185.46970602656,0.53,0.28,21.0,3528.0
4210.477750099955,14382.984046294725,35577.44413192057,0.39,0.33,21.0,3528.0
4154.841423057577,14718.789020229078,35002.204250535986,0.23,0.37,21.0,3528.0
4432.029552429424,15014.853760561731,33569.56882919476,0.07,0.4,21.0,3528.0
