Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
8595.666866100973,14446.89209354064,30206.77603379665,0.0,0.96,1.0,168.0
8082.017288462514,14385.174508630595,29571.6821761739,0.0,0.95,1.0,168.0
7659.948643271221,14830.138386933679,29027.173806080416,0.0,0.93,1.0,168.0
7219.961989557657,13950.165079506549,29066.991602796577,0.0,0.89,1.0,168.0
6875.538047962876,14126.358829975556,29055.04626378173,0.0,0.86,1.0,168.0
6615.726924389934,14271.693787989538,29825.520630239418,0.0,0.83,1.0,168.0
6401.706267040575,14246.807665041939,29273.048700802705,0.05,0.84,1.0,168.0
6252.389529354976,13733.158087403479,29846.424973515404,0.18,0.82,1.0,168.0
6209.585397885105,13390.725035644506,30238.630271169575,0.34,0.76,1.0,168.0
6567.945568330541,12790.471750148397,31554.608452638655,0.48,0.63,1.0,168.0
7199.0576462816725,12608.305330171966,31970.704428322522,0.57,0.44,1.0,168.0
7434.978091824919,12445.052363635712,32251.41989517145,0.63,0.26,1.0,168.0
7514.613685257238,12460.979482322176,31789.533453263997,0.64,0.16,1.0,168.0
7280.6841295498,12937.79759799819,31542.663113623807,0.61,0.11,1.0,168.0
7515.609130175142,13061.232767818285,31980.658877501563,0.53,0.08,1.0,168.0
7595.244723607461,13346.92545925673,32068.258030277113,0.42,0.06,1.0,168.0
7472.804998705271,13597.777578568535,32069.25347519502,0.28,0.04,1.0,168.0
7385.2058459297195,13690.353955933608,31575.512795914638,0.12,0.03,1.0,168.0
7393.169405272952,14273.684677825346,31912.968623084093,0.03,0.02,1.0,168.0
7569.363155741958,15805.674406479591,32347.978052208135,0.0,0.04,1.0,168.0
7538.504363286934,15843.501313359942,32181.738750918168,0.0,0.08,1.0,168.0
7534.522583615319,15439.350676690921,32335.037268275384,0.0,0.15,1.0,168.0
7916.773432090451,15167.594214103132,31663.111948690188,0.0,0.25,1.0,168.0
8103.917076656402,15052.122603626269,30874.719573710227,0.0,0.35,1.0,168.0
7798.315486859876,15156.644320006188,30402.878682623734,0.0,0.43,1.0,168.0
7350.36527380308,15372.655867191354,29915.11067285078,0.0,0.46,1.0,168.0
6995.986883029258,14927.69198888827,30108.226986924154,0.0,0.45,1.0,168.0
6641.608492255437,14320.470588966835,29939.99679579838,0.0,0.43,1.0,168.0
6324.061563444064,13832.702579193878,30259.53461444556,0.0,0.38,1.0,168.0
6111.036351012609,14337.393152571201,30938.428048456084,0.0,0.32,1.0,168.0
5908.9610326780985,14563.359148935408,30290.393406900585,0.05,0.26,1.0,168.0
5789.507642529619,14553.40469975637,30992.182074022898,0.18,0.14,1.0,168.0
5767.607854335732,13787.907557888198,30212.74870330407,0.34,0.03,1.0,168.0
5975.655842177666,12977.615394714348,30193.835249863896,0.47,0.0,1.0,168.0
6312.116224429215,12378.357554136144,30786.12497601677,0.56,0.0,1.0,168.0
6563.963788658925,12018.0064938549,31139.50792187269,0.61,0.0,1.0,168.0
6655.544721106093,11904.525773213845,30718.4347215993,0.62,0.01,1.0,168.0
6591.836246360237,11838.826408632181,30318.265864601897,0.59,0.01,1.0,168.0
6889.474276813531,11955.293464026949,29958.910249238554,0.52,0.0,1.0,168.0
6961.146310902619,12125.514544988531,29869.320206627195,0.41,0.0,1.0,168.0
6803.866013873788,11935.384565668868,29272.0532558848,0.27,0.0,1.0,168.0
6592.831691278141,11359.021958202457,29362.638743414063,0.12,0.0,1.0,168.0
6678.439954217884,11471.507233925608,30424.778470817622,0.03,0.01,1.0,168.0
7071.640696789962,13854.602367387766,31711.888749667483,0.0,0.03,1.0,168.0
7090.554150230138,14090.522812931013,31355.519469057854,0.0,0.1,1.0,168.0
7275.706904960281,13881.479380171173,30792.097645524194,0.0,0.21,1.0,168.0
7738.588791785636,14509.605123368592,30085.331753812363,0.0,0.35,1.0,168.0
7968.536567821458,15126.780972469069,29539.827938800972,0.0,0.5,1.0,168.0
7597.235613443269,14839.097391194815,28980.38789493893,0.0,0.63,1.0,168.0
7155.258069893897,14621.09495417384,28475.697321561605,0.0,0.78,1.0,168.0
6784.952560433612,14193.053639475123,28136.250604556346,0.0,0.87,1.0,168.0
6425.5969450702705,13563.9324513598,27929.198061632313,0.0,0.89,1.0,168.0
6114.022685766321,13356.879908435769,28126.296155377306,0.0,0.85,1.0,168.0
5911.947367431811,14286.625461758098,29118.754738527583,0.0,0.77,1.0,168.0
5903.983808088578,15040.17726461142,30096.281647909305,0.06,0.69,1.0,168.0
5897.015693663251,14800.275039396558,30397.901458034215,0.18,0.57,1.0,168.0
6005.519189714786,13874.511265745845,30679.612369801045,0.33,0.44,1.0,168.0
6636.631267665917,13333.984675323978,31149.46237105173,0.46,0.32,1.0,168.0
7389.187625601336,13156.795479937067,31404.296270035153,0.55,0.23,1.0,168.0
7602.2128380327895,12908.929695378973,31392.350931020304,0.61,0.19,1.0,168.0
7740.579681621444,13021.414971102124,31711.888749667483,0.61,0.16,1.0,168.0
7596.240168525365,13384.752366137081,31282.851990050865,0.59,0.14,1.0,168.0
8053.149385843299,13530.087324151064,31178.330273670945,0.51,0.13,1.0,168.0
8286.083496632833,13500.223976613945,31057.881438604563,0.4,0.13,1.0,168.0
8325.901293348992,13577.868680210457,30293.379741654295,0.26,0.12,1.0,168.0
8056.13572059701,12999.515182908237,30583.054212764357,0.12,0.13,1.0,168.0
7934.691440612723,13231.453848779867,31468.004744781007,0.03,0.15,1.0,168.0
8033.240487485218,15729.025147800983,31313.71078250589,0.0,0.26,1.0,168.0
7825.192499643284,15690.202796002728,31280.861100215057,0.0,0.45,1.0,168.0
7749.5386858825805,15071.036057066445,30964.309616321585,0.0,0.63,1.0,168.0
8155.6802123874095,16108.289661522405,30279.44351280364,0.0,0.73,1.0,168.0
8322.91495859528,16967.35862567355,29467.16045979398,0.0,0.79,1.0,168.0
7925.732436351587,16612.98023489973,28835.052936924945,0.0,0.84,1.0,168.0
7433.982646907015,16301.405975595779,28727.544885791314,0.0,0.89,1.0,168.0
7018.882116141051,15576.722075361673,28454.792978285623,0.0,0.89,1.0,168.0
6677.44450929998,14928.687433806173,28238.781431100455,0.0,0.84,1.0,168.0
6339.988682130527,14467.796436816625,28363.212045838456,0.0,0.76,1.0,168.0
6141.895143467633,15368.674087519737,29524.896265032414,0.0,0.63,1.0,168.0
6091.127452654529,16010.736059567813,30715.44838684559,0.06,0.51,1.0,168.0
6108.050016258897,15650.384999286567,31150.457815969632,0.18,0.39,1.0,168.0
6236.462410668512,14316.488809295219,30846.847116008914,0.33,0.34,1.0,168.0
6845.674700425756,13808.811901164183,31217.1526254692,0.46,0.3,1.0,168.0
7658.953198353317,13611.713807419192,31782.565338838667,0.56,0.21,1.0,168.0
7941.659555038051,13821.752685096933,31453.073071012448,0.59,0.13,1.0,168.0
8058.126610432818,13984.010206715284,30695.53948848751,0.6,0.07,1.0,168.0
7956.591228806611,13514.160205464601,30123.158660692712,0.57,0.04,1.0,168.0
8226.356801558593,13822.748130014837,30248.584720348616,0.49,0.02,1.0,168.0
8363.728200229343,14055.682240804372,30030.582283327643,0.39,0.02,1.0,168.0
8252.238369424096,13638.5908202026,30096.281647909305,0.25,0.02,1.0,168.0
7992.427245851155,13176.704378295148,30006.691605297947,0.12,0.03,1.0,168.0
