Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3
187,5035.0,16696.0,34470.0
188,4831.0,15822.0,33443.0
189,4423.0,14074.0,32427.0
190,3964.0,13557.0,31489.0
191,3584.0,14866.0,30661.0
192,3129.0,15567.0,29880.0
193,2727.0,15061.0,29875.0
194,2506.0,14461.0,30071.0
195,2379.0,14234.0,30547.0
196,2327.0,13619.0,30668.0
197,2377.0,12709.0,31222.0
198,2689.0,13638.0,32123.0
199,3237.0,17186.0,33172.0
200,4068.0,19484.0,34037.0
201,4697.0,19396.0,34071.0
202,5143.0,17756.0,33992.0
203,5461.0,16279.0,35586.0
204,5456.0,15416.0,37082.0
205,5204.0,13930.0,36859.0
206,4622.0,13239.0,36576.0
207,4387.0,13426.0,36581.0
208,4177.0,13827.0,36404.0
209,4113.0,14082.0,36006.0
210,4408.0,14495.0,34430.0
211,4796.0,15588.0,33582.0
212,4675.0,14683.0,32783.0
213,4336.0,13262.0,31583.0
214,3924.0,12745.0,30902.0
215,3500.0,14030.0,30123.0
216,3025.0,14811.0,29552.0
217,2657.0,14253.0,29606.0
218,2438.0,13741.0,29784.0
219,2332.0,13471.0,30314.0
220,2275.0,12948.0,30389.0
221,2379.0,12097.0,30927.0
222,2952.0,13474.0,32584.0
223,4226.0,17415.0,34245.0
224,4998.0,19801.0,34986.0
225,5160.0,19432.0,35353.0
226,5347.0,17654.0,35456.0
227,5558.0,16016.0,36374.0
228,5343.0,14579.0,37882.0
229,5055.0,13604.0,37992.0
230,4755.0,12943.0,37478.0
231,4652.0,13057.0,37659.0
232,4574.0,13603.0,37569.0
233,4409.0,14511.0,36834.0
234,4776.0,15239.0,35549.0
235,5043.0,16328.0,34605.0
236,5004.0,15726.0,33767.0
237,4649.0,14179.0,32609.0
238,4188.0,13688.0,31496.0
239,3825.0,15027.0,30568.0
240,3380.0,15718.0,29921.0
241,2739.0,15284.0,29792.0
242,2513.0,14864.0,30186.0
243,2409.0,14545.0,30614.0
244,2361.0,13964.0,30989.0
245,2448.0,13015.0,31559.0
246,3006.0,14064.0,32934.0
247,4251.0,17948.0,34875.0
248,4987.0,20042.0,35800.0
249,5105.0,19597.0,36137.0
250,5237.0,17850.0,35558.0
251,5377.0,16362.0,36866.0
252,5209.0,15129.0,38593.0
253,5050.0,14319.0,38336.0
254,4682.0,13697.0,37864.0
255,4616.0,13544.0,37920.0
256,4580.0,14030.0,37693.0
