Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
2950.1093891031405,14651.274059886468,28799.164396683274,0.0,0.44,12.0,2016.0
2663.3210528409045,14190.006106457695,28597.61035616331,0.0,0.42,12.0,2016.0
2513.9103461868026,14080.705656623486,28524.409137467006,0.0,0.37,12.0,2016.0
2450.7366916954707,13555.261292282887,28726.965934407468,0.0,0.29,12.0,2016.0
2551.0123337452037,12466.267819622788,29503.0994038724,0.0,0.23,12.0,2016.0
3006.2637486509907,13845.057897806615,31029.294675869332,0.0,0.2,12.0,2016.0
4077.2076057421377,17686.61774473188,33074.91777368388,0.01,0.15,12.0,2016.0
5056.900628568028,19907.72321613346,34721.4438161405,0.16,0.09,12.0,2016.0
5555.2705695551995,19804.439304822237,35115.527089395946,0.36,0.06,12.0,2016.0
5810.973456782019,18617.175702953402,35721.19196737633,0.52,0.02,12.0,2016.0
5999.491663835516,17147.13479050432,35700.13408254589,0.63,0.0,12.0,2016.0
5707.689545470794,15584.84028736948,37079.92691715022,0.69,0.01,12.0,2016.0
5354.719285455734,14802.690279381563,36854.30672253831,0.7,0.01,12.0,2016.0
4686.8835094045135,14292.287261348423,36350.92299944865,0.66,0.03,12.0,2016.0
4540.481072011903,14485.819250504408,36146.3606896672,0.58,0.05,12.0,2016.0
4411.125493767748,15264.96098923083,35870.60267403044,0.45,0.07,12.0,2016.0
4390.067608937304,15591.85958231296,35480.53042645697,0.27,0.11,12.0,2016.0
4743.037868952364,16004.99522755786,34364.462530443445,0.09,0.15,12.0,2016.0
5182.2451811301935,17129.085174935364,33932.2745132091,0.0,0.2,12.0,2016.0
5055.8978721475305,16591.607733548797,33054.86264527393,0.0,0.27,12.0,2016.0
4710.949663496449,15051.3738716649,31861.582504882117,0.0,0.34,12.0,2016.0
4207.56594040679,14322.369953963344,30712.423646992178,0.0,0.41,12.0,2016.0
3790.4192694799017,15232.872783774917,29812.951137806074,0.0,0.44,12.0,2016.0
3264.9749051393014,15796.421892094415,29552.234468476767,0.0,0.45,12.0,2016.0
2809.7234902335144,15189.754257693532,29510.11869881588,0.0,0.43,12.0,2016.0
2535.9709874377436,14739.516624890231,29306.55914545492,0.0,0.38,12.0,2016.0
2385.5575243631447,14407.604249705615,29166.1732465853,0.0,0.37,12.0,2016.0
2330.4059212357915,13717.707832403454,29164.167733744303,0.0,0.37,12.0,2016.0
2417.645729819059,12748.042373782537,29511.121455236378,0.0,0.34,12.0,2016.0
2736.5222715372092,13899.20674451347,30855.817815123293,0.0,0.29,12.0,2016.0
3427.421445259869,17202.28639363167,32882.3885409484,0.01,0.25,12.0,2016.0
4377.0317754708385,19571.79981526686,34502.84291647208,0.17,0.19,12.0,2016.0
5199.2920402786485,19469.51866037613,34883.890356261065,0.37,0.21,12.0,2016.0
5648.526916661452,17914.24345218477,35607.88049186014,0.52,0.23,12.0,2016.0
5991.469612471537,16544.478181785424,36157.39101029267,0.62,0.26,12.0,2016.0
5885.177431898821,15988.951124829902,37842.021796728186,0.67,0.27,12.0,2016.0
5572.3174287036545,15034.327012516445,37005.72294203341,0.67,0.26,12.0,2016.0
4886.432037083482,14377.521557090697,36657.76646412084,0.63,0.25,12.0,2016.0
4531.456264227428,14260.199055892508,36522.3943473537,0.53,0.28,12.0,2016.0
4249.681710067678,14516.904699539824,35908.70741800933,0.39,0.33,12.0,2016.0
4193.527350519827,14855.83636966792,35328.11145054138,0.23,0.37,12.0,2016.0
4473.296391838582,15154.657782976126,33882.136692184235,0.07,0.4,12.0,2016.0
4905.484409072931,16072.17990773118,32594.597448265664,0.0,0.4,12.0,2016.0
4795.181202818225,15905.722341928624,31850.552184256645,0.0,0.4,12.0,2016.0
4494.354276669026,14302.314825553396,30801.668968416438,0.0,0.38,12.0,2016.0
4118.320618982528,13576.31917711333,29743.760944791757,0.0,0.35,12.0,2016.0
3693.151896691661,14788.6516894946,29289.512286306468,0.0,0.33,12.0,2016.0
3189.7681736020018,15370.250413383052,29006.73497572622,0.0,0.32,12.0,2016.0
2749.558105003675,14971.153358025114,29464.994659893502,0.0,0.32,12.0,2016.0
2489.8441920948667,14410.612518967107,29424.884403073607,0.0,0.3,12.0,2016.0
2372.521690896679,14115.802131340894,29361.710748582274,0.0,0.28,12.0,2016.0
2323.38662629231,13553.255779441892,29315.5839532394,0.0,0.27,12.0,2016.0
2398.59335782961,12595.623397866942,29726.714085643303,0.0,0.23,12.0,2016.0
2753.569130685664,13689.630652629528,30950.076918650044,0.0,0.19,12.0,2016.0
3469.5372149207565,16872.37953128805,32526.410011671844,0.01,0.16,12.0,2016.0
4422.155814393219,19231.865388718263,34361.454261181956,0.16,0.17,12.0,2016.0
5336.669669886783,18373.50589277255,35423.37331048863,0.35,0.22,12.0,2016.0
5841.056149396938,16707.92747832649,35883.6385074969,0.5,0.33,12.0,2016.0
6235.139422652389,16300.808371604571,36541.44671934315,0.61,0.39,12.0,2016.0
6139.877562705143,16023.044843126812,37506.098395861576,0.66,0.39,12.0,2016.0
5775.876982064612,16050.11926648024,37057.86627589927,0.68,0.38,12.0,2016.0
5011.776589645648,15554.75759475456,36385.016717745566,0.65,0.37,12.0,2016.0
4769.1095358852945,15576.818236005502,36229.58947256848,0.56,0.36,12.0,2016.0
4549.505879796379,15804.443943458395,36442.17383371391,0.43,0.36,12.0,2016.0
4507.390110135491,16123.320485176544,35853.555814881984,0.26,0.36,12.0,2016.0
4787.159151454246,16596.621515651284,34428.638941355275,0.07,0.35,12.0,2016.0
5245.418835621525,17400.83216489014,33070.90674800189,0.0,0.36,12.0,2016.0
5089.99159044444,16509.381707068016,32494.32180621593,0.0,0.38,12.0,2016.0
4730.002035485899,14718.458740059788,31365.21807673594,0.0,0.44,12.0,2016.0
4254.6954921701645,14049.62020758807,30274.219091234845,0.0,0.49,12.0,2016.0
3859.6094624942175,15158.668808658114,29826.989727693035,0.0,0.49,12.0,2016.0
3305.085161959195,15802.4384306174,29407.837543925154,0.0,0.45,12.0,2016.0
2840.8089392689317,15352.2007978141,29720.69754712032,0.0,0.4,12.0,2016.0
2576.081244257637,14892.938357226323,29396.807223299682,0.0,0.34,12.0,2016.0
2440.7091274904974,14493.841301868386,29037.820424761638,0.0,0.25,12.0,2016.0
2405.612652773091,13894.192962410983,29209.291772666682,0.0,0.18,12.0,2016.0
2512.907589766305,13023.800389419303,29573.292353307213,0.0,0.15,12.0,2016.0
3063.4208646193388,14172.959247309242,31153.636472011003,0.0,0.13,12.0,2016.0
4342.938057173929,17837.031207806478,33341.65098153617,0.01,0.1,12.0,2016.0
5286.531848861916,19832.516484596163,35606.87773543964,0.16,0.08,12.0,2016.0
5703.678519788805,18759.56711466402,36752.025567647586,0.35,0.05,12.0,2016.0
5963.392432697613,17771.852040474154,37028.78633970485,0.49,0.04,12.0,2016.0
6167.954742479067,17605.394474671597,37337.635317218024,0.58,0.05,12.0,2016.0
5900.218778206281,15943.827085907524,38382.50750737624,0.64,0.07,12.0,2016.0
5548.251274611718,16405.095039336295,37837.008014625695,0.65,0.08,12.0,2016.0
4885.429280662985,15799.430161355907,37185.21634130243,0.61,0.09,12.0,2016.0
4775.126074408278,15895.694777723651,37172.18050783597,0.5,0.09,12.0,2016.0
4706.93863781446,16273.733948251143,36892.41146651721,0.37,0.1,12.0,2016.0
4700.922099291476,16127.331510858534,36816.20197855942,0.23,0.14,12.0,2016.0
4991.721461235701,16975.663442599274,35335.130745484865,0.06,0.2,12.0,2016.0
5449.9811454029805,17965.38402963014,34102.74310469365,0.0,0.33,12.0,2016.0
5428.9232605725365,16944.577993563857,33607.381432967966,0.0,0.42,12.0,2016.0
5053.892359306536,15051.3738716649,32027.037314264177,0.0,0.43,12.0,2016.0
4416.139275870235,14214.072260549632,31272.964486050183,0.0,0.42,12.0,2016.0
3945.8465146569874,15436.432337135875,30333.381720044188,0.0,0.4,12.0,2016.0
3326.1430467896384,16196.52170387285,29792.89600939613,0.0,0.4,12.0,2016.0
2853.844772735397,15465.512273330298,29761.81056036071,0.0,0.39,12.0,2016.0
2593.1281034060917,14989.202973594067,29698.636905869378,0.0,0.33,12.0,2016.0
2471.7945765259146,14746.535919833714,29708.664470074353,0.0,0.25,12.0,2016.0
2439.7063710700004,14175.967516570732,29576.300622568702,0.0,0.19,12.0,2016.0
