Load_MW_z1,Load_MW_z2,Load_MW_z3,raj_solarpv,raj_onshorewind,GrpWeight,SubWtAsInGenXInputs
6476.546424450856,14528.739215825848,30679.114476798237,0.0,0.96,1.0,168.0
6065.638647289803,14371.774444501552,30117.240581994072,0.0,0.97,1.0,168.0
5720.716060621766,14095.836375167122,29663.342453451205,0.0,0.97,1.0,168.0
5442.778440060275,13711.922539571395,29473.3850868804,0.0,0.97,1.0,168.0
5215.829375788841,14610.720816135352,30062.252923249893,0.0,0.97,1.0,168.0
5159.841941431131,16514.293584297506,31072.02629291574,0.0,0.97,1.0,168.0
5171.839248793498,17804.004125751904,32147.7848530746,0.05,0.97,1.0,168.0
5269.817258919491,17600.049900591675,32334.742892804814,0.17,0.97,1.0,168.0
5387.7907813160955,16580.27877479052,32259.759721790026,0.31,0.97,1.0,168.0
5853.686217221328,13862.888657214506,32383.731897867812,0.44,0.95,1.0,168.0
6250.597135792954,13151.04842038076,32605.68208407159,0.53,0.92,1.0,168.0
6189.6108233675905,13389.994792014559,32677.66592824579,0.55,0.9,1.0,168.0
6535.533185649158,13705.923885890212,32431.721127317276,0.56,0.89,1.0,168.0
6223.603194227629,13588.950139107137,31833.855310426014,0.52,0.87,1.0,168.0
6344.576043464825,13886.88327193924,31899.84050091903,0.45,0.84,1.0,168.0
6488.543731813223,14084.838843418287,31924.83489125729,0.34,0.81,1.0,168.0
6447.552931658471,13603.946773310096,31662.89368051229,0.22,0.8,1.0,168.0
6368.570658189557,13384.995913946907,31844.85284217485,0.1,0.82,1.0,168.0
6659.505361726946,15371.550058032095,33898.39195236658,0.02,0.86,1.0,168.0
6679.5008739975565,16079.39119241172,34298.3021977788,0.0,0.9,1.0,168.0
6424.558092547268,15300.565989471426,33359.51289667362,0.0,0.94,1.0,168.0
6214.605213705854,14409.765917815714,32795.6394506424,0.0,0.96,1.0,168.0
6305.584794537133,14664.708699266002,31987.820754909717,0.0,0.97,1.0,168.0
6308.584121377725,15155.598525509498,31134.01238095463,0.0,0.97,1.0,168.0
6118.626754806922,14929.649236851596,30599.13242771579,0.0,0.97,1.0,168.0
5783.70192427419,14540.736523188214,30251.210514207163,0.0,0.97,1.0,168.0
5502.764976872108,14129.82874602716,30027.260776776322,0.0,0.97,1.0,168.0
5221.828029470025,13766.910198315574,29819.30744916197,0.0,0.95,1.0,168.0
5020.873131150386,14631.716104019493,30075.25000622579,0.0,0.92,1.0,168.0
4910.897813662026,16491.298745186305,30702.109315909438,0.0,0.87,1.0,168.0
4841.913296328418,17710.025218080034,31321.970196298375,0.04,0.81,1.0,168.0
4911.897589275557,17546.062017461027,31524.924645845076,0.14,0.73,1.0,168.0
5008.875823788019,16155.374139040041,31347.964362250168,0.27,0.66,1.0,168.0
5319.806039596018,13446.9820019858,31219.99308371826,0.37,0.61,1.0,168.0
5707.718977645869,12567.179462078922,31394.953816086105,0.46,0.55,1.0,168.0
5944.665798052607,12419.212671276402,31801.862490793035,0.53,0.49,1.0,168.0
6017.649417840337,12874.1105754328,31654.895475604044,0.55,0.42,1.0,168.0
5798.698558477148,12662.158145364325,31039.03369766923,0.53,0.35,1.0,168.0
5970.659964004401,12810.124936166845,31024.037063466272,0.45,0.28,1.0,168.0
5933.668266303772,13056.069737095359,30951.053443678542,0.36,0.22,1.0,168.0
5869.682627037817,12687.152535702588,30655.1198620735,0.24,0.19,1.0,168.0
5839.6893586319,12740.140643219707,30554.14252510692,0.12,0.19,1.0,168.0
6234.600725976465,14642.71363576833,31771.86922238712,0.02,0.22,1.0,168.0
6321.581204353622,15664.484312796545,32557.692854622124,0.0,0.3,1.0,168.0
6193.609925821713,14749.689626416097,32223.767799702924,0.0,0.43,1.0,168.0
6106.629447444555,13845.892471784487,31930.833544938476,0.0,0.63,1.0,168.0
6227.602296681751,14013.854774857618,31458.939455352058,0.0,0.83,1.0,168.0
6239.599604044118,14602.722611227107,30829.080818827817,0.0,0.94,1.0,168.0
5951.664227347321,14149.824258297773,30342.190095038444,0.0,0.96,1.0,168.0
5619.738723655181,14024.852306606454,29753.32225866895,0.0,0.96,1.0,168.0
5316.806712755427,13936.872052615767,29523.37386755693,0.0,0.95,1.0,168.0
5065.86303375926,13614.944305058933,29630.349858204696,0.0,0.94,1.0,168.0
4895.901179459068,14335.782522414453,29727.328092717158,0.0,0.92,1.0,168.0
4903.899384367312,16124.381095020593,30236.213880004205,0.0,0.9,1.0,168.0
5185.836107382926,17465.080192765054,31417.948655197306,0.05,0.87,1.0,168.0
5240.823766127105,17783.008837867765,32035.80998435918,0.16,0.83,1.0,168.0
5320.805815209549,17167.14705993295,32089.797867489833,0.3,0.78,1.0,168.0
5891.677690535488,15314.562848060854,32202.772511818785,0.44,0.72,1.0,168.0
6560.527575987422,14561.731811072355,32877.6210509519,0.53,0.68,1.0,168.0
6744.486288877041,14426.762103245732,33246.53825234467,0.59,0.65,1.0,168.0
6840.464747775974,14754.68850448375,33079.57572488507,0.59,0.56,1.0,168.0
6514.537897765017,14516.741908463482,32644.673332999282,0.57,0.41,1.0,168.0
6754.484045012347,14664.708699266002,32985.5968172132,0.5,0.29,1.0,168.0
6872.457567408951,14970.640037006347,33164.556652035164,0.39,0.22,1.0,168.0
6834.466094094791,14836.670104793255,32856.62576306776,0.26,0.18,1.0,168.0
6798.474172007691,14780.682670435544,32534.698015510923,0.12,0.17,1.0,168.0
7037.42054364149,16388.321856992658,33687.43929791164,0.02,0.19,1.0,168.0
6905.450162655459,17369.10173386612,34536.248793799066,0.0,0.29,1.0,168.0
6526.535205127383,16376.324549630292,33569.46577551503,0.0,0.45,1.0,168.0
6232.601174749404,15261.574740543736,32627.677147569262,0.0,0.58,1.0,168.0
6293.5874871747665,15423.538389935684,31580.912080202786,0.0,0.71,1.0,168.0
6261.594667541789,16221.359329533057,30985.045814538582,0.0,0.82,1.0,168.0
5955.663329801443,16103.385807136452,30566.139832469285,0.0,0.88,1.0,168.0
5614.739845587528,15464.529190090436,30130.23766496997,0.0,0.91,1.0,168.0
5336.802225026037,14902.655295286271,30293.201089975446,0.0,0.9,1.0,168.0
5076.860565508096,14333.782971187391,30243.21230929892,0.0,0.85,1.0,168.0
4899.90028191319,14790.68042657085,30721.10505256652,0.0,0.75,1.0,168.0
4882.904096483171,16650.26306773766,31630.900860879312,0.0,0.6,1.0,168.0
5150.843960909357,17996.9608191633,32114.792257828096,0.05,0.47,1.0,168.0
5176.83812686115,18050.94870229395,32674.6666014052,0.17,0.35,1.0,168.0
5274.816136987144,17423.089616996767,32902.61544129016,0.31,0.29,1.0,168.0
5840.689134245431,16095.387602228207,32758.647752941764,0.43,0.24,1.0,168.0
6424.558092547268,15224.583042843105,33377.50885771717,0.52,0.21,1.0,168.0
